param,value
sat_shift_limit--left--HSVTransform,0.027783951249474623
threshold_range--left--SolarizeTransform,0.027783951249474623
val_shift_limit--right--HSVTransform,0.027783951249474623
gamma_limit--left--GammaTransform,0.027783951249474623
gamma_limit--right--GammaTransform,0.027783951249474623
threshold_range--right--SolarizeTransform,0.027783951249474623
sat_shift_limit--right--HSVTransform,0.027783951249474623
val_shift_limit--left--HSVTransform,0.02778395124947462
hue_shift_limit--right--HSVTransform,0.02778395124947462
hue_shift_limit--left--HSVTransform,0.02778395124947462
method--SharpenTransform,0.027484508457478338
alpha--left--SharpenTransform,0.026096011428993655
strength--right--EmbossTransform,0.023222365291678163
strength--left--EmbossTransform,0.022791989793973427
radius--right--DefocusTransform,0.022716871954660725
radius--left--DefocusTransform,0.021340834354876013
primary_distortion_limit--left--ChromaticAberrationTransform,0.020106120010589767
primary_distortion_limit--right--ChromaticAberrationTransform,0.01897846006230916
scale--RainbowTransform,0.01804932105541828
alpha--right--SharpenTransform,0.016456545245287245
alpha--left--EmbossTransform,0.015768581780665075
direction_range--left--MotionBlurTransform,0.01439478189251674
scale--right--PerspectiveTransform,0.014118924404947717
blur_limit--right--MotionBlurTransform,0.014094486270933454
allow_shifted--MotionBlurTransform,0.012898984299944941
per_channel--RainbowTransform,0.012631270101146867
mode--ChromaticAberrationTransform,0.012322986916219235
max_factor--left--ZoomBlurTransform,0.012051491490690108
blur_limit--left--MedianBlurTransform,0.011486242742161652
blur_limit--right--MedianBlurTransform,0.01141776529233939
idx_choice--6,0.011275588416085898
secondary_distortion_limit--right--ChromaticAberrationTransform,0.010873021298019345
slant_range--left--RainTransform,0.010716526788923085
drop_width--RainTransform,0.01070336805134372
fill--PerspectiveTransform,0.01067130849009263
idx_choice--7,0.010268362560444595
scale--left--PerspectiveTransform,0.01024999834698446
unit_size_range--left--GridDropoutTransform,0.009990394251475672
max_factor--right--ZoomBlurTransform,0.00994341509984476
operation--MorphologicalTransform,0.009765598902643266
scale--left--MorphologicalTransform,0.009679701294365777
fill--GridDropoutTransform,0.00963746065223895
blur_limit--left--MotionBlurTransform,0.009324056641127218
idx_choice--1,0.009302124521900447
drop_length--RainTransform,0.00923164005159717
direction_range--right--MotionBlurTransform,0.009198133083226555
ratio--GridDropoutTransform,0.00890832251705901
num_bits--PosterizeTransform,0.00740382468529955
per_channel--PixelDropoutTransform,0.007348327684220582
idx_choice--2,0.007069435745445401
blur_value--RainTransform,0.0069469125490664195
brightness_coefficient--RainTransform,0.0069189163229715096
scale--right--MorphologicalTransform,0.006872383510690585
idx_choice--3,0.006858519440759726
blur_limit--left--BlurTransform,0.006674997704127987
rain_type--RainTransform,0.006433063225490267
unit_size_range--right--GridDropoutTransform,0.006389993289412057
hole_height_range--left--CoarseDropoutTransform,0.006143166363538179
sigma_limit--left--GaussianBlurTransform,0.00602220163640398
hole_width_range--right--CoarseDropoutTransform,0.0055917331184566705
hole_width_range--left--CoarseDropoutTransform,0.005569337635900225
fill--ShiftScaleRotateTransform,0.005558802101305507
scale_limit--right--ShiftScaleRotateTransform,0.005421058797175585
secondary_distortion_limit--left--ChromaticAberrationTransform,0.0053882326007255905
idx_choice--5,0.0053799369124694
slant_range--right--RainTransform,0.005047607134733027
dropout_prob--PixelDropoutTransform,0.004991866432528668
hole_height_range--right--CoarseDropoutTransform,0.00494136333656192
distort_limit--right--OpticalDistortionTransform,0.004917793970578889
scale_limit--left--ShiftScaleRotateTransform,0.004535493173787659
snow_point_range--right--SnowTransform,0.004477616491705931
blur_limit--right--BlurTransform,0.004468111478674595
fill--CoarseDropoutTransform,0.004203774634645372
rotate_limit--left--ShiftScaleRotateTransform,0.004041389621560792
idx_choice--0,0.003979737353964761
alias_blur--left--DefocusTransform,0.0036184227734749864
scale_range--left--DownscaleTransform,0.003156698646625221
shift_limit--left--ShiftScaleRotateTransform,0.0031188525369201065
brightness_coeff--SnowTransform,0.003075741614102061
sigma_limit--right--GaussianBlurTransform,0.0026180783023290015
angle_range--left--MotionBlurTransform,0.0024789862667748347
blur_limit--GaussianBlurTransform,0.0022881356552563246
shift_limit--right--ShiftScaleRotateTransform,0.0021728015346555983
by_channels--EqualizeTransform,0.0020543864623570936
alias_blur--right--DefocusTransform,0.0019656955067909013
snow_point_range--left--SnowTransform,0.0018308099808531395
angle_range--right--MotionBlurTransform,0.0017515167896819475
interpolation--ChromaticAberrationTransform,0.0016842833551903153
rotate_limit--right--ShiftScaleRotateTransform,0.001472468292506984
fill--OpticalDistortionTransform,0.0011146694760584461
num_holes_range--left--CoarseDropoutTransform,0.001050535594179941
lightness--right--SharpenTransform,0.001025284797377606
lightness--left--SharpenTransform,0.0010242152696004106
alpha--right--EmbossTransform,0.0008652794914702437
num_holes_range--right--CoarseDropoutTransform,0.0007913361460984485
mode--EqualizeTransform,0.0007895788642842121
idx_choice--4,0.0007801429307392901
quality_range--right--CompressionTransform,0.0007681139861420681
step_factor--right--ZoomBlurTransform,0.0006428018191147677
scale_range--right--DownscaleTransform,0.0006027382714943685
distort_limit--left--OpticalDistortionTransform,0.0005162483116281165
quality_range--left--CompressionTransform,0.00045390959117284544
step_factor--left--ZoomBlurTransform,0.00040213123789965865
compression_type--CompressionTransform,0.00028346323407160354
brightness_limit--right--BrightnessContrastTransform,0.0
contrast_limit--right--BrightnessContrastTransform,0.0
brightness_limit--left--BrightnessContrastTransform,0.0
contrast_limit--left--BrightnessContrastTransform,0.0
