param,value
hue_shift_limit--left--HSVTransform,0.0406484288663434
hue_shift_limit--right--HSVTransform,0.04064237503933714
gamma_limit--left--GammaTransform,0.039812040638716746
contrast_limit--right--BrightnessContrastTransform,0.03972927100369511
gamma_limit--right--GammaTransform,0.03855641092813756
contrast_limit--left--BrightnessContrastTransform,0.035673666802997266
num_bits--PosterizeTransform,0.026067639296943876
threshold_range--left--SolarizeTransform,0.023973967918433745
snow_point_range--right--SnowTransform,0.023049670287065182
snow_point_range--left--SnowTransform,0.023016233674876766
fill--OpticalDistortionTransform,0.0216708485431215
ratio--GridDropoutTransform,0.021392854116188662
val_shift_limit--right--HSVTransform,0.020467498785379873
r_shift_limit--right--RGBShiftTransform,0.020008745733722726
r_shift_limit--left--RGBShiftTransform,0.018205288604278058
idx_choice--1,0.017293946177477416
threshold_range--right--SolarizeTransform,0.0168111109050385
b_shift_limit--right--RGBShiftTransform,0.016799649777364867
sat_shift_limit--left--HSVTransform,0.016652731666966274
drop_width--RainTransform,0.015891347622053714
b_shift_limit--left--RGBShiftTransform,0.015555912358804729
g_shift_limit--left--RGBShiftTransform,0.014868338428729788
allow_shifted--MotionBlurTransform,0.014445310302288617
blur_limit--right--BlurTransform,0.013042770356095525
val_shift_limit--left--HSVTransform,0.012899017830472669
idx_choice--2,0.012547325819788383
idx_choice--6,0.012387113162680836
sat_shift_limit--right--HSVTransform,0.012213933731047547
idx_choice--0,0.011836429660926738
idx_choice--4,0.011729766874134453
sigma_limit--left--GaussianBlurTransform,0.011709078740670821
method--SharpenTransform,0.011381064129119779
max_factor--right--ZoomBlurTransform,0.011326534101482636
by_channels--EqualizeTransform,0.011114616152079
idx_choice--5,0.010253953514380819
scale--right--PerspectiveTransform,0.009974954092642959
direction_range--right--MotionBlurTransform,0.009856155068396232
scale_range--left--DownscaleTransform,0.009593013704151223
unit_size_range--right--GridDropoutTransform,0.009484030206579524
blur_limit--left--BlurTransform,0.009432591759715168
alias_blur--left--DefocusTransform,0.009116450030816294
idx_choice--3,0.008523917077362707
hole_height_range--right--CoarseDropoutTransform,0.008335539795724588
angle_range--left--MotionBlurTransform,0.00796320587528284
brightness_coefficient--RainTransform,0.007675572146635951
hole_width_range--right--CoarseDropoutTransform,0.0073959153132856885
scale--RainbowTransform,0.0073238971605025585
fill--ShiftScaleRotateTransform,0.006945626564610069
blur_limit--GaussianBlurTransform,0.006838224952958622
radius--right--DefocusTransform,0.006484722700576973
scale_range--right--DownscaleTransform,0.006157192425908426
per_channel--PixelDropoutTransform,0.006136016343574422
scale--left--PerspectiveTransform,0.005847605673891677
blur_limit--left--MotionBlurTransform,0.005569827184751437
mode--EqualizeTransform,0.0054971130531833836
lightness--left--SharpenTransform,0.0053607689844231265
angle_range--right--MotionBlurTransform,0.00531671174206654
rain_type--RainTransform,0.0051931993984484556
scale_limit--left--ShiftScaleRotateTransform,0.005057613135457126
brightness_limit--right--BrightnessContrastTransform,0.004949724076883635
strength--left--EmbossTransform,0.00490980261333315
blur_limit--left--MedianBlurTransform,0.004896625634115525
idx_choice--7,0.004862924293868787
blur_limit--right--MotionBlurTransform,0.00476071361908413
max_factor--left--ZoomBlurTransform,0.004708203836830639
rotate_limit--right--ShiftScaleRotateTransform,0.004278828713538883
shift_limit--right--ShiftScaleRotateTransform,0.004143596157762763
secondary_distortion_limit--left--ChromaticAberrationTransform,0.004136876190939176
primary_distortion_limit--left--ChromaticAberrationTransform,0.004060659772245608
shift_limit--left--ShiftScaleRotateTransform,0.003998074586054092
lightness--right--SharpenTransform,0.003970077195266021
quality_range--right--CompressionTransform,0.0039081445117827495
per_channel--RainbowTransform,0.0038846336468988277
radius--left--DefocusTransform,0.003865637176862236
alias_blur--right--DefocusTransform,0.0035562178585853066
step_factor--left--ZoomBlurTransform,0.0029362813653073133
distort_limit--left--OpticalDistortionTransform,0.002893827833978627
fill--CoarseDropoutTransform,0.002767489643840452
primary_distortion_limit--right--ChromaticAberrationTransform,0.002733138728355075
brightness_coeff--SnowTransform,0.0027311795400629607
hole_width_range--left--CoarseDropoutTransform,0.0024788464308064567
strength--right--EmbossTransform,0.0023759800826888954
alpha--right--EmbossTransform,0.0023711128369865273
drop_length--RainTransform,0.0022563289633380067
dropout_prob--PixelDropoutTransform,0.001958136306463094
rotate_limit--left--ShiftScaleRotateTransform,0.0018988246209665973
hole_height_range--left--CoarseDropoutTransform,0.0017458149932639351
secondary_distortion_limit--right--ChromaticAberrationTransform,0.0017252686005890376
compression_type--CompressionTransform,0.0015647584397356648
num_holes_range--left--CoarseDropoutTransform,0.001544582319775639
distort_limit--right--OpticalDistortionTransform,0.0014696976291068363
g_shift_limit--right--RGBShiftTransform,0.0014624363459021167
scale_limit--right--ShiftScaleRotateTransform,0.0014567122335060355
