step,score,params
0,0.9417349156879243,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 4, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.059013796352891446, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 7, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 11, 'blur_limit--right--MotionBlurTransform': 15, 'allow_shifted--MotionBlurTransform': True, 'angle_range--left--MotionBlurTransform': 11.364957622225505, 'angle_range--right--MotionBlurTransform': 311.50688661989665, 'direction_range--left--MotionBlurTransform': -0.49532511759292763, 'direction_range--right--MotionBlurTransform': -0.13669162038931848, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.7965379414868312, 'snow_point_range--right--SnowTransform': 0.8709437237166647, 'brightness_coeff--SnowTransform': 1.6866073162017896, 'idx_choice--5': 3, 'idx_choice--6': 2, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.1482659646808335, 'unit_size_range--left--GridDropoutTransform': 93, 'unit_size_range--right--GridDropoutTransform': 100, 'fill--GridDropoutTransform': 110}"
1,0.6778494587966374,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.050054223523382325, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 2, 'r_shift_limit--left--RGBShiftTransform': -60.66668714720977, 'r_shift_limit--right--RGBShiftTransform': 53.62144209829607, 'g_shift_limit--left--RGBShiftTransform': 39.64758110236835, 'g_shift_limit--right--RGBShiftTransform': 50.57403593530924, 'b_shift_limit--left--RGBShiftTransform': -46.28431380898461, 'b_shift_limit--right--RGBShiftTransform': 62.69388475142023, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 5, 'blur_limit--right--MedianBlurTransform': 11, 'idx_choice--4': 6, 'idx_choice--5': 3, 'idx_choice--6': 2, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.3033708597879117, 'unit_size_range--left--GridDropoutTransform': 49, 'unit_size_range--right--GridDropoutTransform': 64, 'fill--GridDropoutTransform': 16}"
2,0.22305083884185434,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 1, 'scale--right--MorphologicalTransform': 3, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.024705494611109047, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 9, 'idx_choice--3': 5, 'alpha--left--EmbossTransform': 0.5483002062985043, 'alpha--right--EmbossTransform': 0.7532742207355476, 'strength--left--EmbossTransform': 0.8292229403997669, 'strength--right--EmbossTransform': 0.9405550843145037, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0745233429352101, 'max_factor--right--ZoomBlurTransform': 1.0960786590665004, 'step_factor--left--ZoomBlurTransform': 0.016346917129890476, 'step_factor--right--ZoomBlurTransform': 0.020696292274227788, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 371.45405228431594, 'scale--right--PerspectiveTransform': 854.5130070383509, 'fill--PerspectiveTransform': 51, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.4505453173286637, 'scale_range--right--DownscaleTransform': 0.9374762214687113, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 89, 'num_holes_range--right--CoarseDropoutTransform': 92, 'hole_height_range--left--CoarseDropoutTransform': 0.03290648624645252, 'hole_height_range--right--CoarseDropoutTransform': 0.039990957836258674, 'hole_width_range--left--CoarseDropoutTransform': 0.025674019780661566, 'hole_width_range--right--CoarseDropoutTransform': 0.04794218162160598, 'fill--CoarseDropoutTransform': 69}"
3,0.2613232400756152,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 2, 'r_shift_limit--left--RGBShiftTransform': 60.917024153331255, 'r_shift_limit--right--RGBShiftTransform': 73.86181564366385, 'g_shift_limit--left--RGBShiftTransform': -35.132500852341444, 'g_shift_limit--right--RGBShiftTransform': 38.60755645991534, 'b_shift_limit--left--RGBShiftTransform': 77.96842569605133, 'b_shift_limit--right--RGBShiftTransform': 78.64161645661636, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 3, 'blur_limit--right--MedianBlurTransform': 4, 'idx_choice--4': 2, 'scale--RainbowTransform': 0.5733892785850128, 'per_channel--RainbowTransform': False, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 2.5665508319128953, 'distort_limit--right--OpticalDistortionTransform': 5.542464500523396, 'fill--OpticalDistortionTransform': 61, 'idx_choice--6': 2, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 33, 'num_holes_range--right--CoarseDropoutTransform': 91, 'hole_height_range--left--CoarseDropoutTransform': 0.04066305253442632, 'hole_height_range--right--CoarseDropoutTransform': 0.047542354279921505, 'hole_width_range--left--CoarseDropoutTransform': 0.04819469899356035, 'hole_width_range--right--CoarseDropoutTransform': 0.04878996294262914, 'fill--CoarseDropoutTransform': 11}"
4,0.767779052712112,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.07082527643821233, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 2, 'r_shift_limit--left--RGBShiftTransform': 19.566139563569166, 'r_shift_limit--right--RGBShiftTransform': 79.20167352585199, 'g_shift_limit--left--RGBShiftTransform': -23.1754106923078, 'g_shift_limit--right--RGBShiftTransform': 61.431403192522495, 'b_shift_limit--left--RGBShiftTransform': -57.69173621623013, 'b_shift_limit--right--RGBShiftTransform': -55.72671364298599, 'idx_choice--3': 1, 'blur_limit--GaussianBlurTransform': 4, 'sigma_limit--left--GaussianBlurTransform': 1.4079616687303669, 'sigma_limit--right--GaussianBlurTransform': 1.7840386799759314, 'idx_choice--4': 4, 'radius--left--DefocusTransform': 4, 'radius--right--DefocusTransform': 7, 'alias_blur--left--DefocusTransform': 12.31854054243058, 'alias_blur--right--DefocusTransform': 14.760949111369694, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 6.173515519108546, 'distort_limit--right--OpticalDistortionTransform': 9.87297885447541, 'fill--OpticalDistortionTransform': 102, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 39, 'quality_range--right--CompressionTransform': 75, 'idx_choice--7': 2}"
5,0.9443599262407848,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 6, 'by_channels--EqualizeTransform': False, 'mode--EqualizeTransform': 'pil', 'idx_choice--3': 4, 'alpha--left--SharpenTransform': 0.386483241911948, 'alpha--right--SharpenTransform': 0.7922714751839222, 'lightness--left--SharpenTransform': 1.2440110397928617, 'lightness--right--SharpenTransform': 1.8712446124347626, 'method--SharpenTransform': 'gaussian', 'idx_choice--4': 4, 'radius--left--DefocusTransform': 5, 'radius--right--DefocusTransform': 6, 'alias_blur--left--DefocusTransform': 2.9399289573618548, 'alias_blur--right--DefocusTransform': 18.21034417759249, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.09829945862437722, 'shift_limit--right--ShiftScaleRotateTransform': 0.18946880732607108, 'scale_limit--left--ShiftScaleRotateTransform': 0.023835157877023252, 'scale_limit--right--ShiftScaleRotateTransform': 0.7623499645571509, 'rotate_limit--left--ShiftScaleRotateTransform': 184.86537578951788, 'rotate_limit--right--ShiftScaleRotateTransform': 339.3314170494391, 'fill--ShiftScaleRotateTransform': 189, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.33459874737759987, 'scale_range--right--DownscaleTransform': 0.9708959900032086, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 14, 'num_holes_range--right--CoarseDropoutTransform': 33, 'hole_height_range--left--CoarseDropoutTransform': 0.02555421066496838, 'hole_height_range--right--CoarseDropoutTransform': 0.045915741478068456, 'hole_width_range--left--CoarseDropoutTransform': 0.027653367057997143, 'hole_width_range--right--CoarseDropoutTransform': 0.049219695395144925, 'fill--CoarseDropoutTransform': 60}"
6,0.9659580212263834,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 8, 'idx_choice--3': 1, 'blur_limit--GaussianBlurTransform': 13, 'sigma_limit--left--GaussianBlurTransform': 0.6810248740744916, 'sigma_limit--right--GaussianBlurTransform': 1.833115578277916, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0221759577947649, 'max_factor--right--ZoomBlurTransform': 1.091942680889756, 'step_factor--left--ZoomBlurTransform': 0.045795183253717335, 'step_factor--right--ZoomBlurTransform': 0.04852641151098682, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 6.032414799188993, 'distort_limit--right--OpticalDistortionTransform': 6.402600213008316, 'fill--OpticalDistortionTransform': 114, 'idx_choice--6': 2, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 11, 'num_holes_range--right--CoarseDropoutTransform': 68, 'hole_height_range--left--CoarseDropoutTransform': 0.037232616889016974, 'hole_height_range--right--CoarseDropoutTransform': 0.04147941525317188, 'hole_width_range--left--CoarseDropoutTransform': 0.010502056627171706, 'hole_width_range--right--CoarseDropoutTransform': 0.020558066317350493, 'fill--CoarseDropoutTransform': 159}"
7,0.8170619501865336,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 4, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.08323152944150881, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 2, 'r_shift_limit--left--RGBShiftTransform': 69.4501709823567, 'r_shift_limit--right--RGBShiftTransform': 71.82619821488876, 'g_shift_limit--left--RGBShiftTransform': 19.850851250678957, 'g_shift_limit--right--RGBShiftTransform': 31.414477270512606, 'b_shift_limit--left--RGBShiftTransform': 58.4224929156326, 'b_shift_limit--right--RGBShiftTransform': 66.01885446237567, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 3, 'blur_limit--right--BlurTransform': 8, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.8360747754877365, 'snow_point_range--right--SnowTransform': 0.8724531912170567, 'brightness_coeff--SnowTransform': 1.259912987743824, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 4.446204641580247, 'distort_limit--right--OpticalDistortionTransform': 8.514576481282925, 'fill--OpticalDistortionTransform': 19, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.3896258552297257, 'scale_range--right--DownscaleTransform': 0.9105946465392405, 'idx_choice--7': 2}"
8,0.13916729982052597,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 2, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 1, 'idx_choice--2': 8, 'idx_choice--3': 4, 'alpha--left--SharpenTransform': 0.4299408488741552, 'alpha--right--SharpenTransform': 0.5999865538093812, 'lightness--left--SharpenTransform': 0.24715447696079995, 'lightness--right--SharpenTransform': 0.7291096734609822, 'method--SharpenTransform': 'gaussian', 'idx_choice--4': 2, 'scale--RainbowTransform': 0.5981756315131707, 'per_channel--RainbowTransform': True, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.06398901817704994, 'shift_limit--right--ShiftScaleRotateTransform': 0.15571512545091362, 'scale_limit--left--ShiftScaleRotateTransform': 0.1484340452719594, 'scale_limit--right--ShiftScaleRotateTransform': 0.2902262778669098, 'rotate_limit--left--ShiftScaleRotateTransform': -350.4684398257095, 'rotate_limit--right--ShiftScaleRotateTransform': -72.20612926843313, 'fill--ShiftScaleRotateTransform': 44, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 9, 'quality_range--right--CompressionTransform': 86, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 43, 'num_holes_range--right--CoarseDropoutTransform': 60, 'hole_height_range--left--CoarseDropoutTransform': 0.005252281618669132, 'hole_height_range--right--CoarseDropoutTransform': 0.04004974390754372, 'hole_width_range--left--CoarseDropoutTransform': 0.004431585212689417, 'hole_width_range--right--CoarseDropoutTransform': 0.041671992316073235, 'fill--CoarseDropoutTransform': 191}"
9,0.2639971509688892,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.016322040066553904, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 11, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 6, 'blur_limit--right--BlurTransform': 8, 'idx_choice--4': 4, 'radius--left--DefocusTransform': 1, 'radius--right--DefocusTransform': 3, 'alias_blur--left--DefocusTransform': 11.34767286891035, 'alias_blur--right--DefocusTransform': 21.131274318556528, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 656.7384212004571, 'scale--right--PerspectiveTransform': 657.9460588574169, 'fill--PerspectiveTransform': 108, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 96, 'quality_range--right--CompressionTransform': 97, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 68, 'num_holes_range--right--CoarseDropoutTransform': 92, 'hole_height_range--left--CoarseDropoutTransform': 0.008387538043248467, 'hole_height_range--right--CoarseDropoutTransform': 0.01988032222057695, 'hole_width_range--left--CoarseDropoutTransform': 0.004993279400571811, 'hole_width_range--right--CoarseDropoutTransform': 0.02461070081145903, 'fill--CoarseDropoutTransform': 151}"
