param,value
hue_shift_limit--right--HSVTransform,0.03306906057997826
val_shift_limit--left--HSVTransform,0.032016843353100365
hue_shift_limit--left--HSVTransform,0.03138765461346506
blur_value--RainTransform,0.028627709323813002
brightness_coefficient--RainTransform,0.028293352096061257
val_shift_limit--right--HSVTransform,0.027308919732047587
blur_limit--right--BlurTransform,0.02521638746972089
contrast_limit--left--BrightnessContrastTransform,0.02472428718182804
contrast_limit--right--BrightnessContrastTransform,0.0242459370054969
brightness_limit--right--BrightnessContrastTransform,0.021868741131874307
brightness_limit--left--BrightnessContrastTransform,0.02145179793636063
alpha--right--SharpenTransform,0.020466485846010588
lightness--left--SharpenTransform,0.019017109589870122
idx_choice--7,0.01880083046012433
lightness--right--SharpenTransform,0.017251252402123232
alpha--left--SharpenTransform,0.017094296193960676
b_shift_limit--right--RGBShiftTransform,0.01683236529844668
fill--CoarseDropoutTransform,0.0166069587938872
snow_point_range--right--SnowTransform,0.016441522482219396
sat_shift_limit--right--HSVTransform,0.015673930095265264
snow_point_range--left--SnowTransform,0.01555676026615467
slant_range--left--RainTransform,0.015053119410487804
drop_length--RainTransform,0.014741783017880882
slant_range--right--RainTransform,0.014625786922970842
rain_type--RainTransform,0.014137594762464423
distort_limit--right--OpticalDistortionTransform,0.013910472770660907
b_shift_limit--left--RGBShiftTransform,0.013425578684588959
scale--left--PerspectiveTransform,0.013099182298029987
ratio--GridDropoutTransform,0.01300027470022474
alpha--left--EmbossTransform,0.012972216692535427
primary_distortion_limit--left--ChromaticAberrationTransform,0.012768921372195305
distort_limit--left--OpticalDistortionTransform,0.011176692731402245
max_factor--right--ZoomBlurTransform,0.01117323369728995
scale--RainbowTransform,0.010925353407999761
primary_distortion_limit--right--ChromaticAberrationTransform,0.010853898485938634
r_shift_limit--left--RGBShiftTransform,0.010791159337648779
blur_limit--left--MotionBlurTransform,0.01070812199251308
sat_shift_limit--left--HSVTransform,0.01030113505979352
step_factor--left--ZoomBlurTransform,0.01015911486860915
interpolation--ChromaticAberrationTransform,0.009782865985697097
dropout_prob--PixelDropoutTransform,0.009495029484774698
drop_width--RainTransform,0.009431655492855613
g_shift_limit--left--RGBShiftTransform,0.009344576190741702
max_factor--left--ZoomBlurTransform,0.00862828767538289
r_shift_limit--right--RGBShiftTransform,0.008107786064763183
idx_choice--5,0.007952482511071696
angle_range--right--MotionBlurTransform,0.007894389502821182
unit_size_range--right--GridDropoutTransform,0.007563429050507816
