param,value
hue_shift_limit--right--HSVTransform,0.032298441254534335
sat_shift_limit--right--HSVTransform,0.032298441254534335
val_shift_limit--left--HSVTransform,0.032298441254534335
val_shift_limit--right--HSVTransform,0.032298441254534335
sat_shift_limit--left--HSVTransform,0.032298441254534335
hue_shift_limit--left--HSVTransform,0.032298441254534335
num_bits--PosterizeTransform,0.030601440149243795
contrast_limit--left--BrightnessContrastTransform,0.029400690382008165
brightness_limit--left--BrightnessContrastTransform,0.028524839828348972
contrast_limit--right--BrightnessContrastTransform,0.02697399017624209
primary_distortion_limit--left--ChromaticAberrationTransform,0.02237896798675206
threshold_range--right--SolarizeTransform,0.022040798077983686
primary_distortion_limit--right--ChromaticAberrationTransform,0.019281808171991526
secondary_distortion_limit--left--ChromaticAberrationTransform,0.018664384762833577
secondary_distortion_limit--right--ChromaticAberrationTransform,0.018471169684531764
interpolation--ChromaticAberrationTransform,0.018186577134097808
per_channel--RainbowTransform,0.01744685625800179
mode--ChromaticAberrationTransform,0.01621543206176796
unit_size_range--left--GridDropoutTransform,0.0145096899308005
step_factor--right--ZoomBlurTransform,0.012564930680197286
step_factor--left--ZoomBlurTransform,0.012547069780092016
lightness--right--SharpenTransform,0.012337045866259576
compression_type--CompressionTransform,0.012268312145562342
gamma_limit--right--GammaTransform,0.011649874452064942
distort_limit--right--OpticalDistortionTransform,0.011468310860372595
distort_limit--left--OpticalDistortionTransform,0.011450669976770727
fill--GridDropoutTransform,0.011396730846127752
idx_choice--1,0.011298009242002577
idx_choice--3,0.010877201998386817
operation--MorphologicalTransform,0.010739642650138983
max_factor--right--ZoomBlurTransform,0.010731273824899266
idx_choice--5,0.010325043288249233
strength--left--EmbossTransform,0.009800979706061386
idx_choice--0,0.009767504107751701
ratio--GridDropoutTransform,0.00976574720526399
strength--right--EmbossTransform,0.009645529615291935
blur_value--RainTransform,0.009632186019564162
blur_limit--left--BlurTransform,0.009529010791717701
scale--right--PerspectiveTransform,0.00936258757018425
lightness--left--SharpenTransform,0.009341554393418999
blur_limit--right--BlurTransform,0.00932285936647996
