step,score,params
0,0.11143852479518525,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.016273668585994227, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 4, 'threshold_range--left--SolarizeTransform': 0.848446379339291, 'threshold_range--right--SolarizeTransform': 0.9775472017925025, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 7, 'blur_limit--right--MedianBlurTransform': 12, 'idx_choice--4': 0, 'rain_type--RainTransform': 'heavy', 'slant_range--left--RainTransform': 2.111472572522203, 'slant_range--right--RainTransform': 26.19570924652956, 'drop_length--RainTransform': 8, 'drop_width--RainTransform': 2, 'blur_value--RainTransform': 24, 'brightness_coefficient--RainTransform': 0.6074245126402487, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 9.090068959899401, 'distort_limit--right--OpticalDistortionTransform': 9.903458298189726, 'fill--OpticalDistortionTransform': 199, 'idx_choice--6': 2, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.1913105734006668, 'unit_size_range--left--GridDropoutTransform': 30, 'unit_size_range--right--GridDropoutTransform': 66, 'fill--GridDropoutTransform': 99}"
1,0.15362767338917774,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.10079160152322243, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 7, 'idx_choice--3': 1, 'blur_limit--GaussianBlurTransform': 4, 'sigma_limit--left--GaussianBlurTransform': 0.7605004218195893, 'sigma_limit--right--GaussianBlurTransform': 1.1593278995614291, 'idx_choice--4': 6, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 398.54915264477245, 'scale--right--PerspectiveTransform': 843.5111934122101, 'fill--PerspectiveTransform': 73, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 29, 'quality_range--right--CompressionTransform': 67, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.18590150655134244, 'unit_size_range--left--GridDropoutTransform': 39, 'unit_size_range--right--GridDropoutTransform': 95, 'fill--GridDropoutTransform': 159}"
2,0.26581840050428385,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 6, 'by_channels--EqualizeTransform': False, 'mode--EqualizeTransform': 'pil', 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 10, 'blur_limit--right--MotionBlurTransform': 15, 'allow_shifted--MotionBlurTransform': False, 'angle_range--left--MotionBlurTransform': 16.78086949527545, 'angle_range--right--MotionBlurTransform': 333.60515320947127, 'direction_range--left--MotionBlurTransform': 0.28735721943461945, 'direction_range--right--MotionBlurTransform': 0.9188875114994803, 'idx_choice--4': 6, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.19538650036179317, 'shift_limit--right--ShiftScaleRotateTransform': 0.19967189108279626, 'scale_limit--left--ShiftScaleRotateTransform': 0.571974893415088, 'scale_limit--right--ShiftScaleRotateTransform': 0.9700650147494367, 'rotate_limit--left--ShiftScaleRotateTransform': 174.2432544358992, 'rotate_limit--right--ShiftScaleRotateTransform': 294.78936403940486, 'fill--ShiftScaleRotateTransform': 175, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.5822902865557548, 'scale_range--right--DownscaleTransform': 0.687336457004846, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.24490385493299535, 'unit_size_range--left--GridDropoutTransform': 36, 'unit_size_range--right--GridDropoutTransform': 87, 'fill--GridDropoutTransform': 25}"
3,0.030654198964229967,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 2, 'scale--right--MorphologicalTransform': 5, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 1, 'idx_choice--2': 6, 'by_channels--EqualizeTransform': False, 'mode--EqualizeTransform': 'cv', 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 7, 'blur_limit--right--MedianBlurTransform': 8, 'idx_choice--4': 6, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 177.37727155336844, 'scale--right--PerspectiveTransform': 804.4508579436769, 'fill--PerspectiveTransform': 238, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 63, 'quality_range--right--CompressionTransform': 64, 'idx_choice--7': 2}"
4,0.11454935166257145,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 2, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.06542407809720044, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 11, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 5, 'blur_limit--right--BlurTransform': 6, 'idx_choice--4': 4, 'radius--left--DefocusTransform': 2, 'radius--right--DefocusTransform': 10, 'alias_blur--left--DefocusTransform': 18.405132710777245, 'alias_blur--right--DefocusTransform': 23.0093262263935, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 743.632248826481, 'scale--right--PerspectiveTransform': 878.9702364529304, 'fill--PerspectiveTransform': 224, 'idx_choice--6': 2, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 67, 'num_holes_range--right--CoarseDropoutTransform': 73, 'hole_height_range--left--CoarseDropoutTransform': 0.03010425208892285, 'hole_height_range--right--CoarseDropoutTransform': 0.03082247064755747, 'hole_width_range--left--CoarseDropoutTransform': 0.04996475317538877, 'hole_width_range--right--CoarseDropoutTransform': 0.04997354624014617, 'fill--CoarseDropoutTransform': 88}"
5,0.09691114742032121,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 1, 'scale--right--MorphologicalTransform': 4, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.06694131209598049, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 5, 'num_bits--PosterizeTransform': 3, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 5, 'blur_limit--right--BlurTransform': 7, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.054261743504178, 'max_factor--right--ZoomBlurTransform': 1.0621208091230938, 'step_factor--left--ZoomBlurTransform': 0.023292897464541523, 'step_factor--right--ZoomBlurTransform': 0.04681166679606132, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.07660238218643534, 'shift_limit--right--ShiftScaleRotateTransform': 0.10697271143494058, 'scale_limit--left--ShiftScaleRotateTransform': 0.8120563542447029, 'scale_limit--right--ShiftScaleRotateTransform': 0.9922069860526077, 'rotate_limit--left--ShiftScaleRotateTransform': -80.66201926227143, 'rotate_limit--right--ShiftScaleRotateTransform': -68.28553195459558, 'fill--ShiftScaleRotateTransform': 167, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.6493213253130669, 'scale_range--right--DownscaleTransform': 0.9383300206906972, 'idx_choice--7': 2}"
6,0.21043041044021288,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 4, 'threshold_range--left--SolarizeTransform': 0.9677947126496926, 'threshold_range--right--SolarizeTransform': 0.9767517740915441, 'idx_choice--3': 6, 'idx_choice--4': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': 0.5183719117521173, 'primary_distortion_limit--right--ChromaticAberrationTransform': 0.5447066208382008, 'secondary_distortion_limit--left--ChromaticAberrationTransform': -0.4644452945945453, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.42627053605798376, 'mode--ChromaticAberrationTransform': 'green_purple', 'interpolation--ChromaticAberrationTransform': 1, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 724.5354276856376, 'scale--right--PerspectiveTransform': 899.0251579371776, 'fill--PerspectiveTransform': 211, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 7, 'quality_range--right--CompressionTransform': 89, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.22763581130174063, 'unit_size_range--left--GridDropoutTransform': 39, 'unit_size_range--right--GridDropoutTransform': 89, 'fill--GridDropoutTransform': 34}"
7,0.11518868414190464,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 9, 'idx_choice--3': 6, 'idx_choice--4': 4, 'radius--left--DefocusTransform': 8, 'radius--right--DefocusTransform': 9, 'alias_blur--left--DefocusTransform': 24.514449823837598, 'alias_blur--right--DefocusTransform': 24.96977032077905, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.18089063392740384, 'shift_limit--right--ShiftScaleRotateTransform': 0.1974596799724712, 'scale_limit--left--ShiftScaleRotateTransform': 0.2492287822791088, 'scale_limit--right--ShiftScaleRotateTransform': 0.9948074474815101, 'rotate_limit--left--ShiftScaleRotateTransform': -33.875850281999874, 'rotate_limit--right--ShiftScaleRotateTransform': 252.2191725671259, 'fill--ShiftScaleRotateTransform': 118, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.7388588644451386, 'scale_range--right--DownscaleTransform': 0.8796281238411743, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 3, 'num_holes_range--right--CoarseDropoutTransform': 79, 'hole_height_range--left--CoarseDropoutTransform': 0.010920614802884927, 'hole_height_range--right--CoarseDropoutTransform': 0.03763185917479544, 'hole_width_range--left--CoarseDropoutTransform': 0.012997010954380822, 'hole_width_range--right--CoarseDropoutTransform': 0.047274657146513195, 'fill--CoarseDropoutTransform': 100}"
8,0.14408786816347463,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 4, 'threshold_range--left--SolarizeTransform': 0.8381417565913633, 'threshold_range--right--SolarizeTransform': 0.9642802500079374, 'idx_choice--3': 4, 'alpha--left--SharpenTransform': 0.6827897387669618, 'alpha--right--SharpenTransform': 0.7730945489824768, 'lightness--left--SharpenTransform': 1.3373628674024063, 'lightness--right--SharpenTransform': 1.8514998738501722, 'method--SharpenTransform': 'kernel', 'idx_choice--4': 6, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 2.7548105876108924, 'distort_limit--right--OpticalDistortionTransform': 4.149626226429591, 'fill--OpticalDistortionTransform': 233, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.2164631264046092, 'scale_range--right--DownscaleTransform': 0.6667698247940164, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.14098125248376778, 'unit_size_range--left--GridDropoutTransform': 57, 'unit_size_range--right--GridDropoutTransform': 60, 'fill--GridDropoutTransform': 13}"
9,0.2567785635831091,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 3, 'gamma_limit--left--GammaTransform': 31.710693844804542, 'gamma_limit--right--GammaTransform': 139.35911607659827, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 3, 'blur_limit--right--MedianBlurTransform': 5, 'idx_choice--4': 6, 'idx_choice--5': 3, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.972955721446054, 'scale_range--right--DownscaleTransform': 0.9872346718583354, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 26, 'num_holes_range--right--CoarseDropoutTransform': 65, 'hole_height_range--left--CoarseDropoutTransform': 0.038224615548838055, 'hole_height_range--right--CoarseDropoutTransform': 0.046198000894648684, 'hole_width_range--left--CoarseDropoutTransform': 0.021686666141087146, 'hole_width_range--right--CoarseDropoutTransform': 0.030927870842348878, 'fill--CoarseDropoutTransform': 30}"
