step,score,params
0,0.19280942421256209,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 1, 'idx_choice--2': 5, 'num_bits--PosterizeTransform': 4, 'idx_choice--3': 1, 'blur_limit--GaussianBlurTransform': 12, 'sigma_limit--left--GaussianBlurTransform': 0.3908223491778728, 'sigma_limit--right--GaussianBlurTransform': 0.7050324582701755, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0619726439265293, 'max_factor--right--ZoomBlurTransform': 1.0828258281317769, 'step_factor--left--ZoomBlurTransform': 0.031218482464875616, 'step_factor--right--ZoomBlurTransform': 0.047240172485645784, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 5.764036634604052, 'distort_limit--right--OpticalDistortionTransform': 6.502432734498671, 'fill--OpticalDistortionTransform': 109, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 41, 'quality_range--right--CompressionTransform': 62, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 43, 'num_holes_range--right--CoarseDropoutTransform': 45, 'hole_height_range--left--CoarseDropoutTransform': 0.004699944471206876, 'hole_height_range--right--CoarseDropoutTransform': 0.012244004985016287, 'hole_width_range--left--CoarseDropoutTransform': 0.045043137090387916, 'hole_width_range--right--CoarseDropoutTransform': 0.04814236532455531, 'fill--CoarseDropoutTransform': 172}"
1,0.3741637606362719,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.11639694493015759, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 7, 'idx_choice--3': 6, 'idx_choice--4': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': 0.2341180867010113, 'primary_distortion_limit--right--ChromaticAberrationTransform': 0.329431557529949, 'secondary_distortion_limit--left--ChromaticAberrationTransform': -0.26278082979991, 'secondary_distortion_limit--right--ChromaticAberrationTransform': -0.1146378984206251, 'mode--ChromaticAberrationTransform': 'red_blue', 'interpolation--ChromaticAberrationTransform': 0, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 560.5191720224294, 'scale--right--PerspectiveTransform': 597.0884366263922, 'fill--PerspectiveTransform': 188, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.5951285022405395, 'scale_range--right--DownscaleTransform': 0.984194759381829, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 21, 'num_holes_range--right--CoarseDropoutTransform': 28, 'hole_height_range--left--CoarseDropoutTransform': 0.0014215656155665542, 'hole_height_range--right--CoarseDropoutTransform': 0.012304911276248501, 'hole_width_range--left--CoarseDropoutTransform': 0.040032912910591946, 'hole_width_range--right--CoarseDropoutTransform': 0.04219383465007763, 'fill--CoarseDropoutTransform': 102}"
2,0.14258027047679714,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 4, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.13760307571497937, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 1, 'hue_shift_limit--left--HSVTransform': 105.5163955306964, 'hue_shift_limit--right--HSVTransform': 144.01182821127952, 'sat_shift_limit--left--HSVTransform': 147.91895171035463, 'sat_shift_limit--right--HSVTransform': 150.02740660057697, 'val_shift_limit--left--HSVTransform': -54.706156686800576, 'val_shift_limit--right--HSVTransform': 51.508612658013895, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 8, 'blur_limit--right--BlurTransform': 10, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.5656832710794231, 'snow_point_range--right--SnowTransform': 0.8125802283677668, 'brightness_coeff--SnowTransform': 1.4732326671645195, 'idx_choice--5': 3, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 42, 'quality_range--right--CompressionTransform': 84, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.06440225836313421, 'unit_size_range--left--GridDropoutTransform': 23, 'unit_size_range--right--GridDropoutTransform': 89, 'fill--GridDropoutTransform': 2}"
3,0.4993993558250832,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 8, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 6, 'blur_limit--right--BlurTransform': 10, 'idx_choice--4': 6, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 353.1627235167021, 'scale--right--PerspectiveTransform': 490.4558963048371, 'fill--PerspectiveTransform': 164, 'idx_choice--6': 2, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.04768651514175404, 'unit_size_range--left--GridDropoutTransform': 41, 'unit_size_range--right--GridDropoutTransform': 96, 'fill--GridDropoutTransform': 184}"
4,0.03163371896708025,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.11234617777343169, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 9, 'idx_choice--3': 5, 'alpha--left--EmbossTransform': 0.1648349456663468, 'alpha--right--EmbossTransform': 0.8130770176907618, 'strength--left--EmbossTransform': 0.81753085999254, 'strength--right--EmbossTransform': 0.8628353246034312, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0474576957458626, 'max_factor--right--ZoomBlurTransform': 1.0511841558839163, 'step_factor--left--ZoomBlurTransform': 0.024855492981759233, 'step_factor--right--ZoomBlurTransform': 0.042196979999835564, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.1731781079095453, 'shift_limit--right--ShiftScaleRotateTransform': 0.17810324789497373, 'scale_limit--left--ShiftScaleRotateTransform': 0.5755568714520828, 'scale_limit--right--ShiftScaleRotateTransform': 0.9537923593826579, 'rotate_limit--left--ShiftScaleRotateTransform': 355.84726173016554, 'rotate_limit--right--ShiftScaleRotateTransform': 357.49426575775084, 'fill--ShiftScaleRotateTransform': 40, 'idx_choice--6': 2, 'idx_choice--7': 2}"
5,0.18083777817898322,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 1, 'idx_choice--2': 10, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 13, 'blur_limit--right--MotionBlurTransform': 15, 'allow_shifted--MotionBlurTransform': True, 'angle_range--left--MotionBlurTransform': 83.1122624150059, 'angle_range--right--MotionBlurTransform': 113.51034345650609, 'direction_range--left--MotionBlurTransform': -0.08246410971793139, 'direction_range--right--MotionBlurTransform': 0.7574302626434998, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0847560928860747, 'max_factor--right--ZoomBlurTransform': 1.0956958718407177, 'step_factor--left--ZoomBlurTransform': 0.048111075330229, 'step_factor--right--ZoomBlurTransform': 0.04840522552038829, 'idx_choice--5': 3, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 68, 'quality_range--right--CompressionTransform': 71, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.04551102159378853, 'unit_size_range--left--GridDropoutTransform': 8, 'unit_size_range--right--GridDropoutTransform': 82, 'fill--GridDropoutTransform': 239}"
6,0.10583317380075279,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.04340515404794602, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 4, 'threshold_range--left--SolarizeTransform': 0.9027231330938962, 'threshold_range--right--SolarizeTransform': 0.9195757743353472, 'idx_choice--3': 6, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.6365767355833819, 'snow_point_range--right--SnowTransform': 0.703939218756713, 'brightness_coeff--SnowTransform': 1.5391457322104969, 'idx_choice--5': 3, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.9706523641809834, 'scale_range--right--DownscaleTransform': 0.9775175363132754, 'idx_choice--7': 2}"
7,0.3120089236417405,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 3, 'gamma_limit--left--GammaTransform': 91.81354286970425, 'gamma_limit--right--GammaTransform': 186.54757775094248, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 3, 'blur_limit--right--MotionBlurTransform': 12, 'allow_shifted--MotionBlurTransform': True, 'angle_range--left--MotionBlurTransform': 138.1174416635208, 'angle_range--right--MotionBlurTransform': 332.8796142894812, 'direction_range--left--MotionBlurTransform': -0.1751716003105026, 'direction_range--right--MotionBlurTransform': 0.6419560894799464, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.5974449964464104, 'snow_point_range--right--SnowTransform': 0.8163133257357645, 'brightness_coeff--SnowTransform': 1.468840828492573, 'idx_choice--5': 3, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.35220081023076866, 'scale_range--right--DownscaleTransform': 0.4610189131192324, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.3524915271859983, 'unit_size_range--left--GridDropoutTransform': 35, 'unit_size_range--right--GridDropoutTransform': 56, 'fill--GridDropoutTransform': 98}"
8,0.36787108699735166,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 1, 'scale--right--MorphologicalTransform': 3, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.08823753733770799, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 6, 'by_channels--EqualizeTransform': False, 'mode--EqualizeTransform': 'pil', 'idx_choice--3': 5, 'alpha--left--EmbossTransform': 0.36270667618274116, 'alpha--right--EmbossTransform': 0.6847505184153353, 'strength--left--EmbossTransform': 0.11570954434586589, 'strength--right--EmbossTransform': 0.7542081291895945, 'idx_choice--4': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': -0.09641222734887178, 'primary_distortion_limit--right--ChromaticAberrationTransform': 0.14115980073491022, 'secondary_distortion_limit--left--ChromaticAberrationTransform': 0.03835759841633568, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.1941505507672948, 'mode--ChromaticAberrationTransform': 'green_purple', 'interpolation--ChromaticAberrationTransform': 1, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.08352549091842731, 'shift_limit--right--ShiftScaleRotateTransform': 0.17364609636633396, 'scale_limit--left--ShiftScaleRotateTransform': 0.6269036888643567, 'scale_limit--right--ShiftScaleRotateTransform': 0.9583584053925283, 'rotate_limit--left--ShiftScaleRotateTransform': -41.05766608238622, 'rotate_limit--right--ShiftScaleRotateTransform': 195.8026234991292, 'fill--ShiftScaleRotateTransform': 171, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 60, 'quality_range--right--CompressionTransform': 94, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 89, 'num_holes_range--right--CoarseDropoutTransform': 92, 'hole_height_range--left--CoarseDropoutTransform': 0.04394855327893633, 'hole_height_range--right--CoarseDropoutTransform': 0.04928659449774145, 'hole_width_range--left--CoarseDropoutTransform': 0.019627573091438304, 'hole_width_range--right--CoarseDropoutTransform': 0.04396377526563665, 'fill--CoarseDropoutTransform': 66}"
9,0.08026430141823797,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 0, 'brightness_limit--left--BrightnessContrastTransform': -0.022078978914668868, 'brightness_limit--right--BrightnessContrastTransform': -0.021377448532007185, 'contrast_limit--left--BrightnessContrastTransform': 0.18877702345578828, 'contrast_limit--right--BrightnessContrastTransform': 0.198822996389829, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 8, 'blur_limit--right--BlurTransform': 9, 'idx_choice--4': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': -0.11016516509971597, 'primary_distortion_limit--right--ChromaticAberrationTransform': -0.05329319748498795, 'secondary_distortion_limit--left--ChromaticAberrationTransform': 0.35947613470241113, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.5172783115803532, 'mode--ChromaticAberrationTransform': 'random', 'interpolation--ChromaticAberrationTransform': 1, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 2.7587644663773627, 'distort_limit--right--OpticalDistortionTransform': 3.712448303552698, 'fill--OpticalDistortionTransform': 114, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.8212497312636462, 'scale_range--right--DownscaleTransform': 0.9052445117706511, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.2491761769654256, 'unit_size_range--left--GridDropoutTransform': 51, 'unit_size_range--right--GridDropoutTransform': 64, 'fill--GridDropoutTransform': 67}"
