step,score,params
0,0.29717414921233287,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.09471052689402527, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 9, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 13, 'blur_limit--right--MotionBlurTransform': 15, 'allow_shifted--MotionBlurTransform': True, 'angle_range--left--MotionBlurTransform': 208.1496118210136, 'angle_range--right--MotionBlurTransform': 218.52507717291041, 'direction_range--left--MotionBlurTransform': 0.33126389376185505, 'direction_range--right--MotionBlurTransform': 0.7250471422453777, 'idx_choice--4': 2, 'scale--RainbowTransform': 0.36210553178634564, 'per_channel--RainbowTransform': True, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 635.4710674061984, 'scale--right--PerspectiveTransform': 656.4179277560157, 'fill--PerspectiveTransform': 49, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 56, 'quality_range--right--CompressionTransform': 68, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 26, 'num_holes_range--right--CoarseDropoutTransform': 30, 'hole_height_range--left--CoarseDropoutTransform': 0.020172752796341568, 'hole_height_range--right--CoarseDropoutTransform': 0.04044627238174009, 'hole_width_range--left--CoarseDropoutTransform': 0.010379583996330365, 'hole_width_range--right--CoarseDropoutTransform': 0.03089669597675755, 'fill--CoarseDropoutTransform': 43}"
1,0.9591165378689765,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 8, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 7, 'blur_limit--right--MotionBlurTransform': 11, 'allow_shifted--MotionBlurTransform': True, 'angle_range--left--MotionBlurTransform': 340.5666999773949, 'angle_range--right--MotionBlurTransform': 359.24580511894476, 'direction_range--left--MotionBlurTransform': -0.2503403795332114, 'direction_range--right--MotionBlurTransform': 0.6493117330987348, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.8753794246005119, 'snow_point_range--right--SnowTransform': 0.8901101390773289, 'brightness_coeff--SnowTransform': 0.9001850419267695, 'idx_choice--5': 3, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.46589940479685577, 'scale_range--right--DownscaleTransform': 0.8113325101562199, 'idx_choice--7': 2}"
2,0.5603953676298261,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.07969167286103486, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 4, 'threshold_range--left--SolarizeTransform': 0.9762069039306879, 'threshold_range--right--SolarizeTransform': 0.9935272118061033, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 8, 'blur_limit--right--MotionBlurTransform': 14, 'allow_shifted--MotionBlurTransform': True, 'angle_range--left--MotionBlurTransform': 28.407424487185583, 'angle_range--right--MotionBlurTransform': 269.697681801889, 'direction_range--left--MotionBlurTransform': 0.5160970794740127, 'direction_range--right--MotionBlurTransform': 0.8095875655797686, 'idx_choice--4': 0, 'rain_type--RainTransform': 'heavy', 'slant_range--left--RainTransform': 6.859360940994158, 'slant_range--right--RainTransform': 17.84480384369813, 'drop_length--RainTransform': 13, 'drop_width--RainTransform': 1, 'blur_value--RainTransform': 5, 'brightness_coefficient--RainTransform': 0.6832485983491213, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.04695308011167146, 'shift_limit--right--ShiftScaleRotateTransform': 0.17812275517535017, 'scale_limit--left--ShiftScaleRotateTransform': 0.7523416204083623, 'scale_limit--right--ShiftScaleRotateTransform': 0.8241318872738154, 'rotate_limit--left--ShiftScaleRotateTransform': 116.20333246395023, 'rotate_limit--right--ShiftScaleRotateTransform': 250.3504160921412, 'fill--ShiftScaleRotateTransform': 245, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 50, 'quality_range--right--CompressionTransform': 71, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 52, 'num_holes_range--right--CoarseDropoutTransform': 88, 'hole_height_range--left--CoarseDropoutTransform': 0.020281390875516975, 'hole_height_range--right--CoarseDropoutTransform': 0.025172491452432152, 'hole_width_range--left--CoarseDropoutTransform': 0.03425683049552226, 'hole_width_range--right--CoarseDropoutTransform': 0.04075591788117933, 'fill--CoarseDropoutTransform': 73}"
3,0.18338431268930436,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 5, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 1, 'idx_choice--2': 7, 'idx_choice--3': 1, 'blur_limit--GaussianBlurTransform': 19, 'sigma_limit--left--GaussianBlurTransform': 0.5100431579121905, 'sigma_limit--right--GaussianBlurTransform': 0.6289862466488926, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0151930867499768, 'max_factor--right--ZoomBlurTransform': 1.0249687862700207, 'step_factor--left--ZoomBlurTransform': 0.00691717776469623, 'step_factor--right--ZoomBlurTransform': 0.009327289182067218, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 6.405653258646781, 'distort_limit--right--OpticalDistortionTransform': 7.458608737772763, 'fill--OpticalDistortionTransform': 161, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.7838259803519116, 'scale_range--right--DownscaleTransform': 0.7934865073149554, 'idx_choice--7': 2}"
4,0.8983132362365722,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.04173089104753156, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 9, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 4, 'blur_limit--right--MotionBlurTransform': 8, 'allow_shifted--MotionBlurTransform': False, 'angle_range--left--MotionBlurTransform': 47.11344722489463, 'angle_range--right--MotionBlurTransform': 84.64740850561357, 'direction_range--left--MotionBlurTransform': 0.4580171312995762, 'direction_range--right--MotionBlurTransform': 0.7530012951011926, 'idx_choice--4': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': -0.04071787209366018, 'primary_distortion_limit--right--ChromaticAberrationTransform': 0.06819127591099329, 'secondary_distortion_limit--left--ChromaticAberrationTransform': 0.02252353484966685, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.2760002057882649, 'mode--ChromaticAberrationTransform': 'red_blue', 'interpolation--ChromaticAberrationTransform': 1, 'idx_choice--5': 3, 'idx_choice--6': 2, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.3866561219216097, 'unit_size_range--left--GridDropoutTransform': 67, 'unit_size_range--right--GridDropoutTransform': 95, 'fill--GridDropoutTransform': 73}"
5,0.3775855445419438,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 7, 'idx_choice--3': 1, 'blur_limit--GaussianBlurTransform': 5, 'sigma_limit--left--GaussianBlurTransform': 0.2313136321497883, 'sigma_limit--right--GaussianBlurTransform': 0.6152407537263209, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0783285504401927, 'max_factor--right--ZoomBlurTransform': 1.0968692140488883, 'step_factor--left--ZoomBlurTransform': 0.01780637603720505, 'step_factor--right--ZoomBlurTransform': 0.024121697601887905, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.12353158826433752, 'shift_limit--right--ShiftScaleRotateTransform': 0.14873254758864524, 'scale_limit--left--ShiftScaleRotateTransform': 0.8262585170044597, 'scale_limit--right--ShiftScaleRotateTransform': 0.8942798393276264, 'rotate_limit--left--ShiftScaleRotateTransform': 96.64300637458655, 'rotate_limit--right--ShiftScaleRotateTransform': 135.6670812877846, 'fill--ShiftScaleRotateTransform': 121, 'idx_choice--6': 2, 'idx_choice--7': 2}"
6,0.4109215808683075,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.10630756188679787, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 4, 'threshold_range--left--SolarizeTransform': 0.8929399851080915, 'threshold_range--right--SolarizeTransform': 0.985512834924136, 'idx_choice--3': 4, 'alpha--left--SharpenTransform': 0.5612060539812148, 'alpha--right--SharpenTransform': 0.568970978605229, 'lightness--left--SharpenTransform': 0.5502164514703001, 'lightness--right--SharpenTransform': 0.7685158965851471, 'method--SharpenTransform': 'kernel', 'idx_choice--4': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': -0.4431464346978546, 'primary_distortion_limit--right--ChromaticAberrationTransform': -0.13451818439826008, 'secondary_distortion_limit--left--ChromaticAberrationTransform': -0.5391410433918515, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.32321113649285593, 'mode--ChromaticAberrationTransform': 'random', 'interpolation--ChromaticAberrationTransform': 0, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 4.982935616980496, 'distort_limit--right--OpticalDistortionTransform': 6.266739359082397, 'fill--OpticalDistortionTransform': 190, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 26, 'quality_range--right--CompressionTransform': 75, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.14373408016293632, 'unit_size_range--left--GridDropoutTransform': 97, 'unit_size_range--right--GridDropoutTransform': 99, 'fill--GridDropoutTransform': 116}"
7,0.9529312893748283,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.018007368298558746, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 4, 'threshold_range--left--SolarizeTransform': 0.875590329347445, 'threshold_range--right--SolarizeTransform': 0.9623365767685166, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 9, 'blur_limit--right--MedianBlurTransform': 12, 'idx_choice--4': 4, 'radius--left--DefocusTransform': 5, 'radius--right--DefocusTransform': 8, 'alias_blur--left--DefocusTransform': 2.526711776681977, 'alias_blur--right--DefocusTransform': 17.64975855124092, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 124.75451575099594, 'scale--right--PerspectiveTransform': 496.1327227077066, 'fill--PerspectiveTransform': 79, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 71, 'quality_range--right--CompressionTransform': 73, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 86, 'num_holes_range--right--CoarseDropoutTransform': 92, 'hole_height_range--left--CoarseDropoutTransform': 0.019706763189120055, 'hole_height_range--right--CoarseDropoutTransform': 0.029361129685762072, 'hole_width_range--left--CoarseDropoutTransform': 0.0066038215606050365, 'hole_width_range--right--CoarseDropoutTransform': 0.04045079453133777, 'fill--CoarseDropoutTransform': 12}"
8,0.03424874661816344,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 4, 'threshold_range--left--SolarizeTransform': 0.8716025276882648, 'threshold_range--right--SolarizeTransform': 0.9146494151211535, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 6, 'blur_limit--right--BlurTransform': 7, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0672855941508008, 'max_factor--right--ZoomBlurTransform': 1.083596774269753, 'step_factor--left--ZoomBlurTransform': 0.04121598549745319, 'step_factor--right--ZoomBlurTransform': 0.04775461090184842, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 568.6063437948673, 'scale--right--PerspectiveTransform': 602.332384227568, 'fill--PerspectiveTransform': 118, 'idx_choice--6': 2, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.004001823472562372, 'unit_size_range--left--GridDropoutTransform': 7, 'unit_size_range--right--GridDropoutTransform': 13, 'fill--GridDropoutTransform': 163}"
9,0.9840887099504471,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.036132596420580206, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 10, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 5, 'blur_limit--right--BlurTransform': 10, 'idx_choice--4': 6, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.052426958692529724, 'shift_limit--right--ShiftScaleRotateTransform': 0.09869541164384235, 'scale_limit--left--ShiftScaleRotateTransform': 0.5332490394969698, 'scale_limit--right--ShiftScaleRotateTransform': 0.8450468795044237, 'rotate_limit--left--ShiftScaleRotateTransform': 56.692420978577275, 'rotate_limit--right--ShiftScaleRotateTransform': 119.01207215027225, 'fill--ShiftScaleRotateTransform': 226, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.8525015955247695, 'scale_range--right--DownscaleTransform': 0.9324241874333203, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 37, 'num_holes_range--right--CoarseDropoutTransform': 100, 'hole_height_range--left--CoarseDropoutTransform': 0.0009161819712697134, 'hole_height_range--right--CoarseDropoutTransform': 0.047961897016221125, 'hole_width_range--left--CoarseDropoutTransform': 0.013401134040111843, 'hole_width_range--right--CoarseDropoutTransform': 0.046298810537976624, 'fill--CoarseDropoutTransform': 87}"
