param,value
drop_width--RainTransform,0.03671332570863149
fill--ShiftScaleRotateTransform,0.026008806659803922
drop_length--RainTransform,0.024757475116548626
slant_range--left--RainTransform,0.024549417454133606
blur_limit--right--MedianBlurTransform,0.021230199407643313
by_channels--EqualizeTransform,0.02076485396395199
idx_choice--7,0.020701860198402703
b_shift_limit--right--RGBShiftTransform,0.02034148163554079
slant_range--right--RainTransform,0.02009380655421306
primary_distortion_limit--right--ChromaticAberrationTransform,0.01975719993633715
blur_value--RainTransform,0.019700454309523146
fill--PerspectiveTransform,0.017955686301933105
scale_limit--left--ShiftScaleRotateTransform,0.017391811514652213
mode--EqualizeTransform,0.01696839585090209
num_holes_range--left--CoarseDropoutTransform,0.01659671501164784
b_shift_limit--left--RGBShiftTransform,0.016549197877607797
blur_limit--left--MedianBlurTransform,0.016140122305689602
fill--OpticalDistortionTransform,0.015974945734283322
mode--ChromaticAberrationTransform,0.015537522792270194
brightness_coefficient--RainTransform,0.015324688093856672
num_holes_range--right--CoarseDropoutTransform,0.015159416163746131
rain_type--RainTransform,0.014730787645286007
max_factor--left--ZoomBlurTransform,0.014679373985723531
max_factor--right--ZoomBlurTransform,0.014610132629013832
scale_limit--right--ShiftScaleRotateTransform,0.01446124224689564
lightness--left--SharpenTransform,0.014341809123535958
fill--CoarseDropoutTransform,0.013808847174561368
unit_size_range--left--GridDropoutTransform,0.01373031313850521
unit_size_range--right--GridDropoutTransform,0.013617375734997012
ratio--GridDropoutTransform,0.01354633778598798
snow_point_range--left--SnowTransform,0.012488597421973915
step_factor--left--ZoomBlurTransform,0.011609431872842904
strength--left--EmbossTransform,0.01153336233980239
gamma_limit--right--GammaTransform,0.010957295079241418
gamma_limit--left--GammaTransform,0.01046887478311885
shift_limit--left--ShiftScaleRotateTransform,0.010274913687369935
sigma_limit--right--GaussianBlurTransform,0.01013673910580685
alpha--right--EmbossTransform,0.009871152406340893
blur_limit--GaussianBlurTransform,0.009708491512537689
step_factor--right--ZoomBlurTransform,0.009676272903049295
g_shift_limit--left--RGBShiftTransform,0.009635957650874308
scale_range--left--DownscaleTransform,0.009364299703075344
scale--right--MorphologicalTransform,0.008910055827859868
compression_type--CompressionTransform,0.008505349723757246
scale_range--right--DownscaleTransform,0.008480784762293839
alpha--right--SharpenTransform,0.008423973036025902
fill--GridDropoutTransform,0.008138962163053532
alpha--left--EmbossTransform,0.00802617359589888
direction_range--right--MotionBlurTransform,0.007857169485157576
alpha--left--SharpenTransform,0.007776084181602134
shift_limit--right--ShiftScaleRotateTransform,0.007738351590451749
brightness_limit--right--BrightnessContrastTransform,0.00735995602854066
quality_range--right--CompressionTransform,0.00735323473314088
per_channel--PixelDropoutTransform,0.0073209230108458485
lightness--right--SharpenTransform,0.00714208045238821
distort_limit--right--OpticalDistortionTransform,0.006942348711899909
hole_height_range--left--CoarseDropoutTransform,0.006836234330705496
scale--right--PerspectiveTransform,0.006710680365052115
strength--right--EmbossTransform,0.0066367572817378016
hue_shift_limit--right--HSVTransform,0.006573275879237087
angle_range--left--MotionBlurTransform,0.0063272929338188824
per_channel--RainbowTransform,0.0062524927328632155
blur_limit--left--MotionBlurTransform,0.005955846546189472
dropout_prob--PixelDropoutTransform,0.005949349623752749
quality_range--left--CompressionTransform,0.005848411282570136
sigma_limit--left--GaussianBlurTransform,0.005757971532252008
blur_limit--right--MotionBlurTransform,0.005582315602396036
rotate_limit--left--ShiftScaleRotateTransform,0.005520426769258635
threshold_range--left--SolarizeTransform,0.005510380584786915
idx_choice--6,0.005424852204603265
num_bits--PosterizeTransform,0.005329063808516576
r_shift_limit--right--RGBShiftTransform,0.005298897809777261
brightness_coeff--SnowTransform,0.004922492098505531
threshold_range--right--SolarizeTransform,0.004877575957864684
hole_width_range--right--CoarseDropoutTransform,0.004838494881706573
hole_width_range--left--CoarseDropoutTransform,0.004650181956108198
operation--MorphologicalTransform,0.004516230593601483
alias_blur--right--DefocusTransform,0.004488879204158688
radius--right--DefocusTransform,0.00443545972651459
primary_distortion_limit--left--ChromaticAberrationTransform,0.0043975419652520645
contrast_limit--right--BrightnessContrastTransform,0.004365058425634636
snow_point_range--right--SnowTransform,0.004344450409849157
hole_height_range--right--CoarseDropoutTransform,0.004302818701421579
alias_blur--left--DefocusTransform,0.004300444942227952
allow_shifted--MotionBlurTransform,0.004115803096008642
idx_choice--0,0.004013243892722114
angle_range--right--MotionBlurTransform,0.003953582163323704
idx_choice--3,0.0038167068813230814
idx_choice--5,0.00381662383235489
method--SharpenTransform,0.003779069963656318
blur_limit--left--BlurTransform,0.0036037731481920587
interpolation--ChromaticAberrationTransform,0.0034115355406918292
secondary_distortion_limit--right--ChromaticAberrationTransform,0.0033049530546402357
r_shift_limit--left--RGBShiftTransform,0.0027162409474785023
hue_shift_limit--left--HSVTransform,0.0026459073377272354
sat_shift_limit--left--HSVTransform,0.0026427959866413353
rotate_limit--right--ShiftScaleRotateTransform,0.0025550260880652935
distort_limit--left--OpticalDistortionTransform,0.0025128643264150908
idx_choice--1,0.0025113209282493876
scale--RainbowTransform,0.002296512921682182
direction_range--left--MotionBlurTransform,0.0022171991916041796
brightness_limit--left--BrightnessContrastTransform,0.0021895120209260424
idx_choice--2,0.001954395530435087
scale--left--PerspectiveTransform,0.001808021868345085
contrast_limit--left--BrightnessContrastTransform,0.0017270580198403922
radius--left--DefocusTransform,0.00159862089485928
blur_limit--right--BlurTransform,0.0013317742819994945
sat_shift_limit--right--HSVTransform,0.0012716728845674982
scale--left--MorphologicalTransform,0.0008550472381120985
g_shift_limit--right--RGBShiftTransform,0.0008324519926543903
secondary_distortion_limit--left--ChromaticAberrationTransform,0.0004803764083535888
val_shift_limit--right--HSVTransform,0.00040295226178526636
val_shift_limit--left--HSVTransform,0.00014549803109687915
idx_choice--4,9.114329111048556e-05
