step,score,params
0,0.21128449667183277,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 1, 'idx_choice--2': 9, 'idx_choice--3': 1, 'blur_limit--GaussianBlurTransform': 12, 'sigma_limit--left--GaussianBlurTransform': 0.738208491331658, 'sigma_limit--right--GaussianBlurTransform': 1.060090693768939, 'idx_choice--4': 2, 'scale--RainbowTransform': 0.838570611588189, 'per_channel--RainbowTransform': True, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 421.7128652166678, 'scale--right--PerspectiveTransform': 675.4521509199324, 'fill--PerspectiveTransform': 207, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 85, 'quality_range--right--CompressionTransform': 98, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.37393143553121666, 'unit_size_range--left--GridDropoutTransform': 12, 'unit_size_range--right--GridDropoutTransform': 15, 'fill--GridDropoutTransform': 44}"
1,0.48126712182165277,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 2, 'scale--right--MorphologicalTransform': 3, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 1, 'idx_choice--2': 7, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 5, 'blur_limit--right--BlurTransform': 7, 'idx_choice--4': 2, 'scale--RainbowTransform': 0.010961232871341209, 'per_channel--RainbowTransform': False, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 576.8414399739823, 'scale--right--PerspectiveTransform': 804.6578722369917, 'fill--PerspectiveTransform': 99, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 72, 'quality_range--right--CompressionTransform': 74, 'idx_choice--7': 2}"
2,0.6442697030980906,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 10, 'idx_choice--3': 1, 'blur_limit--GaussianBlurTransform': 13, 'sigma_limit--left--GaussianBlurTransform': 1.795550769471858, 'sigma_limit--right--GaussianBlurTransform': 1.9631427289189456, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0277948295644252, 'max_factor--right--ZoomBlurTransform': 1.084240863046482, 'step_factor--left--ZoomBlurTransform': 0.035839140869676156, 'step_factor--right--ZoomBlurTransform': 0.04642120195178545, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.022198228830913797, 'shift_limit--right--ShiftScaleRotateTransform': 0.03246972067052817, 'scale_limit--left--ShiftScaleRotateTransform': 0.5583699033297681, 'scale_limit--right--ShiftScaleRotateTransform': 0.6271492671872669, 'rotate_limit--left--ShiftScaleRotateTransform': -98.74626067793304, 'rotate_limit--right--ShiftScaleRotateTransform': 126.64489495835801, 'fill--ShiftScaleRotateTransform': 188, 'idx_choice--6': 2, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.3911029107803336, 'unit_size_range--left--GridDropoutTransform': 34, 'unit_size_range--right--GridDropoutTransform': 63, 'fill--GridDropoutTransform': 109}"
3,0.22982758995632785,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.04177976204496648, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 9, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 11, 'blur_limit--right--MotionBlurTransform': 15, 'allow_shifted--MotionBlurTransform': True, 'angle_range--left--MotionBlurTransform': 346.4176374606531, 'angle_range--right--MotionBlurTransform': 357.1344902521078, 'direction_range--left--MotionBlurTransform': -0.9880748677452875, 'direction_range--right--MotionBlurTransform': 0.5199539242341206, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.6811802984934241, 'snow_point_range--right--SnowTransform': 0.8901120528464379, 'brightness_coeff--SnowTransform': 1.4064713307279038, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 1.2756870947189018, 'distort_limit--right--OpticalDistortionTransform': 2.7643570293120545, 'fill--OpticalDistortionTransform': 159, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.6523674818938652, 'scale_range--right--DownscaleTransform': 0.9560266017994178, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.23897068365461038, 'unit_size_range--left--GridDropoutTransform': 53, 'unit_size_range--right--GridDropoutTransform': 78, 'fill--GridDropoutTransform': 235}"
4,0.04805837275916962,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 0, 'brightness_limit--left--BrightnessContrastTransform': -0.06586172018053907, 'brightness_limit--right--BrightnessContrastTransform': 0.14346862666638344, 'contrast_limit--left--BrightnessContrastTransform': -0.17813219417877652, 'contrast_limit--right--BrightnessContrastTransform': 0.059576962749681606, 'idx_choice--3': 1, 'blur_limit--GaussianBlurTransform': 2, 'sigma_limit--left--GaussianBlurTransform': 0.3309418856442667, 'sigma_limit--right--GaussianBlurTransform': 0.8829591195969815, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0926713482333326, 'max_factor--right--ZoomBlurTransform': 1.0972697717566107, 'step_factor--left--ZoomBlurTransform': 0.00011357423656580536, 'step_factor--right--ZoomBlurTransform': 0.033103219151994295, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 797.219000447407, 'scale--right--PerspectiveTransform': 814.7065351095276, 'fill--PerspectiveTransform': 203, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 75, 'quality_range--right--CompressionTransform': 81, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.19028721480474575, 'unit_size_range--left--GridDropoutTransform': 2, 'unit_size_range--right--GridDropoutTransform': 46, 'fill--GridDropoutTransform': 63}"
5,0.14421126304064952,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.01665890762805328, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 9, 'idx_choice--3': 6, 'idx_choice--4': 0, 'rain_type--RainTransform': 'heavy', 'slant_range--left--RainTransform': -1.5182789348485244, 'slant_range--right--RainTransform': 39.52633202538227, 'drop_length--RainTransform': 11, 'drop_width--RainTransform': 1, 'blur_value--RainTransform': 7, 'brightness_coefficient--RainTransform': 0.9384645320970136, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.02876436965729856, 'shift_limit--right--ShiftScaleRotateTransform': 0.13301062845436035, 'scale_limit--left--ShiftScaleRotateTransform': 0.46927027610436306, 'scale_limit--right--ShiftScaleRotateTransform': 0.6814135271099432, 'rotate_limit--left--ShiftScaleRotateTransform': 356.49031968276836, 'rotate_limit--right--ShiftScaleRotateTransform': 359.7772233847755, 'fill--ShiftScaleRotateTransform': 144, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.7319159824000929, 'scale_range--right--DownscaleTransform': 0.8318300158442963, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.1074625854536952, 'unit_size_range--left--GridDropoutTransform': 36, 'unit_size_range--right--GridDropoutTransform': 38, 'fill--GridDropoutTransform': 138}"
6,0.7979317384137085,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 1, 'scale--right--MorphologicalTransform': 5, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 1, 'idx_choice--2': 2, 'r_shift_limit--left--RGBShiftTransform': 72.240316050659, 'r_shift_limit--right--RGBShiftTransform': 76.43383167237214, 'g_shift_limit--left--RGBShiftTransform': 9.671045481451827, 'g_shift_limit--right--RGBShiftTransform': 53.80683272313351, 'b_shift_limit--left--RGBShiftTransform': -17.03873009001456, 'b_shift_limit--right--RGBShiftTransform': -15.144750849085522, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 8, 'blur_limit--right--MedianBlurTransform': 12, 'idx_choice--4': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': -0.6655649130999527, 'primary_distortion_limit--right--ChromaticAberrationTransform': 0.44752116790768093, 'secondary_distortion_limit--left--ChromaticAberrationTransform': -0.16489747944643263, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.6486898391179315, 'mode--ChromaticAberrationTransform': 'green_purple', 'interpolation--ChromaticAberrationTransform': 1, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.18588807222999437, 'shift_limit--right--ShiftScaleRotateTransform': 0.1893228891482271, 'scale_limit--left--ShiftScaleRotateTransform': 0.2988460376320258, 'scale_limit--right--ShiftScaleRotateTransform': 0.8776644533201139, 'rotate_limit--left--ShiftScaleRotateTransform': 65.08663778185252, 'rotate_limit--right--ShiftScaleRotateTransform': 222.1940734086037, 'fill--ShiftScaleRotateTransform': 126, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.8928261855985244, 'scale_range--right--DownscaleTransform': 0.9475712833991091, 'idx_choice--7': 2}"
7,0.13840188969739792,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 1, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.08548446999087925, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 3, 'gamma_limit--left--GammaTransform': 245.96044480228608, 'gamma_limit--right--GammaTransform': 249.29959912406585, 'idx_choice--3': 5, 'alpha--left--EmbossTransform': 0.4783465577336841, 'alpha--right--EmbossTransform': 0.7106991355959653, 'strength--left--EmbossTransform': 0.9471881113811966, 'strength--right--EmbossTransform': 0.99856073396371, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.5761676890320461, 'snow_point_range--right--SnowTransform': 0.7137847932895043, 'brightness_coeff--SnowTransform': 0.8181672097211843, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 0.5445872501790794, 'distort_limit--right--OpticalDistortionTransform': 7.564055669681874, 'fill--OpticalDistortionTransform': 213, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 16, 'quality_range--right--CompressionTransform': 78, 'idx_choice--7': 2}"
8,0.8934715459757345,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 4, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 1, 'idx_choice--2': 7, 'idx_choice--3': 5, 'alpha--left--EmbossTransform': 0.08642313465039056, 'alpha--right--EmbossTransform': 0.7138173596554558, 'strength--left--EmbossTransform': 0.45890374551535584, 'strength--right--EmbossTransform': 0.6416972526735744, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.694954173321663, 'snow_point_range--right--SnowTransform': 0.7834149601247502, 'brightness_coeff--SnowTransform': 1.0606408751945149, 'idx_choice--5': 3, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.3316017225912184, 'scale_range--right--DownscaleTransform': 0.38151435225775887, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 67, 'num_holes_range--right--CoarseDropoutTransform': 92, 'hole_height_range--left--CoarseDropoutTransform': 0.017564683584942457, 'hole_height_range--right--CoarseDropoutTransform': 0.041076665476395186, 'hole_width_range--left--CoarseDropoutTransform': 0.005597307244659435, 'hole_width_range--right--CoarseDropoutTransform': 0.04125462117742241, 'fill--CoarseDropoutTransform': 34}"
9,0.6049397641846611,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.10836745230476393, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 10, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 3, 'blur_limit--right--MedianBlurTransform': 7, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0820296590361729, 'max_factor--right--ZoomBlurTransform': 1.082532497947847, 'step_factor--left--ZoomBlurTransform': 0.020872162066381206, 'step_factor--right--ZoomBlurTransform': 0.03082896646308215, 'idx_choice--5': 3, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.3876723464331826, 'scale_range--right--DownscaleTransform': 0.6611245628275471, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.16793376778788766, 'unit_size_range--left--GridDropoutTransform': 47, 'unit_size_range--right--GridDropoutTransform': 80, 'fill--GridDropoutTransform': 160}"
