param,value
blur_value--RainTransform,0.02845731257473437
mode--EqualizeTransform,0.02834817838640338
threshold_range--right--SolarizeTransform,0.022974303350450392
fill--CoarseDropoutTransform,0.022945041503363003
blur_limit--right--BlurTransform,0.022509419596041486
quality_range--right--CompressionTransform,0.022177138240830074
idx_choice--7,0.02156992175096811
scale--RainbowTransform,0.020858118505503936
threshold_range--left--SolarizeTransform,0.02010758659349525
slant_range--left--RainTransform,0.018389535474884058
distort_limit--right--OpticalDistortionTransform,0.018350714324603588
blur_limit--left--BlurTransform,0.01720660758369366
quality_range--left--CompressionTransform,0.01639216299270215
idx_choice--0,0.016208230745337258
idx_choice--2,0.01603446056287313
slant_range--right--RainTransform,0.015484643969680177
mode--ChromaticAberrationTransform,0.015398518506772126
drop_width--RainTransform,0.014975384365590153
per_channel--PixelDropoutTransform,0.014951688631410326
interpolation--ChromaticAberrationTransform,0.014881941419167705
fill--PerspectiveTransform,0.014753720544127304
scale_range--left--DownscaleTransform,0.014394922675509236
brightness_limit--right--BrightnessContrastTransform,0.013640154326777206
angle_range--right--MotionBlurTransform,0.013459904394644897
compression_type--CompressionTransform,0.013235646407970572
distort_limit--left--OpticalDistortionTransform,0.013103495324887632
unit_size_range--left--GridDropoutTransform,0.01277651099422362
direction_range--left--MotionBlurTransform,0.012725945635898298
direction_range--right--MotionBlurTransform,0.012503565949847676
scale_range--right--DownscaleTransform,0.012464465879432755
num_holes_range--right--CoarseDropoutTransform,0.012340764607204874
unit_size_range--right--GridDropoutTransform,0.012183773547897512
hole_width_range--right--CoarseDropoutTransform,0.011957966520847123
num_holes_range--left--CoarseDropoutTransform,0.01171764022402198
idx_choice--3,0.01158977716647426
allow_shifted--MotionBlurTransform,0.011548115328298521
idx_choice--6,0.011356304419215509
secondary_distortion_limit--right--ChromaticAberrationTransform,0.011061621371255236
gamma_limit--right--GammaTransform,0.010971843808454925
angle_range--left--MotionBlurTransform,0.010872407044525722
rain_type--RainTransform,0.010839467016810623
sigma_limit--left--GaussianBlurTransform,0.010488991515032572
gamma_limit--left--GammaTransform,0.01045381841922868
alias_blur--left--DefocusTransform,0.010392465467586891
idx_choice--1,0.010377021940044771
blur_limit--left--MotionBlurTransform,0.009719433375485167
blur_limit--right--MotionBlurTransform,0.009415683591327976
sigma_limit--right--GaussianBlurTransform,0.009139123400101139
hole_width_range--left--CoarseDropoutTransform,0.008983505232264762
brightness_limit--left--BrightnessContrastTransform,0.008969041807556246
hole_height_range--right--CoarseDropoutTransform,0.008897979599091492
brightness_coefficient--RainTransform,0.008797216475158263
idx_choice--4,0.008775290731580511
g_shift_limit--right--RGBShiftTransform,0.00849302872231233
max_factor--right--ZoomBlurTransform,0.008257504578378412
alias_blur--right--DefocusTransform,0.008221047675886195
rotate_limit--left--ShiftScaleRotateTransform,0.008195205106582273
rotate_limit--right--ShiftScaleRotateTransform,0.008049857158545105
secondary_distortion_limit--left--ChromaticAberrationTransform,0.008010479316542312
alpha--right--SharpenTransform,0.0072950711393128765
b_shift_limit--right--RGBShiftTransform,0.007184542862751952
drop_length--RainTransform,0.006768858546803677
scale--right--MorphologicalTransform,0.006765929840265777
shift_limit--left--ShiftScaleRotateTransform,0.006508467673056395
fill--ShiftScaleRotateTransform,0.006413820787070699
scale--left--MorphologicalTransform,0.006376046432112207
g_shift_limit--left--RGBShiftTransform,0.00635806446878824
per_channel--RainbowTransform,0.006286053738702342
scale_limit--left--ShiftScaleRotateTransform,0.00592078990537932
hue_shift_limit--right--HSVTransform,0.005886049674735356
snow_point_range--left--SnowTransform,0.005397913997511476
alpha--left--SharpenTransform,0.0053932541192785515
max_factor--left--ZoomBlurTransform,0.0053077627486313
fill--OpticalDistortionTransform,0.005221575821652378
by_channels--EqualizeTransform,0.004692953024118234
val_shift_limit--right--HSVTransform,0.004505493843448298
hole_height_range--left--CoarseDropoutTransform,0.004490261322252258
primary_distortion_limit--left--ChromaticAberrationTransform,0.004056346076572293
scale_limit--right--ShiftScaleRotateTransform,0.003891783571679944
blur_limit--left--MedianBlurTransform,0.003888651878925269
scale--right--PerspectiveTransform,0.0038389319282006638
idx_choice--5,0.0037674937905051264
step_factor--right--ZoomBlurTransform,0.0037004974275748064
strength--right--EmbossTransform,0.003602030769697654
b_shift_limit--left--RGBShiftTransform,0.0033202586865399373
step_factor--left--ZoomBlurTransform,0.0032687781367856193
contrast_limit--left--BrightnessContrastTransform,0.003216100299009026
lightness--left--SharpenTransform,0.003200182527576953
sat_shift_limit--right--HSVTransform,0.0031706225545263594
shift_limit--right--ShiftScaleRotateTransform,0.0029197916867049678
alpha--right--EmbossTransform,0.002854480939902611
snow_point_range--right--SnowTransform,0.0026532715799516392
fill--GridDropoutTransform,0.0023065578209728143
primary_distortion_limit--right--ChromaticAberrationTransform,0.0022654238825821184
contrast_limit--right--BrightnessContrastTransform,0.0022193713049330995
method--SharpenTransform,0.002185886865620277
val_shift_limit--left--HSVTransform,0.002029986839821887
blur_limit--right--MedianBlurTransform,0.0019116435311497051
hue_shift_limit--left--HSVTransform,0.001878076430297815
sat_shift_limit--left--HSVTransform,0.0018718602816224198
