step,score,params
0,0.30079163620452165,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 4, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 1, 'idx_choice--2': 5, 'num_bits--PosterizeTransform': 4, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 6, 'blur_limit--right--MedianBlurTransform': 11, 'idx_choice--4': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': -0.5587638975830089, 'primary_distortion_limit--right--ChromaticAberrationTransform': 0.47890386847969924, 'secondary_distortion_limit--left--ChromaticAberrationTransform': 0.4980497235058978, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.6608519960381113, 'mode--ChromaticAberrationTransform': 'red_blue', 'interpolation--ChromaticAberrationTransform': 1, 'idx_choice--5': 3, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.5534248799355048, 'scale_range--right--DownscaleTransform': 0.7385404645916509, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 75, 'num_holes_range--right--CoarseDropoutTransform': 84, 'hole_height_range--left--CoarseDropoutTransform': 0.010808978417736485, 'hole_height_range--right--CoarseDropoutTransform': 0.04294456011638789, 'hole_width_range--left--CoarseDropoutTransform': 0.02670508213474238, 'hole_width_range--right--CoarseDropoutTransform': 0.028923603179773112, 'fill--CoarseDropoutTransform': 231}"
1,0.5376833197101951,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 8, 'idx_choice--3': 4, 'alpha--left--SharpenTransform': 0.5825191899990418, 'alpha--right--SharpenTransform': 0.7327927737315287, 'lightness--left--SharpenTransform': 0.18924972345927663, 'lightness--right--SharpenTransform': 1.5824369110416747, 'method--SharpenTransform': 'gaussian', 'idx_choice--4': 4, 'radius--left--DefocusTransform': 9, 'radius--right--DefocusTransform': 11, 'alias_blur--left--DefocusTransform': 2.0222031537200196, 'alias_blur--right--DefocusTransform': 9.544612203087684, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.05751685283191732, 'shift_limit--right--ShiftScaleRotateTransform': -0.030395188665218346, 'scale_limit--left--ShiftScaleRotateTransform': 0.06266954633920796, 'scale_limit--right--ShiftScaleRotateTransform': 0.7365668526080472, 'rotate_limit--left--ShiftScaleRotateTransform': -115.89526049856408, 'rotate_limit--right--ShiftScaleRotateTransform': 103.15745818845616, 'fill--ShiftScaleRotateTransform': 93, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 73, 'quality_range--right--CompressionTransform': 86, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.025870302671494372, 'unit_size_range--left--GridDropoutTransform': 54, 'unit_size_range--right--GridDropoutTransform': 80, 'fill--GridDropoutTransform': 239}"
2,0.3509117599251749,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 4, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 1, 'idx_choice--2': 6, 'by_channels--EqualizeTransform': False, 'mode--EqualizeTransform': 'cv', 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 6, 'blur_limit--right--BlurTransform': 7, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.6644760036753687, 'snow_point_range--right--SnowTransform': 0.6747327458021807, 'brightness_coeff--SnowTransform': 1.6919322431963673, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.18157522131861853, 'shift_limit--right--ShiftScaleRotateTransform': -0.10707512016007972, 'scale_limit--left--ShiftScaleRotateTransform': 0.30830104184783974, 'scale_limit--right--ShiftScaleRotateTransform': 0.47073559594702247, 'rotate_limit--left--ShiftScaleRotateTransform': -89.95727697514678, 'rotate_limit--right--ShiftScaleRotateTransform': 71.32654053289465, 'fill--ShiftScaleRotateTransform': 149, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 24, 'quality_range--right--CompressionTransform': 30, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.139795376593543, 'unit_size_range--left--GridDropoutTransform': 77, 'unit_size_range--right--GridDropoutTransform': 98, 'fill--GridDropoutTransform': 250}"
3,0.12811289964839945,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.11573893471460107, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 7, 'idx_choice--3': 1, 'blur_limit--GaussianBlurTransform': 10, 'sigma_limit--left--GaussianBlurTransform': 1.4413799792943693, 'sigma_limit--right--GaussianBlurTransform': 1.9467344204048842, 'idx_choice--4': 6, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 23.205192253382812, 'scale--right--PerspectiveTransform': 47.391285462324035, 'fill--PerspectiveTransform': 217, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 35, 'quality_range--right--CompressionTransform': 75, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.3316928020092685, 'unit_size_range--left--GridDropoutTransform': 35, 'unit_size_range--right--GridDropoutTransform': 63, 'fill--GridDropoutTransform': 229}"
4,0.03353142607636005,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 4, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.14614826574053452, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 4, 'threshold_range--left--SolarizeTransform': 0.9115409902202521, 'threshold_range--right--SolarizeTransform': 0.9999281965734099, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 11, 'blur_limit--right--MotionBlurTransform': 12, 'allow_shifted--MotionBlurTransform': True, 'angle_range--left--MotionBlurTransform': 229.1886735500799, 'angle_range--right--MotionBlurTransform': 245.34032229495057, 'direction_range--left--MotionBlurTransform': -0.8046176456667335, 'direction_range--right--MotionBlurTransform': 0.18501942680035488, 'idx_choice--4': 2, 'scale--RainbowTransform': 0.7783102357384052, 'per_channel--RainbowTransform': False, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.07239466878628995, 'shift_limit--right--ShiftScaleRotateTransform': 0.04115433060445617, 'scale_limit--left--ShiftScaleRotateTransform': 0.9736950539556977, 'scale_limit--right--ShiftScaleRotateTransform': 0.9748282723543281, 'rotate_limit--left--ShiftScaleRotateTransform': -24.982005516822994, 'rotate_limit--right--ShiftScaleRotateTransform': 350.43618261524034, 'fill--ShiftScaleRotateTransform': 230, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.3801839793859989, 'scale_range--right--DownscaleTransform': 0.8921416836672007, 'idx_choice--7': 2}"
5,0.16092732915654778,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 4, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.07323395733184217, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 4, 'threshold_range--left--SolarizeTransform': 0.9455554076380354, 'threshold_range--right--SolarizeTransform': 0.9768122378420689, 'idx_choice--3': 4, 'alpha--left--SharpenTransform': 0.635839509809612, 'alpha--right--SharpenTransform': 0.7982505029367704, 'lightness--left--SharpenTransform': 0.23850372253340033, 'lightness--right--SharpenTransform': 1.1937292699094164, 'method--SharpenTransform': 'kernel', 'idx_choice--4': 2, 'scale--RainbowTransform': 0.571571953425669, 'per_channel--RainbowTransform': False, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.18151042331765635, 'shift_limit--right--ShiftScaleRotateTransform': -0.10019581474030555, 'scale_limit--left--ShiftScaleRotateTransform': 0.02427075624309621, 'scale_limit--right--ShiftScaleRotateTransform': 0.744470249947488, 'rotate_limit--left--ShiftScaleRotateTransform': -245.0966395328117, 'rotate_limit--right--ShiftScaleRotateTransform': -178.23650996694948, 'fill--ShiftScaleRotateTransform': 176, 'idx_choice--6': 2, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 54, 'num_holes_range--right--CoarseDropoutTransform': 79, 'hole_height_range--left--CoarseDropoutTransform': 0.03359504003088044, 'hole_height_range--right--CoarseDropoutTransform': 0.046683574748554384, 'hole_width_range--left--CoarseDropoutTransform': 0.04492338566023358, 'hole_width_range--right--CoarseDropoutTransform': 0.04665921120767664, 'fill--CoarseDropoutTransform': 231}"
6,0.0972788886915533,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 4, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 1, 'idx_choice--2': 5, 'num_bits--PosterizeTransform': 7, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 3, 'blur_limit--right--BlurTransform': 6, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.7085720635563928, 'snow_point_range--right--SnowTransform': 0.7835078859125436, 'brightness_coeff--SnowTransform': 1.4875566994373886, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 433.6413294333798, 'scale--right--PerspectiveTransform': 523.6795834707932, 'fill--PerspectiveTransform': 235, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 6, 'quality_range--right--CompressionTransform': 93, 'idx_choice--7': 2}"
7,0.12055058111755443,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 4, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 1, 'idx_choice--2': 7, 'idx_choice--3': 6, 'idx_choice--4': 2, 'scale--RainbowTransform': 0.5664312004938578, 'per_channel--RainbowTransform': True, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.013446338270797858, 'shift_limit--right--ShiftScaleRotateTransform': 0.10104512593136908, 'scale_limit--left--ShiftScaleRotateTransform': 0.869107870539856, 'scale_limit--right--ShiftScaleRotateTransform': 0.9564071359980236, 'rotate_limit--left--ShiftScaleRotateTransform': 150.70500126141218, 'rotate_limit--right--ShiftScaleRotateTransform': 174.9709603667692, 'fill--ShiftScaleRotateTransform': 76, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 75, 'quality_range--right--CompressionTransform': 78, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.09782789497568248, 'unit_size_range--left--GridDropoutTransform': 46, 'unit_size_range--right--GridDropoutTransform': 68, 'fill--GridDropoutTransform': 181}"
8,0.273944008007702,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.020587056944458674, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 8, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 10, 'blur_limit--right--MotionBlurTransform': 12, 'allow_shifted--MotionBlurTransform': False, 'angle_range--left--MotionBlurTransform': 181.56611526286088, 'angle_range--right--MotionBlurTransform': 203.83567515125992, 'direction_range--left--MotionBlurTransform': 0.9180052544477877, 'direction_range--right--MotionBlurTransform': 0.9307720253146649, 'idx_choice--4': 6, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 9.838056619144973, 'distort_limit--right--OpticalDistortionTransform': 9.926516174000426, 'fill--OpticalDistortionTransform': 207, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 81, 'quality_range--right--CompressionTransform': 94, 'idx_choice--7': 2}"
9,0.06318248441154804,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 4, 'threshold_range--left--SolarizeTransform': 0.9885596865052011, 'threshold_range--right--SolarizeTransform': 0.9895228376374515, 'idx_choice--3': 4, 'alpha--left--SharpenTransform': 0.6906239497310419, 'alpha--right--SharpenTransform': 0.7133540234790191, 'lightness--left--SharpenTransform': 1.6331565084287063, 'lightness--right--SharpenTransform': 1.6542294481308688, 'method--SharpenTransform': 'gaussian', 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0731492557562385, 'max_factor--right--ZoomBlurTransform': 1.0736171362843603, 'step_factor--left--ZoomBlurTransform': 0.04236981066465755, 'step_factor--right--ZoomBlurTransform': 0.04326104426766494, 'idx_choice--5': 3, 'idx_choice--6': 2, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.21881347210583804, 'unit_size_range--left--GridDropoutTransform': 12, 'unit_size_range--right--GridDropoutTransform': 93, 'fill--GridDropoutTransform': 96}"
10,0.020642527640833578,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 11, 'idx_choice--3': 6, 'idx_choice--4': 4, 'radius--left--DefocusTransform': 9, 'radius--right--DefocusTransform': 11, 'alias_blur--left--DefocusTransform': 0.030280138546084245, 'alias_blur--right--DefocusTransform': 9.02368381278207, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': -0.32068632247088047, 'distort_limit--right--OpticalDistortionTransform': -0.18410826351785747, 'fill--OpticalDistortionTransform': 18, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.9063405871040469, 'scale_range--right--DownscaleTransform': 0.9910544971423609, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 1, 'num_holes_range--right--CoarseDropoutTransform': 7, 'hole_height_range--left--CoarseDropoutTransform': 0.04802630471239677, 'hole_height_range--right--CoarseDropoutTransform': 0.04998257537809458, 'hole_width_range--left--CoarseDropoutTransform': 0.0008595781834705718, 'hole_width_range--right--CoarseDropoutTransform': 0.011494925373379771, 'fill--CoarseDropoutTransform': 4}"
