param,value
mode--EqualizeTransform,0.025535689496202888
by_channels--EqualizeTransform,0.025535689496202888
snow_point_range--right--SnowTransform,0.02425412915371983
snow_point_range--left--SnowTransform,0.02228312603068517
drop_length--RainTransform,0.02200478968283974
rain_type--RainTransform,0.01945236628939034
fill--CoarseDropoutTransform,0.01944247311342294
g_shift_limit--right--RGBShiftTransform,0.019414576239983716
r_shift_limit--left--RGBShiftTransform,0.018396116626516572
unit_size_range--left--GridDropoutTransform,0.01839498610590056
brightness_coefficient--RainTransform,0.018338451754950698
idx_choice--1,0.01827922502951027
primary_distortion_limit--right--ChromaticAberrationTransform,0.017794979233450237
r_shift_limit--right--RGBShiftTransform,0.017536356447883057
per_channel--RainbowTransform,0.016716360702235165
hue_shift_limit--left--HSVTransform,0.01652444126079027
strength--right--EmbossTransform,0.01646009101353153
mode--ChromaticAberrationTransform,0.016447377713375427
blur_limit--left--BlurTransform,0.016159323796413102
g_shift_limit--left--RGBShiftTransform,0.016030352407673445
val_shift_limit--right--HSVTransform,0.015966875206057128
unit_size_range--right--GridDropoutTransform,0.014986360401719159
num_bits--PosterizeTransform,0.014949711140150878
val_shift_limit--left--HSVTransform,0.014597153919956609
idx_choice--5,0.014447852798338115
method--SharpenTransform,0.014315280241152795
operation--MorphologicalTransform,0.014206495212364214
sat_shift_limit--left--HSVTransform,0.013978458257608628
hole_width_range--right--CoarseDropoutTransform,0.013771556944238265
hole_height_range--left--CoarseDropoutTransform,0.01322255010419421
secondary_distortion_limit--right--ChromaticAberrationTransform,0.013188377751573237
allow_shifted--MotionBlurTransform,0.012695014519801954
secondary_distortion_limit--left--ChromaticAberrationTransform,0.012060964027742439
scale--left--MorphologicalTransform,0.011797642298352137
b_shift_limit--right--RGBShiftTransform,0.011457515467959966
sat_shift_limit--right--HSVTransform,0.011333448308901076
alpha--right--EmbossTransform,0.011205585252955822
strength--left--EmbossTransform,0.010658071482342213
scale--right--PerspectiveTransform,0.010596902502474836
idx_choice--3,0.010564272912281734
rotate_limit--right--ShiftScaleRotateTransform,0.010504648447458706
drop_width--RainTransform,0.01012346128641699
gamma_limit--right--GammaTransform,0.010066986971188362
hue_shift_limit--right--HSVTransform,0.010027622011665552
scale--right--MorphologicalTransform,0.00976738358039796
idx_choice--0,0.00947767403372357
idx_choice--2,0.00931763723647127
scale_limit--left--ShiftScaleRotateTransform,0.009260621767108885
scale_range--right--DownscaleTransform,0.00890336801650408
ratio--GridDropoutTransform,0.008892683028206554
scale_range--left--DownscaleTransform,0.008871421842860407
fill--GridDropoutTransform,0.008667556153614359
alpha--left--EmbossTransform,0.008402489732589629
blur_limit--right--BlurTransform,0.00810241928327708
primary_distortion_limit--left--ChromaticAberrationTransform,0.008006287546359155
interpolation--ChromaticAberrationTransform,0.007954996546269162
sigma_limit--right--GaussianBlurTransform,0.007815094270234649
hole_width_range--left--CoarseDropoutTransform,0.007665092964263138
slant_range--left--RainTransform,0.007304368297270097
compression_type--CompressionTransform,0.007187051713863384
gamma_limit--left--GammaTransform,0.007079162332988374
rotate_limit--left--ShiftScaleRotateTransform,0.007040094018076457
idx_choice--7,0.006887081272590586
dropout_prob--PixelDropoutTransform,0.006748231189961729
direction_range--left--MotionBlurTransform,0.006412538824992695
blur_value--RainTransform,0.0058357832054673885
scale--RainbowTransform,0.0053013249808848755
scale_limit--right--ShiftScaleRotateTransform,0.005204640836489641
distort_limit--right--OpticalDistortionTransform,0.005199655866958152
sigma_limit--left--GaussianBlurTransform,0.004941211755016321
alpha--left--SharpenTransform,0.0048486749388146925
brightness_limit--right--BrightnessContrastTransform,0.00482744193854758
lightness--left--SharpenTransform,0.0046661071921906055
shift_limit--right--ShiftScaleRotateTransform,0.00448865544801023
step_factor--right--ZoomBlurTransform,0.004481519540796773
radius--right--DefocusTransform,0.00432748994207699
fill--ShiftScaleRotateTransform,0.0042165094531242215
blur_limit--left--MotionBlurTransform,0.004183669179730848
alpha--right--SharpenTransform,0.004104288272198541
max_factor--right--ZoomBlurTransform,0.004080414035468726
brightness_limit--left--BrightnessContrastTransform,0.004052632766980692
angle_range--left--MotionBlurTransform,0.0038352672561469984
angle_range--right--MotionBlurTransform,0.0036129623206653237
blur_limit--GaussianBlurTransform,0.003563055199272181
b_shift_limit--left--RGBShiftTransform,0.0034684045087165407
quality_range--left--CompressionTransform,0.0034390250836357516
radius--left--DefocusTransform,0.0033351983699326003
blur_limit--right--MotionBlurTransform,0.0032785766565829534
fill--PerspectiveTransform,0.0032176442855484863
alias_blur--right--DefocusTransform,0.003146642856878838
max_factor--left--ZoomBlurTransform,0.003074079556255861
alias_blur--left--DefocusTransform,0.0028700727161687957
scale--left--PerspectiveTransform,0.0028659551170781695
