step,score,params
0,0.7893184322652453,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 2, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.06539116469479775, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 11, 'idx_choice--3': 6, 'idx_choice--4': 6, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 494.2563773782379, 'scale--right--PerspectiveTransform': 655.4347881165643, 'fill--PerspectiveTransform': 70, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.9950744095078659, 'scale_range--right--DownscaleTransform': 0.9965551717181665, 'idx_choice--7': 2}"
1,0.656147729697908,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 5, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.12470908654095797, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 8, 'idx_choice--3': 6, 'idx_choice--4': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': -0.4334160288675444, 'primary_distortion_limit--right--ChromaticAberrationTransform': -0.03516893010860894, 'secondary_distortion_limit--left--ChromaticAberrationTransform': -0.10571295862055885, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.672538041348927, 'mode--ChromaticAberrationTransform': 'green_purple', 'interpolation--ChromaticAberrationTransform': 1, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 613.3537142902854, 'scale--right--PerspectiveTransform': 793.0068548267517, 'fill--PerspectiveTransform': 135, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 34, 'quality_range--right--CompressionTransform': 35, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 46, 'num_holes_range--right--CoarseDropoutTransform': 97, 'hole_height_range--left--CoarseDropoutTransform': 0.034647599921330804, 'hole_height_range--right--CoarseDropoutTransform': 0.0374028047667851, 'hole_width_range--left--CoarseDropoutTransform': 0.02849838596793133, 'hole_width_range--right--CoarseDropoutTransform': 0.028870163245414415, 'fill--CoarseDropoutTransform': 141}"
2,0.793919060551,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 10, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 3, 'blur_limit--right--MedianBlurTransform': 8, 'idx_choice--4': 0, 'rain_type--RainTransform': 'heavy', 'slant_range--left--RainTransform': 43.79279943813489, 'slant_range--right--RainTransform': 44.75695109982705, 'drop_length--RainTransform': 10, 'drop_width--RainTransform': 2, 'blur_value--RainTransform': 21, 'brightness_coefficient--RainTransform': 0.7495347074031488, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.04771726605600815, 'shift_limit--right--ShiftScaleRotateTransform': 0.18262930484122034, 'scale_limit--left--ShiftScaleRotateTransform': 0.4775213984681641, 'scale_limit--right--ShiftScaleRotateTransform': 0.8673567624967676, 'rotate_limit--left--ShiftScaleRotateTransform': -210.48178072034548, 'rotate_limit--right--ShiftScaleRotateTransform': 261.4415787013812, 'fill--ShiftScaleRotateTransform': 178, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 72, 'quality_range--right--CompressionTransform': 75, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.2795863292544435, 'unit_size_range--left--GridDropoutTransform': 86, 'unit_size_range--right--GridDropoutTransform': 90, 'fill--GridDropoutTransform': 214}"
3,0.47762768853429777,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.08263754393293492, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 0, 'brightness_limit--left--BrightnessContrastTransform': 0.05672979557395652, 'brightness_limit--right--BrightnessContrastTransform': 0.14815316264392558, 'contrast_limit--left--BrightnessContrastTransform': -0.0475351576784554, 'contrast_limit--right--BrightnessContrastTransform': 0.18773704862328422, 'idx_choice--3': 5, 'alpha--left--EmbossTransform': 0.03875385043383442, 'alpha--right--EmbossTransform': 0.671659847848722, 'strength--left--EmbossTransform': 0.23751427823312476, 'strength--right--EmbossTransform': 0.35363840058831925, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.5852128549848626, 'snow_point_range--right--SnowTransform': 0.7678234394041593, 'brightness_coeff--SnowTransform': 1.1325753186141991, 'idx_choice--5': 3, 'idx_choice--6': 2, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.3254419575742125, 'unit_size_range--left--GridDropoutTransform': 46, 'unit_size_range--right--GridDropoutTransform': 89, 'fill--GridDropoutTransform': 14}"
4,0.6967285637288018,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.1499538790217284, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 0, 'brightness_limit--left--BrightnessContrastTransform': -0.003241630585840982, 'brightness_limit--right--BrightnessContrastTransform': 0.012584549535179554, 'contrast_limit--left--BrightnessContrastTransform': -0.004338966840791464, 'contrast_limit--right--BrightnessContrastTransform': 0.16050423512824039, 'idx_choice--3': 1, 'blur_limit--GaussianBlurTransform': 4, 'sigma_limit--left--GaussianBlurTransform': 0.2711274857956574, 'sigma_limit--right--GaussianBlurTransform': 0.8182098476813091, 'idx_choice--4': 0, 'rain_type--RainTransform': 'heavy', 'slant_range--left--RainTransform': 5.8478319182009955, 'slant_range--right--RainTransform': 11.61729643607866, 'drop_length--RainTransform': 24, 'drop_width--RainTransform': 2, 'blur_value--RainTransform': 13, 'brightness_coefficient--RainTransform': 0.9815935420691668, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.10364701000742285, 'shift_limit--right--ShiftScaleRotateTransform': 0.0607078784258116, 'scale_limit--left--ShiftScaleRotateTransform': 0.9618259657772567, 'scale_limit--right--ShiftScaleRotateTransform': 0.9942818422626595, 'rotate_limit--left--ShiftScaleRotateTransform': -265.89837503311605, 'rotate_limit--right--ShiftScaleRotateTransform': 155.61140626657016, 'fill--ShiftScaleRotateTransform': 144, 'idx_choice--6': 2, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.1961560272723724, 'unit_size_range--left--GridDropoutTransform': 49, 'unit_size_range--right--GridDropoutTransform': 70, 'fill--GridDropoutTransform': 62}"
5,0.2766599220666268,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.10992520737399068, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 11, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 6, 'blur_limit--right--MotionBlurTransform': 14, 'allow_shifted--MotionBlurTransform': False, 'angle_range--left--MotionBlurTransform': 142.31850471666976, 'angle_range--right--MotionBlurTransform': 258.5921625905926, 'direction_range--left--MotionBlurTransform': 0.45881424176398933, 'direction_range--right--MotionBlurTransform': 0.8819573286196065, 'idx_choice--4': 2, 'scale--RainbowTransform': 0.617776297267075, 'per_channel--RainbowTransform': False, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 381.6361285964165, 'scale--right--PerspectiveTransform': 834.8743695762695, 'fill--PerspectiveTransform': 22, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.8145203572343691, 'scale_range--right--DownscaleTransform': 0.9737101582500698, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 74, 'num_holes_range--right--CoarseDropoutTransform': 76, 'hole_height_range--left--CoarseDropoutTransform': 0.006466967606082804, 'hole_height_range--right--CoarseDropoutTransform': 0.027634623437031134, 'hole_width_range--left--CoarseDropoutTransform': 0.043294003453256166, 'hole_width_range--right--CoarseDropoutTransform': 0.04693719836550497, 'fill--CoarseDropoutTransform': 158}"
6,0.11409728589850801,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 9, 'idx_choice--3': 1, 'blur_limit--GaussianBlurTransform': 23, 'sigma_limit--left--GaussianBlurTransform': 0.3304096448288577, 'sigma_limit--right--GaussianBlurTransform': 1.0560391597408423, 'idx_choice--4': 6, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 7.138836826707738, 'distort_limit--right--OpticalDistortionTransform': 9.68441452606767, 'fill--OpticalDistortionTransform': 145, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.446436851021208, 'scale_range--right--DownscaleTransform': 0.6876759806958516, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 12, 'num_holes_range--right--CoarseDropoutTransform': 93, 'hole_height_range--left--CoarseDropoutTransform': 0.017324806032690727, 'hole_height_range--right--CoarseDropoutTransform': 0.04143476819651917, 'hole_width_range--left--CoarseDropoutTransform': 0.030673429234765893, 'hole_width_range--right--CoarseDropoutTransform': 0.03925017629940785, 'fill--CoarseDropoutTransform': 32}"
7,0.8304879237098474,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 9, 'idx_choice--3': 4, 'alpha--left--SharpenTransform': 0.2863074721696702, 'alpha--right--SharpenTransform': 0.40759148140729146, 'lightness--left--SharpenTransform': 0.07019675863013126, 'lightness--right--SharpenTransform': 0.5073426410785324, 'method--SharpenTransform': 'kernel', 'idx_choice--4': 4, 'radius--left--DefocusTransform': 8, 'radius--right--DefocusTransform': 10, 'alias_blur--left--DefocusTransform': 18.234895592990572, 'alias_blur--right--DefocusTransform': 24.017022002053984, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 586.4624550296089, 'scale--right--PerspectiveTransform': 874.1515125114383, 'fill--PerspectiveTransform': 18, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.3440315765264771, 'scale_range--right--DownscaleTransform': 0.6120109250779069, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 27, 'num_holes_range--right--CoarseDropoutTransform': 52, 'hole_height_range--left--CoarseDropoutTransform': 0.014827348986994223, 'hole_height_range--right--CoarseDropoutTransform': 0.021972388878136184, 'hole_width_range--left--CoarseDropoutTransform': 0.04549387858056178, 'hole_width_range--right--CoarseDropoutTransform': 0.046359560199171555, 'fill--CoarseDropoutTransform': 220}"
8,0.21744238654422368,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 1, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.10508582769210105, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 8, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 8, 'blur_limit--right--MotionBlurTransform': 11, 'allow_shifted--MotionBlurTransform': False, 'angle_range--left--MotionBlurTransform': 90.25326884184307, 'angle_range--right--MotionBlurTransform': 140.66277870931137, 'direction_range--left--MotionBlurTransform': -0.7695963218830925, 'direction_range--right--MotionBlurTransform': -0.5813011162902348, 'idx_choice--4': 2, 'scale--RainbowTransform': 0.5205282304887932, 'per_channel--RainbowTransform': True, 'idx_choice--5': 3, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 63, 'quality_range--right--CompressionTransform': 100, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.014117560872723312, 'unit_size_range--left--GridDropoutTransform': 45, 'unit_size_range--right--GridDropoutTransform': 69, 'fill--GridDropoutTransform': 221}"
9,0.2706707047483494,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.14436239223656985, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 11, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 9, 'blur_limit--right--MedianBlurTransform': 12, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.6210432734547515, 'snow_point_range--right--SnowTransform': 0.6851673845037811, 'brightness_coeff--SnowTransform': 0.8168485988705438, 'idx_choice--5': 3, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 83, 'quality_range--right--CompressionTransform': 91, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 59, 'num_holes_range--right--CoarseDropoutTransform': 62, 'hole_height_range--left--CoarseDropoutTransform': 0.038222214030202976, 'hole_height_range--right--CoarseDropoutTransform': 0.04985033003380134, 'hole_width_range--left--CoarseDropoutTransform': 0.016403948203276134, 'hole_width_range--right--CoarseDropoutTransform': 0.029850313331802214, 'fill--CoarseDropoutTransform': 160}"
