param,value
mode--EqualizeTransform,0.0391462440570129
num_bits--PosterizeTransform,0.0316460330791967
by_channels--EqualizeTransform,0.029899629640739278
drop_width--RainTransform,0.028956905928823433
blur_limit--left--BlurTransform,0.02629787562957404
sat_shift_limit--right--HSVTransform,0.02611116273523167
brightness_coeff--SnowTransform,0.025477019468325802
sat_shift_limit--left--HSVTransform,0.02510915243526725
snow_point_range--left--SnowTransform,0.02310167375526418
brightness_coefficient--RainTransform,0.020630690959801502
snow_point_range--right--SnowTransform,0.02045533827139261
hole_width_range--left--CoarseDropoutTransform,0.01783141384628876
drop_length--RainTransform,0.01745517293069594
distort_limit--left--OpticalDistortionTransform,0.017022952730317
sigma_limit--right--GaussianBlurTransform,0.016995706279004014
blur_limit--right--BlurTransform,0.016302323117907965
sigma_limit--left--GaussianBlurTransform,0.01596066971051584
hole_width_range--right--CoarseDropoutTransform,0.014876580929367117
val_shift_limit--left--HSVTransform,0.014772644430990637
gamma_limit--left--GammaTransform,0.014729665018815709
val_shift_limit--right--HSVTransform,0.014634590451157175
gamma_limit--right--GammaTransform,0.013984359385648832
fill--PerspectiveTransform,0.013743741824694454
hue_shift_limit--left--HSVTransform,0.013597148547382856
alpha--right--EmbossTransform,0.013166803127539038
hue_shift_limit--right--HSVTransform,0.013101918441253866
distort_limit--right--OpticalDistortionTransform,0.01279277996729646
g_shift_limit--left--RGBShiftTransform,0.01230085497699894
max_factor--right--ZoomBlurTransform,0.012002914526665827
step_factor--left--ZoomBlurTransform,0.011948335414126685
alpha--right--SharpenTransform,0.011870613392216726
g_shift_limit--right--RGBShiftTransform,0.011434880992824213
b_shift_limit--right--RGBShiftTransform,0.011072511373094035
idx_choice--2,0.010894418097772175
ratio--GridDropoutTransform,0.010787253370054659
r_shift_limit--right--RGBShiftTransform,0.01041423628359521
scale--right--MorphologicalTransform,0.010188006674509765
step_factor--right--ZoomBlurTransform,0.00994847818112552
alpha--left--SharpenTransform,0.009892203105157862
r_shift_limit--left--RGBShiftTransform,0.009710596117478237
fill--OpticalDistortionTransform,0.00967006871843327
blur_limit--GaussianBlurTransform,0.00955200219374798
primary_distortion_limit--right--ChromaticAberrationTransform,0.008870391269147212
slant_range--right--RainTransform,0.008529589156488885
fill--ShiftScaleRotateTransform,0.0081178839625367
idx_choice--6,0.00804396002019301
max_factor--left--ZoomBlurTransform,0.00798419458217044
fill--CoarseDropoutTransform,0.007843601618367824
scale--left--MorphologicalTransform,0.007656569993931364
alias_blur--left--DefocusTransform,0.007591294405819792
direction_range--right--MotionBlurTransform,0.0073913227484947415
b_shift_limit--left--RGBShiftTransform,0.007075210052211019
alias_blur--right--DefocusTransform,0.007030691980191762
quality_range--left--CompressionTransform,0.006995787864614603
compression_type--CompressionTransform,0.0067203822538776355
strength--right--EmbossTransform,0.006681448445129534
fill--GridDropoutTransform,0.006525417505219888
per_channel--PixelDropoutTransform,0.00650082865641123
idx_choice--1,0.0063376507900019755
radius--left--DefocusTransform,0.006327700534601313
hole_height_range--left--CoarseDropoutTransform,0.006235225365944195
direction_range--left--MotionBlurTransform,0.006152741166668802
unit_size_range--right--GridDropoutTransform,0.006028614292073944
rain_type--RainTransform,0.005846663486560685
scale_limit--left--ShiftScaleRotateTransform,0.00569668407136486
method--SharpenTransform,0.005626656948382305
unit_size_range--left--GridDropoutTransform,0.005586363652269087
hole_height_range--right--CoarseDropoutTransform,0.005555702735542816
scale--right--PerspectiveTransform,0.005528053935387712
rotate_limit--right--ShiftScaleRotateTransform,0.005282157869302481
operation--MorphologicalTransform,0.005221028850541065
contrast_limit--right--BrightnessContrastTransform,0.005108362890514689
scale_range--left--DownscaleTransform,0.00508598663673987
mode--ChromaticAberrationTransform,0.004936861263040164
idx_choice--3,0.004878279607234791
strength--left--EmbossTransform,0.004533701400325775
scale_range--right--DownscaleTransform,0.004285125698079086
idx_choice--4,0.00423595117830113
scale--left--PerspectiveTransform,0.003892941099074246
alpha--left--EmbossTransform,0.003735542257675063
scale--RainbowTransform,0.0035418978630305576
radius--right--DefocusTransform,0.003489756891252998
rotate_limit--left--ShiftScaleRotateTransform,0.003338778320103787
num_holes_range--right--CoarseDropoutTransform,0.0032917312076874584
primary_distortion_limit--left--ChromaticAberrationTransform,0.0032457751449413816
lightness--left--SharpenTransform,0.002960227822223052
interpolation--ChromaticAberrationTransform,0.0027974925459551517
threshold_range--right--SolarizeTransform,0.0024993412894731932
scale_limit--right--ShiftScaleRotateTransform,0.0024744067699895922
blur_limit--right--MedianBlurTransform,0.0023948991561695047
quality_range--right--CompressionTransform,0.002394378455777453
blur_limit--left--MotionBlurTransform,0.002384989520065417
angle_range--right--MotionBlurTransform,0.002352383601953254
per_channel--RainbowTransform,0.002258342898615312
brightness_limit--left--BrightnessContrastTransform,0.002256274780103809
allow_shifted--MotionBlurTransform,0.0022319627319631456
secondary_distortion_limit--left--ChromaticAberrationTransform,0.0021987817904344045
idx_choice--7,0.00201919471913672
angle_range--left--MotionBlurTransform,0.0019353891108513399
shift_limit--left--ShiftScaleRotateTransform,0.0018967312148026436
shift_limit--right--ShiftScaleRotateTransform,0.001825730441766694
threshold_range--left--SolarizeTransform,0.001723041928375295
brightness_limit--right--BrightnessContrastTransform,0.0016444945199933143
num_holes_range--left--CoarseDropoutTransform,0.0013546343211219495
idx_choice--5,0.001354178403944545
secondary_distortion_limit--right--ChromaticAberrationTransform,0.0011230533532842124
lightness--right--SharpenTransform,0.0010769988849310093
dropout_prob--PixelDropoutTransform,0.0009340098656368486
slant_range--left--RainTransform,0.0006568035380713847
contrast_limit--left--BrightnessContrastTransform,0.0003649586683119378
blur_value--RainTransform,0.00030674244471791027
blur_limit--right--MotionBlurTransform,0.00024371133820538373
idx_choice--0,0.00015525455741288537
blur_limit--left--MedianBlurTransform,0.00010951153795877249
