param,value
val_shift_limit--right--HSVTransform,0.028770272568066958
hue_shift_limit--right--HSVTransform,0.02714037699796093
sigma_limit--right--GaussianBlurTransform,0.02667924549189618
gamma_limit--left--GammaTransform,0.026274433758908776
gamma_limit--right--GammaTransform,0.025684507765583852
sat_shift_limit--left--HSVTransform,0.023108808480294618
g_shift_limit--left--RGBShiftTransform,0.023076124123814084
blur_limit--right--MedianBlurTransform,0.022961785259855524
hue_shift_limit--left--HSVTransform,0.02266545581852934
blur_limit--right--BlurTransform,0.02246232366787311
val_shift_limit--left--HSVTransform,0.02236043587912458
blur_limit--GaussianBlurTransform,0.022183282287609688
sat_shift_limit--right--HSVTransform,0.021664607135686097
blur_limit--left--MedianBlurTransform,0.021526859958218625
g_shift_limit--right--RGBShiftTransform,0.020657761971313703
compression_type--CompressionTransform,0.01669915027465414
brightness_limit--left--BrightnessContrastTransform,0.01591439918152242
contrast_limit--right--BrightnessContrastTransform,0.01575208856930399
alpha--right--EmbossTransform,0.015416421144251338
blur_limit--left--BlurTransform,0.015409676860435213
contrast_limit--left--BrightnessContrastTransform,0.015323453114133488
brightness_limit--right--BrightnessContrastTransform,0.014974627054603699
blur_limit--left--MotionBlurTransform,0.014422565808594148
max_factor--left--ZoomBlurTransform,0.014164602196993
radius--right--DefocusTransform,0.013892648795982884
idx_choice--1,0.01313604327978905
alpha--left--EmbossTransform,0.012768479702893147
max_factor--right--ZoomBlurTransform,0.012756537871728922
blur_limit--right--MotionBlurTransform,0.012404135866898421
radius--left--DefocusTransform,0.012058975768290785
shift_limit--right--ShiftScaleRotateTransform,0.011751176057498895
r_shift_limit--left--RGBShiftTransform,0.011421366718452014
idx_choice--5,0.01061726092972293
primary_distortion_limit--right--ChromaticAberrationTransform,0.010601222723346428
quality_range--right--CompressionTransform,0.010387547215927665
quality_range--left--CompressionTransform,0.009899774454856998
angle_range--right--MotionBlurTransform,0.009694735249847545
idx_choice--0,0.009524480658709858
strength--right--EmbossTransform,0.009377782554245755
secondary_distortion_limit--left--ChromaticAberrationTransform,0.009134187682202933
unit_size_range--left--GridDropoutTransform,0.00901433337683982
secondary_distortion_limit--right--ChromaticAberrationTransform,0.008990220385037056
scale--left--MorphologicalTransform,0.008893289780853925
primary_distortion_limit--left--ChromaticAberrationTransform,0.008840499156548836
alias_blur--right--DefocusTransform,0.008766736910318314
scale--left--PerspectiveTransform,0.008509021465196697
hole_width_range--right--CoarseDropoutTransform,0.008496146617749105
method--SharpenTransform,0.008477617264549719
rotate_limit--left--ShiftScaleRotateTransform,0.008339014191578786
scale--right--PerspectiveTransform,0.008206254588753448
strength--left--EmbossTransform,0.008087021038506361
ratio--GridDropoutTransform,0.007935184746356539
per_channel--RainbowTransform,0.007900431200485131
sigma_limit--left--GaussianBlurTransform,0.007518749330210163
threshold_range--right--SolarizeTransform,0.007287366796500756
rotate_limit--right--ShiftScaleRotateTransform,0.00728275978047933
hole_width_range--left--CoarseDropoutTransform,0.007226309201989388
dropout_prob--PixelDropoutTransform,0.006994200177431206
alpha--right--SharpenTransform,0.006939190014665393
distort_limit--right--OpticalDistortionTransform,0.006878629612174979
idx_choice--7,0.006359455662721243
brightness_coeff--SnowTransform,0.006329322883178481
mode--ChromaticAberrationTransform,0.006226589715942472
unit_size_range--right--GridDropoutTransform,0.005967766971962586
fill--GridDropoutTransform,0.005745581266210307
operation--MorphologicalTransform,0.0057386692884629584
scale--right--MorphologicalTransform,0.005619989441672934
per_channel--PixelDropoutTransform,0.005479076788004851
alpha--left--SharpenTransform,0.005338954185483024
