step,score,params
0,0.14922613557428122,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 4, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.026394594963602833, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 5, 'num_bits--PosterizeTransform': 5, 'idx_choice--3': 1, 'blur_limit--GaussianBlurTransform': 7, 'sigma_limit--left--GaussianBlurTransform': 1.7423627855489006, 'sigma_limit--right--GaussianBlurTransform': 1.816450874252615, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0292902259461891, 'max_factor--right--ZoomBlurTransform': 1.0759481024971522, 'step_factor--left--ZoomBlurTransform': 0.03892484811383823, 'step_factor--right--ZoomBlurTransform': 0.049295639946045036, 'idx_choice--5': 3, 'idx_choice--6': 2, 'idx_choice--7': 2}"
1,0.25147305318398416,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.049050257674329065, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 4, 'threshold_range--left--SolarizeTransform': 0.9218933686731433, 'threshold_range--right--SolarizeTransform': 0.9668926517599272, 'idx_choice--3': 6, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.7114862271583362, 'snow_point_range--right--SnowTransform': 0.8671369444882246, 'brightness_coeff--SnowTransform': 0.7929330883749512, 'idx_choice--5': 3, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.3499790560795334, 'scale_range--right--DownscaleTransform': 0.3827823386071338, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 69, 'num_holes_range--right--CoarseDropoutTransform': 96, 'hole_height_range--left--CoarseDropoutTransform': 0.011545133305120771, 'hole_height_range--right--CoarseDropoutTransform': 0.031248557169869205, 'hole_width_range--left--CoarseDropoutTransform': 0.0044865053915207126, 'hole_width_range--right--CoarseDropoutTransform': 0.022651819350304955, 'fill--CoarseDropoutTransform': 10}"
2,0.05281576876004692,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 4, 'threshold_range--left--SolarizeTransform': 0.8815617521118617, 'threshold_range--right--SolarizeTransform': 0.8926692335194197, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 4, 'blur_limit--right--BlurTransform': 8, 'idx_choice--4': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': -0.36805250806140016, 'primary_distortion_limit--right--ChromaticAberrationTransform': -0.33776095938622047, 'secondary_distortion_limit--left--ChromaticAberrationTransform': -0.2646760090478655, 'secondary_distortion_limit--right--ChromaticAberrationTransform': -0.11794490864472648, 'mode--ChromaticAberrationTransform': 'red_blue', 'interpolation--ChromaticAberrationTransform': 1, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 715.3284323639188, 'scale--right--PerspectiveTransform': 734.8649991705445, 'fill--PerspectiveTransform': 65, 'idx_choice--6': 2, 'idx_choice--7': 2}"
3,0.35061184246666155,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 1, 'scale--right--MorphologicalTransform': 4, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.07661730772373689, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 6, 'by_channels--EqualizeTransform': True, 'mode--EqualizeTransform': 'cv', 'idx_choice--3': 6, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.6421559804877088, 'snow_point_range--right--SnowTransform': 0.8270883692180923, 'brightness_coeff--SnowTransform': 0.8791102337457157, 'idx_choice--5': 3, 'idx_choice--6': 2, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 62, 'num_holes_range--right--CoarseDropoutTransform': 99, 'hole_height_range--left--CoarseDropoutTransform': 0.029822535570499027, 'hole_height_range--right--CoarseDropoutTransform': 0.034258210120236623, 'hole_width_range--left--CoarseDropoutTransform': 0.0477061732922196, 'hole_width_range--right--CoarseDropoutTransform': 0.049237843483820154, 'fill--CoarseDropoutTransform': 201}"
4,0.023977685314737474,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 4, 'scale--right--MorphologicalTransform': 5, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 1, 'idx_choice--2': 1, 'hue_shift_limit--left--HSVTransform': 139.8742606057511, 'hue_shift_limit--right--HSVTransform': 159.62111302471774, 'sat_shift_limit--left--HSVTransform': 190.8472645429555, 'sat_shift_limit--right--HSVTransform': 216.17367920927276, 'val_shift_limit--left--HSVTransform': -50.83925246643808, 'val_shift_limit--right--HSVTransform': 54.5050116670497, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 7, 'blur_limit--right--BlurTransform': 9, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.6109353954114055, 'snow_point_range--right--SnowTransform': 0.6545027893520273, 'brightness_coeff--SnowTransform': 1.6508935908068016, 'idx_choice--5': 3, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.5120235378157335, 'scale_range--right--DownscaleTransform': 0.5132660472648841, 'idx_choice--7': 2}"
5,0.8325815247801635,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 5, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.12230602983207628, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 11, 'idx_choice--3': 5, 'alpha--left--EmbossTransform': 0.4956015569091736, 'alpha--right--EmbossTransform': 0.7735710406938814, 'strength--left--EmbossTransform': 0.6071578904905472, 'strength--right--EmbossTransform': 0.963218366089655, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0475717098637753, 'max_factor--right--ZoomBlurTransform': 1.0797284696378233, 'step_factor--left--ZoomBlurTransform': 0.009920628429896905, 'step_factor--right--ZoomBlurTransform': 0.04212612408877572, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.11968355613218204, 'shift_limit--right--ShiftScaleRotateTransform': 0.002478966482960296, 'scale_limit--left--ShiftScaleRotateTransform': 0.9030633162178068, 'scale_limit--right--ShiftScaleRotateTransform': 0.9298204428578609, 'rotate_limit--left--ShiftScaleRotateTransform': 35.306009536234, 'rotate_limit--right--ShiftScaleRotateTransform': 45.21150555454128, 'fill--ShiftScaleRotateTransform': 243, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.5639942083412524, 'scale_range--right--DownscaleTransform': 0.5827910613923587, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 27, 'num_holes_range--right--CoarseDropoutTransform': 41, 'hole_height_range--left--CoarseDropoutTransform': 0.002858754336642232, 'hole_height_range--right--CoarseDropoutTransform': 0.04776640404449285, 'hole_width_range--left--CoarseDropoutTransform': 0.02498732261750786, 'hole_width_range--right--CoarseDropoutTransform': 0.03678144216592641, 'fill--CoarseDropoutTransform': 191}"
6,0.8686332655640748,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 2, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 1, 'idx_choice--2': 1, 'hue_shift_limit--left--HSVTransform': 15.7900795058992, 'hue_shift_limit--right--HSVTransform': 54.38604121987417, 'sat_shift_limit--left--HSVTransform': 159.15800741810142, 'sat_shift_limit--right--HSVTransform': 164.01888490071656, 'val_shift_limit--left--HSVTransform': -27.730108545513083, 'val_shift_limit--right--HSVTransform': 47.47977646088316, 'idx_choice--3': 6, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.6764161933982502, 'snow_point_range--right--SnowTransform': 0.8240561211940975, 'brightness_coeff--SnowTransform': 1.623885727430293, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.1100955623096384, 'shift_limit--right--ShiftScaleRotateTransform': 0.1736606397383184, 'scale_limit--left--ShiftScaleRotateTransform': 0.25541736679438565, 'scale_limit--right--ShiftScaleRotateTransform': 0.8211233099089352, 'rotate_limit--left--ShiftScaleRotateTransform': -153.5121794444442, 'rotate_limit--right--ShiftScaleRotateTransform': 46.94358901949434, 'fill--ShiftScaleRotateTransform': 108, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.4523667510858068, 'scale_range--right--DownscaleTransform': 0.5977637448534774, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.32819748896256057, 'unit_size_range--left--GridDropoutTransform': 36, 'unit_size_range--right--GridDropoutTransform': 76, 'fill--GridDropoutTransform': 164}"
7,0.05516373854457365,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 8, 'idx_choice--3': 4, 'alpha--left--SharpenTransform': 0.609682968266438, 'alpha--right--SharpenTransform': 0.7640789809109969, 'lightness--left--SharpenTransform': 1.7507928367253442, 'lightness--right--SharpenTransform': 1.9071942135702427, 'method--SharpenTransform': 'kernel', 'idx_choice--4': 0, 'rain_type--RainTransform': 'heavy', 'slant_range--left--RainTransform': 31.012492360173752, 'slant_range--right--RainTransform': 37.19871758643228, 'drop_length--RainTransform': 19, 'drop_width--RainTransform': 2, 'blur_value--RainTransform': 23, 'brightness_coefficient--RainTransform': 0.772606325093417, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.1366104496314756, 'shift_limit--right--ShiftScaleRotateTransform': -0.09958532613717039, 'scale_limit--left--ShiftScaleRotateTransform': 0.2364683961351342, 'scale_limit--right--ShiftScaleRotateTransform': 0.5811850473233574, 'rotate_limit--left--ShiftScaleRotateTransform': 178.5832234132297, 'rotate_limit--right--ShiftScaleRotateTransform': 217.5654743351495, 'fill--ShiftScaleRotateTransform': 79, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 36, 'quality_range--right--CompressionTransform': 86, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.008959880177941804, 'unit_size_range--left--GridDropoutTransform': 57, 'unit_size_range--right--GridDropoutTransform': 71, 'fill--GridDropoutTransform': 153}"
8,0.5812812940504115,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.11975186584458324, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 3, 'gamma_limit--left--GammaTransform': 170.76389307024579, 'gamma_limit--right--GammaTransform': 209.9201623770425, 'idx_choice--3': 6, 'idx_choice--4': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': 0.14458174215459607, 'primary_distortion_limit--right--ChromaticAberrationTransform': 0.24855356148630214, 'secondary_distortion_limit--left--ChromaticAberrationTransform': 0.193866620993574, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.6414906916910387, 'mode--ChromaticAberrationTransform': 'green_purple', 'interpolation--ChromaticAberrationTransform': 1, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.08857324654286812, 'shift_limit--right--ShiftScaleRotateTransform': 0.048478836532158384, 'scale_limit--left--ShiftScaleRotateTransform': 0.09899805776974667, 'scale_limit--right--ShiftScaleRotateTransform': 0.2776730487405974, 'rotate_limit--left--ShiftScaleRotateTransform': 318.4485524304881, 'rotate_limit--right--ShiftScaleRotateTransform': 334.47748492742164, 'fill--ShiftScaleRotateTransform': 39, 'idx_choice--6': 2, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 86, 'num_holes_range--right--CoarseDropoutTransform': 98, 'hole_height_range--left--CoarseDropoutTransform': 0.03705919208189474, 'hole_height_range--right--CoarseDropoutTransform': 0.046159899334815374, 'hole_width_range--left--CoarseDropoutTransform': 0.03866148008673478, 'hole_width_range--right--CoarseDropoutTransform': 0.04854439866643828, 'fill--CoarseDropoutTransform': 148}"
9,0.284226738439443,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.08324236401272374, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 7, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 4, 'blur_limit--right--BlurTransform': 5, 'idx_choice--4': 0, 'rain_type--RainTransform': 'torrential', 'slant_range--left--RainTransform': -42.19891589356155, 'slant_range--right--RainTransform': -21.679010826882486, 'drop_length--RainTransform': 13, 'drop_width--RainTransform': 1, 'blur_value--RainTransform': 8, 'brightness_coefficient--RainTransform': 0.903335342260765, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 579.1043790020431, 'scale--right--PerspectiveTransform': 865.7330938745457, 'fill--PerspectiveTransform': 168, 'idx_choice--6': 2, 'idx_choice--7': 2}"
