param,value
slant_range--left--RainTransform,0.029288361543437436
hue_shift_limit--left--HSVTransform,0.02534150310379648
brightness_limit--right--BrightnessContrastTransform,0.02422250113307133
slant_range--right--RainTransform,0.024123597931320892
hole_height_range--left--CoarseDropoutTransform,0.02075734862416509
drop_length--RainTransform,0.019751876889694778
by_channels--EqualizeTransform,0.018304230705730624
rotate_limit--right--ShiftScaleRotateTransform,0.01796804414268973
num_holes_range--left--CoarseDropoutTransform,0.017897906197140177
rotate_limit--left--ShiftScaleRotateTransform,0.017439318300670994
scale_range--left--DownscaleTransform,0.016592694846464164
idx_choice--0,0.016334941002763732
idx_choice--2,0.016247027470363575
per_channel--RainbowTransform,0.01576190872756784
radius--right--DefocusTransform,0.015589895414342376
radius--left--DefocusTransform,0.015180286641044732
max_factor--left--ZoomBlurTransform,0.01488287643644491
brightness_limit--left--BrightnessContrastTransform,0.014866846011610325
num_holes_range--right--CoarseDropoutTransform,0.014832772091808203
alias_blur--left--DefocusTransform,0.014810346511141657
ratio--GridDropoutTransform,0.014790537253121122
scale--right--PerspectiveTransform,0.013843768144782779
max_factor--right--ZoomBlurTransform,0.013631624022439202
scale--RainbowTransform,0.013375677552746608
val_shift_limit--right--HSVTransform,0.013117550403423923
sat_shift_limit--right--HSVTransform,0.012901133100928388
alias_blur--right--DefocusTransform,0.012859887618837306
scale_range--right--DownscaleTransform,0.012507473186098989
step_factor--right--ZoomBlurTransform,0.012156008429388125
val_shift_limit--left--HSVTransform,0.012143209092075825
blur_value--RainTransform,0.012080378891176956
sat_shift_limit--left--HSVTransform,0.011953020509967837
fill--OpticalDistortionTransform,0.011797367251561093
fill--PerspectiveTransform,0.01177801907528823
contrast_limit--right--BrightnessContrastTransform,0.011094769746433827
distort_limit--right--OpticalDistortionTransform,0.010962184781971508
blur_limit--left--MotionBlurTransform,0.010628582614712927
angle_range--left--MotionBlurTransform,0.010592084340742684
direction_range--right--MotionBlurTransform,0.010516655145555503
per_channel--PixelDropoutTransform,0.010281485702384454
hole_height_range--right--CoarseDropoutTransform,0.010245851100681427
primary_distortion_limit--right--ChromaticAberrationTransform,0.010148979445402117
angle_range--right--MotionBlurTransform,0.009784202771948972
scale_limit--left--ShiftScaleRotateTransform,0.009602593534937757
fill--GridDropoutTransform,0.009548453174266001
brightness_coeff--SnowTransform,0.009376777611723598
alpha--left--SharpenTransform,0.00933726529338463
idx_choice--1,0.009134048836167242
alpha--right--EmbossTransform,0.009053052838921577
blur_limit--right--MotionBlurTransform,0.00894330007638178
fill--CoarseDropoutTransform,0.00892746170002733
distort_limit--left--OpticalDistortionTransform,0.008550215429001536
hue_shift_limit--right--HSVTransform,0.008480438336198506
lightness--left--SharpenTransform,0.008449221021124729
g_shift_limit--left--RGBShiftTransform,0.008427294905704668
brightness_coefficient--RainTransform,0.008411785304961642
primary_distortion_limit--left--ChromaticAberrationTransform,0.008209812637862336
contrast_limit--left--BrightnessContrastTransform,0.008132607086856642
alpha--right--SharpenTransform,0.008112196953876391
gamma_limit--right--GammaTransform,0.007982179643641287
shift_limit--left--ShiftScaleRotateTransform,0.007964009282335911
gamma_limit--left--GammaTransform,0.007860467903082608
idx_choice--6,0.007701646564510459
hole_width_range--right--CoarseDropoutTransform,0.007658568354277389
method--SharpenTransform,0.007586133828294477
scale_limit--right--ShiftScaleRotateTransform,0.007063945038447745
hole_width_range--left--CoarseDropoutTransform,0.006993813922460619
compression_type--CompressionTransform,0.006446762801663168
idx_choice--3,0.006405016325713056
blur_limit--right--BlurTransform,0.006335866386870381
num_bits--PosterizeTransform,0.0057927289331762
step_factor--left--ZoomBlurTransform,0.00574033300541434
blur_limit--left--BlurTransform,0.0056226458122382045
sigma_limit--right--GaussianBlurTransform,0.00553141960505967
allow_shifted--MotionBlurTransform,0.005523500859180135
secondary_distortion_limit--right--ChromaticAberrationTransform,0.005421491290158063
g_shift_limit--right--RGBShiftTransform,0.00532224799784927
interpolation--ChromaticAberrationTransform,0.005124275483670173
idx_choice--7,0.00512419959574341
mode--ChromaticAberrationTransform,0.004922166673377512
alpha--left--EmbossTransform,0.004906818742097715
lightness--right--SharpenTransform,0.004584730399227287
idx_choice--5,0.004456042826048023
secondary_distortion_limit--left--ChromaticAberrationTransform,0.0044459918879450125
blur_limit--right--MedianBlurTransform,0.00437860774237388
b_shift_limit--right--RGBShiftTransform,0.004245819204715668
shift_limit--right--ShiftScaleRotateTransform,0.004135970118721951
scale--left--PerspectiveTransform,0.004107189319993008
quality_range--right--CompressionTransform,0.0037446379407344793
b_shift_limit--left--RGBShiftTransform,0.003655120370866055
strength--left--EmbossTransform,0.00358871124811091
snow_point_range--right--SnowTransform,0.003569679648894363
threshold_range--left--SolarizeTransform,0.0035125334246328974
scale--right--MorphologicalTransform,0.0031001049475728785
fill--ShiftScaleRotateTransform,0.0030764007443113968
blur_limit--left--MedianBlurTransform,0.002673347785467038
dropout_prob--PixelDropoutTransform,0.0017422520231512723
r_shift_limit--right--RGBShiftTransform,0.0016784112498669647
direction_range--left--MotionBlurTransform,0.001652481828539522
snow_point_range--left--SnowTransform,0.0016094053181573793
threshold_range--right--SolarizeTransform,0.001521737903807262
strength--right--EmbossTransform,0.0013380520529832315
quality_range--left--CompressionTransform,0.0013333490151593054
scale--left--MorphologicalTransform,0.001299461893539881
rain_type--RainTransform,0.0011914678884560163
unit_size_range--right--GridDropoutTransform,0.001141573359158611
unit_size_range--left--GridDropoutTransform,0.0010310123763689451
drop_width--RainTransform,0.0009352882933107926
blur_limit--GaussianBlurTransform,0.0009222906048146188
idx_choice--4,0.0008560317980667056
operation--MorphologicalTransform,0.0006548052068433864
r_shift_limit--left--RGBShiftTransform,0.0002786230303208488
mode--EqualizeTransform,0.00021687544735517276
sigma_limit--left--GaussianBlurTransform,0.00021049640288805193
