step,score,params
0,0.31681818293318864,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 1, 'hue_shift_limit--left--HSVTransform': -172.3225456743638, 'hue_shift_limit--right--HSVTransform': -25.36012739008075, 'sat_shift_limit--left--HSVTransform': -193.20209015635615, 'sat_shift_limit--right--HSVTransform': -101.31494892851131, 'val_shift_limit--left--HSVTransform': -73.03613160195567, 'val_shift_limit--right--HSVTransform': -59.56729962492494, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 7, 'blur_limit--right--MedianBlurTransform': 8, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.7358408069926392, 'snow_point_range--right--SnowTransform': 0.8440545624007206, 'brightness_coeff--SnowTransform': 1.5260556465689898, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 3.978863959473834, 'distort_limit--right--OpticalDistortionTransform': 7.161032212628195, 'fill--OpticalDistortionTransform': 188, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 61, 'quality_range--right--CompressionTransform': 94, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.2161801847700832, 'unit_size_range--left--GridDropoutTransform': 49, 'unit_size_range--right--GridDropoutTransform': 72, 'fill--GridDropoutTransform': 110}"
1,0.8868467495554969,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 9, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 4, 'blur_limit--right--MotionBlurTransform': 11, 'allow_shifted--MotionBlurTransform': False, 'angle_range--left--MotionBlurTransform': 343.1925982347726, 'angle_range--right--MotionBlurTransform': 357.3851443133202, 'direction_range--left--MotionBlurTransform': 0.6981191255631682, 'direction_range--right--MotionBlurTransform': 0.7867095014363696, 'idx_choice--4': 4, 'radius--left--DefocusTransform': 8, 'radius--right--DefocusTransform': 11, 'alias_blur--left--DefocusTransform': 2.5674923840587245, 'alias_blur--right--DefocusTransform': 12.212610710081767, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.13536956162419028, 'shift_limit--right--ShiftScaleRotateTransform': 0.1615538112901487, 'scale_limit--left--ShiftScaleRotateTransform': 0.8760107650035855, 'scale_limit--right--ShiftScaleRotateTransform': 0.9302054710627329, 'rotate_limit--left--ShiftScaleRotateTransform': 262.5335846814652, 'rotate_limit--right--ShiftScaleRotateTransform': 327.84025712611606, 'fill--ShiftScaleRotateTransform': 227, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.3705714799874129, 'scale_range--right--DownscaleTransform': 0.41765830950183247, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.030872607972458433, 'unit_size_range--left--GridDropoutTransform': 54, 'unit_size_range--right--GridDropoutTransform': 80, 'fill--GridDropoutTransform': 183}"
2,0.002847747059561135,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 1, 'idx_choice--2': 5, 'num_bits--PosterizeTransform': 6, 'idx_choice--3': 1, 'blur_limit--GaussianBlurTransform': 1, 'sigma_limit--left--GaussianBlurTransform': 0.022494942077987173, 'sigma_limit--right--GaussianBlurTransform': 0.4821636957349795, 'idx_choice--4': 4, 'radius--left--DefocusTransform': 7, 'radius--right--DefocusTransform': 9, 'alias_blur--left--DefocusTransform': 20.09398662149616, 'alias_blur--right--DefocusTransform': 21.514864227656755, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 5.580922047023154, 'distort_limit--right--OpticalDistortionTransform': 9.30678959851038, 'fill--OpticalDistortionTransform': 237, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 14, 'quality_range--right--CompressionTransform': 57, 'idx_choice--7': 2}"
3,0.009968786345173916,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 1, 'scale--right--MorphologicalTransform': 2, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.10532965217125113, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 6, 'by_channels--EqualizeTransform': False, 'mode--EqualizeTransform': 'pil', 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 4, 'blur_limit--right--BlurTransform': 9, 'idx_choice--4': 4, 'radius--left--DefocusTransform': 6, 'radius--right--DefocusTransform': 8, 'alias_blur--left--DefocusTransform': 4.81285205833974, 'alias_blur--right--DefocusTransform': 20.221583738052228, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 1.1799180311752362, 'distort_limit--right--OpticalDistortionTransform': 9.96364993992846, 'fill--OpticalDistortionTransform': 4, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.7965300667740838, 'scale_range--right--DownscaleTransform': 0.8708465913569938, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.10191785132149725, 'unit_size_range--left--GridDropoutTransform': 10, 'unit_size_range--right--GridDropoutTransform': 74, 'fill--GridDropoutTransform': 211}"
4,0.004852459598277207,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 7, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 3, 'blur_limit--right--BlurTransform': 6, 'idx_choice--4': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': 0.3920178362973601, 'primary_distortion_limit--right--ChromaticAberrationTransform': 0.5580158114958504, 'secondary_distortion_limit--left--ChromaticAberrationTransform': -0.48093445671588203, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.3834332618043387, 'mode--ChromaticAberrationTransform': 'random', 'interpolation--ChromaticAberrationTransform': 0, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 8.199511150860552, 'distort_limit--right--OpticalDistortionTransform': 9.857049167361117, 'fill--OpticalDistortionTransform': 35, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.21873991761424075, 'scale_range--right--DownscaleTransform': 0.9313413118620042, 'idx_choice--7': 2}"
5,0.06585434468884376,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 4, 'scale--right--MorphologicalTransform': 5, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.05373594427338113, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 6, 'by_channels--EqualizeTransform': False, 'mode--EqualizeTransform': 'cv', 'idx_choice--3': 6, 'idx_choice--4': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': -0.5872923065155642, 'primary_distortion_limit--right--ChromaticAberrationTransform': 0.44803513093558933, 'secondary_distortion_limit--left--ChromaticAberrationTransform': -0.03520998422925836, 'secondary_distortion_limit--right--ChromaticAberrationTransform': -0.023643509926533902, 'mode--ChromaticAberrationTransform': 'red_blue', 'interpolation--ChromaticAberrationTransform': 0, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 4.800516907400405, 'distort_limit--right--OpticalDistortionTransform': 7.2708046643274455, 'fill--OpticalDistortionTransform': 252, 'idx_choice--6': 2, 'idx_choice--7': 2}"
6,0.03478274050922621,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 10, 'idx_choice--3': 1, 'blur_limit--GaussianBlurTransform': 5, 'sigma_limit--left--GaussianBlurTransform': 0.4374933661493223, 'sigma_limit--right--GaussianBlurTransform': 0.8203700458101324, 'idx_choice--4': 6, 'idx_choice--5': 3, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.3589174038449957, 'scale_range--right--DownscaleTransform': 0.5177389720929298, 'idx_choice--7': 2}"
7,0.08007219683245889,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.08074739661831538, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 9, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 8, 'blur_limit--right--BlurTransform': 9, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.5785093029202912, 'snow_point_range--right--SnowTransform': 0.6175437835057356, 'brightness_coeff--SnowTransform': 0.7850863406606453, 'idx_choice--5': 3, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 46, 'quality_range--right--CompressionTransform': 68, 'idx_choice--7': 2}"
8,0.5312730791490703,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 2, 'scale--right--MorphologicalTransform': 3, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 1, 'idx_choice--2': 10, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 10, 'blur_limit--right--MedianBlurTransform': 12, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.043422973091138, 'max_factor--right--ZoomBlurTransform': 1.0853043699135139, 'step_factor--left--ZoomBlurTransform': 0.019191286327537454, 'step_factor--right--ZoomBlurTransform': 0.04713892816255595, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.03398976844150414, 'shift_limit--right--ShiftScaleRotateTransform': 0.17409696156864338, 'scale_limit--left--ShiftScaleRotateTransform': 0.22348483783436265, 'scale_limit--right--ShiftScaleRotateTransform': 0.519497727421872, 'rotate_limit--left--ShiftScaleRotateTransform': 202.30045995793068, 'rotate_limit--right--ShiftScaleRotateTransform': 288.77376270588115, 'fill--ShiftScaleRotateTransform': 189, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.35262916112537657, 'scale_range--right--DownscaleTransform': 0.9349698332640295, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 98, 'num_holes_range--right--CoarseDropoutTransform': 99, 'hole_height_range--left--CoarseDropoutTransform': 0.00200033468322874, 'hole_height_range--right--CoarseDropoutTransform': 0.04638488842710937, 'hole_width_range--left--CoarseDropoutTransform': 0.01743814805926961, 'hole_width_range--right--CoarseDropoutTransform': 0.024356024283840625, 'fill--CoarseDropoutTransform': 169}"
9,0.2636771055293225,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 1, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.11147673489072465, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 6, 'by_channels--EqualizeTransform': True, 'mode--EqualizeTransform': 'cv', 'idx_choice--3': 6, 'idx_choice--4': 6, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 5.842953422514731, 'distort_limit--right--OpticalDistortionTransform': 9.738555024382675, 'fill--OpticalDistortionTransform': 188, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 48, 'quality_range--right--CompressionTransform': 80, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.033886949585769745, 'unit_size_range--left--GridDropoutTransform': 36, 'unit_size_range--right--GridDropoutTransform': 78, 'fill--GridDropoutTransform': 176}"
