step,score,params
0,0.006771612633019686,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 1, 'idx_choice--2': 7, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 9, 'blur_limit--right--MedianBlurTransform': 12, 'idx_choice--4': 2, 'scale--RainbowTransform': 0.7091200674651079, 'per_channel--RainbowTransform': False, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': -0.1399120654656404, 'distort_limit--right--OpticalDistortionTransform': 7.198601440087973, 'fill--OpticalDistortionTransform': 203, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 60, 'quality_range--right--CompressionTransform': 76, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.027904388016383487, 'unit_size_range--left--GridDropoutTransform': 62, 'unit_size_range--right--GridDropoutTransform': 79, 'fill--GridDropoutTransform': 142}"
1,0.31431567650288345,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 2, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 1, 'idx_choice--2': 2, 'r_shift_limit--left--RGBShiftTransform': -34.09504075980013, 'r_shift_limit--right--RGBShiftTransform': -10.690782110212844, 'g_shift_limit--left--RGBShiftTransform': -20.81508519427414, 'g_shift_limit--right--RGBShiftTransform': -5.2167695877692655, 'b_shift_limit--left--RGBShiftTransform': 11.8480476966608, 'b_shift_limit--right--RGBShiftTransform': 18.674305954924414, 'idx_choice--3': 4, 'alpha--left--SharpenTransform': 0.7003856446087757, 'alpha--right--SharpenTransform': 0.7130559837891107, 'lightness--left--SharpenTransform': 0.12658136590452154, 'lightness--right--SharpenTransform': 0.9461851996784199, 'method--SharpenTransform': 'kernel', 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0841061815734037, 'max_factor--right--ZoomBlurTransform': 1.0898819315219235, 'step_factor--left--ZoomBlurTransform': 0.041684374537501324, 'step_factor--right--ZoomBlurTransform': 0.04949609683903976, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 5.554737424261606, 'distort_limit--right--OpticalDistortionTransform': 5.768154676902555, 'fill--OpticalDistortionTransform': 41, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 84, 'quality_range--right--CompressionTransform': 91, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.36836530108425336, 'unit_size_range--left--GridDropoutTransform': 16, 'unit_size_range--right--GridDropoutTransform': 24, 'fill--GridDropoutTransform': 147}"
2,0.3772174660116434,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 2, 'scale--right--MorphologicalTransform': 5, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.05387627098465706, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 8, 'idx_choice--3': 4, 'alpha--left--SharpenTransform': 0.36744585929761386, 'alpha--right--SharpenTransform': 0.7137497805134356, 'lightness--left--SharpenTransform': 0.45547907776566915, 'lightness--right--SharpenTransform': 1.053289732795565, 'method--SharpenTransform': 'kernel', 'idx_choice--4': 2, 'scale--RainbowTransform': 0.3847940595363707, 'per_channel--RainbowTransform': False, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.11088842586783987, 'shift_limit--right--ShiftScaleRotateTransform': 0.11271367104149922, 'scale_limit--left--ShiftScaleRotateTransform': 0.5142225011788464, 'scale_limit--right--ShiftScaleRotateTransform': 0.9257898192914229, 'rotate_limit--left--ShiftScaleRotateTransform': 298.56971999877146, 'rotate_limit--right--ShiftScaleRotateTransform': 310.7576235919297, 'fill--ShiftScaleRotateTransform': 245, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.7257494902735409, 'scale_range--right--DownscaleTransform': 0.7708945563071583, 'idx_choice--7': 2}"
3,0.006731007836060598,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.002708419568939396, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 10, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 5, 'blur_limit--right--MotionBlurTransform': 13, 'allow_shifted--MotionBlurTransform': True, 'angle_range--left--MotionBlurTransform': 281.5576525021261, 'angle_range--right--MotionBlurTransform': 343.71940753688006, 'direction_range--left--MotionBlurTransform': 0.4294133113609684, 'direction_range--right--MotionBlurTransform': 0.7389444136673705, 'idx_choice--4': 4, 'radius--left--DefocusTransform': 1, 'radius--right--DefocusTransform': 5, 'alias_blur--left--DefocusTransform': 6.203592420500806, 'alias_blur--right--DefocusTransform': 13.662719761603277, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 886.4554774476744, 'scale--right--PerspectiveTransform': 897.9438092611919, 'fill--PerspectiveTransform': 255, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 67, 'quality_range--right--CompressionTransform': 76, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 38, 'num_holes_range--right--CoarseDropoutTransform': 48, 'hole_height_range--left--CoarseDropoutTransform': 0.04180745999736323, 'hole_height_range--right--CoarseDropoutTransform': 0.046222339056012425, 'hole_width_range--left--CoarseDropoutTransform': 0.03358658414195973, 'hole_width_range--right--CoarseDropoutTransform': 0.04831826791423549, 'fill--CoarseDropoutTransform': 17}"
4,0.8791619271039963,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.060082084578951346, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 1, 'hue_shift_limit--left--HSVTransform': -123.84852300318872, 'hue_shift_limit--right--HSVTransform': 60.27422461096427, 'sat_shift_limit--left--HSVTransform': -147.5677842379917, 'sat_shift_limit--right--HSVTransform': -119.62652760162284, 'val_shift_limit--left--HSVTransform': 78.95528645004313, 'val_shift_limit--right--HSVTransform': 78.96774695486386, 'idx_choice--3': 6, 'idx_choice--4': 0, 'rain_type--RainTransform': 'torrential', 'slant_range--left--RainTransform': -24.12369111136261, 'slant_range--right--RainTransform': 16.461854604390386, 'drop_length--RainTransform': 11, 'drop_width--RainTransform': 1, 'blur_value--RainTransform': 2, 'brightness_coefficient--RainTransform': 0.8799960418449668, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.038532101427067506, 'shift_limit--right--ShiftScaleRotateTransform': 0.0074458126531320445, 'scale_limit--left--ShiftScaleRotateTransform': 0.8617422649439085, 'scale_limit--right--ShiftScaleRotateTransform': 0.938836005347456, 'rotate_limit--left--ShiftScaleRotateTransform': 211.61057021681086, 'rotate_limit--right--ShiftScaleRotateTransform': 283.85805382834303, 'fill--ShiftScaleRotateTransform': 255, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 71, 'quality_range--right--CompressionTransform': 99, 'idx_choice--7': 2}"
5,0.6130638748407364,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.13392495402180268, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 4, 'threshold_range--left--SolarizeTransform': 0.8769029271876619, 'threshold_range--right--SolarizeTransform': 0.9403780014631752, 'idx_choice--3': 4, 'alpha--left--SharpenTransform': 0.0013626153448831663, 'alpha--right--SharpenTransform': 0.7742991248504769, 'lightness--left--SharpenTransform': 1.5158178167143956, 'lightness--right--SharpenTransform': 1.66134027658849, 'method--SharpenTransform': 'gaussian', 'idx_choice--4': 0, 'rain_type--RainTransform': 'torrential', 'slant_range--left--RainTransform': -7.9608729701405, 'slant_range--right--RainTransform': 38.02894182905607, 'drop_length--RainTransform': 19, 'drop_width--RainTransform': 2, 'blur_value--RainTransform': 9, 'brightness_coefficient--RainTransform': 0.9369573520507285, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.12634282441929812, 'shift_limit--right--ShiftScaleRotateTransform': 0.18810517409457822, 'scale_limit--left--ShiftScaleRotateTransform': 0.07993186937101257, 'scale_limit--right--ShiftScaleRotateTransform': 0.4900310378181907, 'rotate_limit--left--ShiftScaleRotateTransform': -178.562384554278, 'rotate_limit--right--ShiftScaleRotateTransform': 357.44828601368454, 'fill--ShiftScaleRotateTransform': 155, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 69, 'quality_range--right--CompressionTransform': 83, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 25, 'num_holes_range--right--CoarseDropoutTransform': 26, 'hole_height_range--left--CoarseDropoutTransform': 0.04278333965536327, 'hole_height_range--right--CoarseDropoutTransform': 0.04598210356940117, 'hole_width_range--left--CoarseDropoutTransform': 0.014360031757604346, 'hole_width_range--right--CoarseDropoutTransform': 0.049229638905472835, 'fill--CoarseDropoutTransform': 98}"
6,0.09683180646970868,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 8, 'idx_choice--3': 6, 'idx_choice--4': 6, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 441.53646333637795, 'scale--right--PerspectiveTransform': 574.018984701395, 'fill--PerspectiveTransform': 175, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 67, 'quality_range--right--CompressionTransform': 81, 'idx_choice--7': 2}"
7,0.1753509401343763,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 8, 'idx_choice--3': 5, 'alpha--left--EmbossTransform': 0.045835092953240446, 'alpha--right--EmbossTransform': 0.5352953803911584, 'strength--left--EmbossTransform': 0.37307718902046116, 'strength--right--EmbossTransform': 0.7545847049377538, 'idx_choice--4': 0, 'rain_type--RainTransform': 'drizzle', 'slant_range--left--RainTransform': 4.089160082326401, 'slant_range--right--RainTransform': 43.28388156281589, 'drop_length--RainTransform': 4, 'drop_width--RainTransform': 2, 'blur_value--RainTransform': 13, 'brightness_coefficient--RainTransform': 0.8379619198208211, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 566.4585726956283, 'scale--right--PerspectiveTransform': 695.3213267600676, 'fill--PerspectiveTransform': 220, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 8, 'quality_range--right--CompressionTransform': 31, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 12, 'num_holes_range--right--CoarseDropoutTransform': 77, 'hole_height_range--left--CoarseDropoutTransform': 0.0065375892984127415, 'hole_height_range--right--CoarseDropoutTransform': 0.00754051521935292, 'hole_width_range--left--CoarseDropoutTransform': 0.03577114659348537, 'hole_width_range--right--CoarseDropoutTransform': 0.04551118546244068, 'fill--CoarseDropoutTransform': 214}"
8,0.5247251857072115,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.14483645306343118, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 6, 'by_channels--EqualizeTransform': False, 'mode--EqualizeTransform': 'cv', 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 7, 'blur_limit--right--BlurTransform': 8, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0033173433029139, 'max_factor--right--ZoomBlurTransform': 1.0875482655026403, 'step_factor--left--ZoomBlurTransform': 0.018392276062711838, 'step_factor--right--ZoomBlurTransform': 0.04131212288242469, 'idx_choice--5': 3, 'idx_choice--6': 2, 'idx_choice--7': 2}"
9,0.9329852879047393,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.07766050368792837, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 2, 'r_shift_limit--left--RGBShiftTransform': -68.49736204299036, 'r_shift_limit--right--RGBShiftTransform': -25.327646592405465, 'g_shift_limit--left--RGBShiftTransform': 17.238180468461707, 'g_shift_limit--right--RGBShiftTransform': 39.50297000317111, 'b_shift_limit--left--RGBShiftTransform': 2.3102731610696736, 'b_shift_limit--right--RGBShiftTransform': 66.31791726971068, 'idx_choice--3': 6, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.5280193526083684, 'snow_point_range--right--SnowTransform': 0.5402353380442129, 'brightness_coeff--SnowTransform': 1.1821052031640664, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 571.2619019907776, 'scale--right--PerspectiveTransform': 604.4673139919702, 'fill--PerspectiveTransform': 133, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.31543861105152826, 'scale_range--right--DownscaleTransform': 0.44096264001126, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.2405419744198196, 'unit_size_range--left--GridDropoutTransform': 27, 'unit_size_range--right--GridDropoutTransform': 91, 'fill--GridDropoutTransform': 187}"
