param,value
b_shift_limit--right--RGBShiftTransform,0.020870032451392555
snow_point_range--left--SnowTransform,0.02018672132613219
b_shift_limit--left--RGBShiftTransform,0.02001386158810938
r_shift_limit--left--RGBShiftTransform,0.019942342547517426
hue_shift_limit--left--HSVTransform,0.019898032043866472
g_shift_limit--left--RGBShiftTransform,0.01978751831989216
g_shift_limit--right--RGBShiftTransform,0.01957501840665722
r_shift_limit--right--RGBShiftTransform,0.019059244011346142
hue_shift_limit--right--HSVTransform,0.01899118705099421
snow_point_range--right--SnowTransform,0.01848856454504818
contrast_limit--left--BrightnessContrastTransform,0.018294155346232983
brightness_coeff--SnowTransform,0.017870583007719345
by_channels--EqualizeTransform,0.01771350315726313
brightness_limit--left--BrightnessContrastTransform,0.01756909286677121
blur_limit--left--BlurTransform,0.017533805016585906
per_channel--RainbowTransform,0.016991099333723652
brightness_limit--right--BrightnessContrastTransform,0.016154338987324064
blur_limit--right--BlurTransform,0.015681486929210953
val_shift_limit--right--HSVTransform,0.015529935115782679
val_shift_limit--left--HSVTransform,0.01512315670772355
scale--left--PerspectiveTransform,0.014855773680053575
sat_shift_limit--left--HSVTransform,0.014437897341425483
sat_shift_limit--right--HSVTransform,0.014417306518933257
unit_size_range--right--GridDropoutTransform,0.014071402682174997
radius--left--DefocusTransform,0.013868559995472006
primary_distortion_limit--left--ChromaticAberrationTransform,0.0134919918530061
scale--right--PerspectiveTransform,0.012865659723710562
allow_shifted--MotionBlurTransform,0.012518869742456577
scale_limit--right--ShiftScaleRotateTransform,0.012266485111165749
idx_choice--6,0.012208196470890772
step_factor--right--ZoomBlurTransform,0.012097163953847462
contrast_limit--right--BrightnessContrastTransform,0.01207256507358971
unit_size_range--left--GridDropoutTransform,0.011480571930806375
sigma_limit--left--GaussianBlurTransform,0.011225139057077942
lightness--left--SharpenTransform,0.011019251474512458
primary_distortion_limit--right--ChromaticAberrationTransform,0.010968749243882777
lightness--right--SharpenTransform,0.01083560963676824
method--SharpenTransform,0.01067995619488885
alias_blur--right--DefocusTransform,0.010673073607787993
drop_length--RainTransform,0.00988972773926793
fill--CoarseDropoutTransform,0.009811612332718114
blur_limit--left--MedianBlurTransform,0.009659029484007466
interpolation--ChromaticAberrationTransform,0.009638093224064519
radius--right--DefocusTransform,0.009628454489497135
direction_range--left--MotionBlurTransform,0.009571203040521037
scale_limit--left--ShiftScaleRotateTransform,0.009554967827516078
mode--EqualizeTransform,0.009463858846891441
direction_range--right--MotionBlurTransform,0.009132188901633535
mode--ChromaticAberrationTransform,0.00910826624138518
idx_choice--2,0.0090927729804458
sigma_limit--right--GaussianBlurTransform,0.009065318565920607
hole_width_range--right--CoarseDropoutTransform,0.008993139694803497
idx_choice--5,0.0086160823771006
blur_limit--right--MedianBlurTransform,0.00850544106651639
fill--GridDropoutTransform,0.008394815463349033
blur_limit--left--MotionBlurTransform,0.008137956325405399
brightness_coefficient--RainTransform,0.007380275810531979
rotate_limit--left--ShiftScaleRotateTransform,0.007342921301027665
alpha--left--EmbossTransform,0.0073276552090305895
alias_blur--left--DefocusTransform,0.007295520912350901
idx_choice--1,0.007196494924564715
max_factor--left--ZoomBlurTransform,0.007155105261270878
blur_limit--GaussianBlurTransform,0.007113462998960731
scale_range--right--DownscaleTransform,0.0070446779034009635
fill--ShiftScaleRotateTransform,0.006726574362630219
shift_limit--left--ShiftScaleRotateTransform,0.006170793681026445
idx_choice--4,0.006150377167405909
angle_range--right--MotionBlurTransform,0.006148499444379761
hole_width_range--left--CoarseDropoutTransform,0.006136468164018922
idx_choice--0,0.006014741174636882
alpha--right--EmbossTransform,0.005963377680418421
scale--RainbowTransform,0.005919831348857795
rain_type--RainTransform,0.005834899845788731
step_factor--left--ZoomBlurTransform,0.005743366512897358
quality_range--left--CompressionTransform,0.005527549599710321
num_holes_range--left--CoarseDropoutTransform,0.005344060780134843
operation--MorphologicalTransform,0.005242820634989175
distort_limit--left--OpticalDistortionTransform,0.005060111626284042
angle_range--left--MotionBlurTransform,0.005057092937523837
alpha--right--SharpenTransform,0.004984382745018943
shift_limit--right--ShiftScaleRotateTransform,0.00497650212827465
rotate_limit--right--ShiftScaleRotateTransform,0.004889707059450463
compression_type--CompressionTransform,0.004887047779831274
blur_limit--right--MotionBlurTransform,0.004660164152359129
num_holes_range--right--CoarseDropoutTransform,0.004599830212115244
hole_height_range--right--CoarseDropoutTransform,0.0044394052341644695
threshold_range--left--SolarizeTransform,0.004422902414837903
scale_range--left--DownscaleTransform,0.004419314857670789
scale--left--MorphologicalTransform,0.0043055897658602635
idx_choice--3,0.00426857559127928
distort_limit--right--OpticalDistortionTransform,0.003893737892552583
alpha--left--SharpenTransform,0.0038436075666049723
per_channel--PixelDropoutTransform,0.003630825538810562
strength--right--EmbossTransform,0.0035246704745279223
quality_range--right--CompressionTransform,0.0034811376261407647
blur_value--RainTransform,0.0027189918770142035
drop_width--RainTransform,0.0025764265581131028
fill--PerspectiveTransform,0.0025754113482778403
dropout_prob--PixelDropoutTransform,0.0021978369504438698
gamma_limit--right--GammaTransform,0.001942206069985399
ratio--GridDropoutTransform,0.0017757173720971229
strength--left--EmbossTransform,0.001754792693278388
threshold_range--right--SolarizeTransform,0.0016885695632610715
slant_range--left--RainTransform,0.0015095975605395574
scale--right--MorphologicalTransform,0.001426648317094177
hole_height_range--left--CoarseDropoutTransform,0.0013922367782342173
secondary_distortion_limit--right--ChromaticAberrationTransform,0.00130208928650875
slant_range--right--RainTransform,0.001063120542338126
fill--OpticalDistortionTransform,0.0010349279997746664
gamma_limit--left--GammaTransform,0.000976981673015479
num_bits--PosterizeTransform,0.0009664537223791392
idx_choice--7,0.0006713785647442229
max_factor--right--ZoomBlurTransform,0.0006687494970942691
secondary_distortion_limit--left--ChromaticAberrationTransform,4.295265167781061e-05
