step,score,params
0,0.3205847856774926,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.03364423313521693, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 11, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 8, 'blur_limit--right--MedianBlurTransform': 9, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.5493503616885808, 'snow_point_range--right--SnowTransform': 0.7074898175819134, 'brightness_coeff--SnowTransform': 1.1605929075435635, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.14738943289017117, 'shift_limit--right--ShiftScaleRotateTransform': -0.052914560005287034, 'scale_limit--left--ShiftScaleRotateTransform': 0.5705235041801737, 'scale_limit--right--ShiftScaleRotateTransform': 0.7195625051515998, 'rotate_limit--left--ShiftScaleRotateTransform': -90.5221308581958, 'rotate_limit--right--ShiftScaleRotateTransform': 114.07828553186707, 'fill--ShiftScaleRotateTransform': 133, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 79, 'quality_range--right--CompressionTransform': 98, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.06548096177837084, 'unit_size_range--left--GridDropoutTransform': 57, 'unit_size_range--right--GridDropoutTransform': 77, 'fill--GridDropoutTransform': 203}"
1,0.05994173552840948,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 1, 'scale--right--MorphologicalTransform': 5, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 1, 'idx_choice--2': 9, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 10, 'blur_limit--right--MotionBlurTransform': 15, 'allow_shifted--MotionBlurTransform': True, 'angle_range--left--MotionBlurTransform': 66.15667075082976, 'angle_range--right--MotionBlurTransform': 226.40709605818213, 'direction_range--left--MotionBlurTransform': -0.26923032519032986, 'direction_range--right--MotionBlurTransform': -0.12529963955052298, 'idx_choice--4': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': -0.5542047719639838, 'primary_distortion_limit--right--ChromaticAberrationTransform': 0.08631913236541433, 'secondary_distortion_limit--left--ChromaticAberrationTransform': -0.11226228632854551, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.1203085673017848, 'mode--ChromaticAberrationTransform': 'random', 'interpolation--ChromaticAberrationTransform': 1, 'idx_choice--5': 3, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 95, 'quality_range--right--CompressionTransform': 98, 'idx_choice--7': 2}"
2,0.15193125925958156,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 4, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 1, 'idx_choice--2': 7, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 4, 'blur_limit--right--MotionBlurTransform': 14, 'allow_shifted--MotionBlurTransform': False, 'angle_range--left--MotionBlurTransform': 256.97354105703687, 'angle_range--right--MotionBlurTransform': 279.29985944200945, 'direction_range--left--MotionBlurTransform': 0.5684184308166338, 'direction_range--right--MotionBlurTransform': 0.8705906482181118, 'idx_choice--4': 0, 'rain_type--RainTransform': 'heavy', 'slant_range--left--RainTransform': -17.377821345343964, 'slant_range--right--RainTransform': -8.290938914347585, 'drop_length--RainTransform': 1, 'drop_width--RainTransform': 2, 'blur_value--RainTransform': 9, 'brightness_coefficient--RainTransform': 0.6080444653902123, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 222.08572805097108, 'scale--right--PerspectiveTransform': 516.8103193801134, 'fill--PerspectiveTransform': 142, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.212833122998356, 'scale_range--right--DownscaleTransform': 0.2556411605408311, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 8, 'num_holes_range--right--CoarseDropoutTransform': 84, 'hole_height_range--left--CoarseDropoutTransform': 0.04893829567106502, 'hole_height_range--right--CoarseDropoutTransform': 0.04982791350158879, 'hole_width_range--left--CoarseDropoutTransform': 0.025639426269912856, 'hole_width_range--right--CoarseDropoutTransform': 0.027276720492886743, 'fill--CoarseDropoutTransform': 51}"
3,0.1494716257508844,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.09049994185364107, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 3, 'gamma_limit--left--GammaTransform': 21.08301921528011, 'gamma_limit--right--GammaTransform': 148.2445280833604, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 5, 'blur_limit--right--MedianBlurTransform': 12, 'idx_choice--4': 0, 'rain_type--RainTransform': 'torrential', 'slant_range--left--RainTransform': 5.441996894194766, 'slant_range--right--RainTransform': 42.66346786892054, 'drop_length--RainTransform': 9, 'drop_width--RainTransform': 2, 'blur_value--RainTransform': 12, 'brightness_coefficient--RainTransform': 0.7112250229533905, 'idx_choice--5': 3, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.22560926591255498, 'scale_range--right--DownscaleTransform': 0.4314746899408093, 'idx_choice--7': 2}"
4,0.41355432618409393,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 4, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 1, 'idx_choice--2': 9, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 5, 'blur_limit--right--MedianBlurTransform': 9, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0546006692156742, 'max_factor--right--ZoomBlurTransform': 1.0844143005779072, 'step_factor--left--ZoomBlurTransform': 0.04698713877568236, 'step_factor--right--ZoomBlurTransform': 0.047667116532177485, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.19166049480522762, 'shift_limit--right--ShiftScaleRotateTransform': 0.08918915043372763, 'scale_limit--left--ShiftScaleRotateTransform': 0.7298616923059025, 'scale_limit--right--ShiftScaleRotateTransform': 0.8821619044562139, 'rotate_limit--left--ShiftScaleRotateTransform': 329.91846283996483, 'rotate_limit--right--ShiftScaleRotateTransform': 354.4218601497036, 'fill--ShiftScaleRotateTransform': 201, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 75, 'quality_range--right--CompressionTransform': 99, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 18, 'num_holes_range--right--CoarseDropoutTransform': 75, 'hole_height_range--left--CoarseDropoutTransform': 0.02760887396430299, 'hole_height_range--right--CoarseDropoutTransform': 0.042143013056787, 'hole_width_range--left--CoarseDropoutTransform': 0.017602163946075923, 'hole_width_range--right--CoarseDropoutTransform': 0.04497072181295108, 'fill--CoarseDropoutTransform': 58}"
5,0.26928428636863827,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.08532867491982381, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 6, 'by_channels--EqualizeTransform': True, 'mode--EqualizeTransform': 'pil', 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 4, 'blur_limit--right--MotionBlurTransform': 7, 'allow_shifted--MotionBlurTransform': True, 'angle_range--left--MotionBlurTransform': 282.64705891878634, 'angle_range--right--MotionBlurTransform': 346.6054580732505, 'direction_range--left--MotionBlurTransform': -0.07662275806506025, 'direction_range--right--MotionBlurTransform': 0.047329279936463825, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0339037119975139, 'max_factor--right--ZoomBlurTransform': 1.0847126252800599, 'step_factor--left--ZoomBlurTransform': 0.026476734951577315, 'step_factor--right--ZoomBlurTransform': 0.04929568292912076, 'idx_choice--5': 3, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.5853031749983724, 'scale_range--right--DownscaleTransform': 0.7203336061542818, 'idx_choice--7': 2}"
6,0.18561013408005236,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.0405262622287109, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 8, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 6, 'blur_limit--right--BlurTransform': 10, 'idx_choice--4': 2, 'scale--RainbowTransform': 0.621688037552646, 'per_channel--RainbowTransform': False, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 0.5886647311063342, 'distort_limit--right--OpticalDistortionTransform': 5.308413524392334, 'fill--OpticalDistortionTransform': 51, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 44, 'quality_range--right--CompressionTransform': 99, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.34473354780801196, 'unit_size_range--left--GridDropoutTransform': 30, 'unit_size_range--right--GridDropoutTransform': 92, 'fill--GridDropoutTransform': 181}"
7,0.16470806071534752,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.04400492191210871, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 8, 'idx_choice--3': 1, 'blur_limit--GaussianBlurTransform': 9, 'sigma_limit--left--GaussianBlurTransform': 1.3981461873201695, 'sigma_limit--right--GaussianBlurTransform': 1.7407487194881233, 'idx_choice--4': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': 0.6977433120428334, 'primary_distortion_limit--right--ChromaticAberrationTransform': 0.6994569635297176, 'secondary_distortion_limit--left--ChromaticAberrationTransform': 0.6250559175909516, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.6518670243332864, 'mode--ChromaticAberrationTransform': 'green_purple', 'interpolation--ChromaticAberrationTransform': 1, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 3.996197018655131, 'distort_limit--right--OpticalDistortionTransform': 7.629107962381966, 'fill--OpticalDistortionTransform': 64, 'idx_choice--6': 2, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 80, 'num_holes_range--right--CoarseDropoutTransform': 86, 'hole_height_range--left--CoarseDropoutTransform': 0.021400150092090182, 'hole_height_range--right--CoarseDropoutTransform': 0.03335472354480845, 'hole_width_range--left--CoarseDropoutTransform': 0.032186154401243575, 'hole_width_range--right--CoarseDropoutTransform': 0.04993759901522142, 'fill--CoarseDropoutTransform': 62}"
8,0.5372379881632514,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 2, 'scale--right--MorphologicalTransform': 4, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.1343413968557004, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 8, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 4, 'blur_limit--right--MotionBlurTransform': 12, 'allow_shifted--MotionBlurTransform': True, 'angle_range--left--MotionBlurTransform': 118.90566389234885, 'angle_range--right--MotionBlurTransform': 125.81597309029691, 'direction_range--left--MotionBlurTransform': -0.4159559933725766, 'direction_range--right--MotionBlurTransform': 0.8365976578558787, 'idx_choice--4': 2, 'scale--RainbowTransform': 0.5159762366943361, 'per_channel--RainbowTransform': False, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 0.3978924367666413, 'distort_limit--right--OpticalDistortionTransform': 2.94163753906552, 'fill--OpticalDistortionTransform': 124, 'idx_choice--6': 2, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.30761446179479196, 'unit_size_range--left--GridDropoutTransform': 29, 'unit_size_range--right--GridDropoutTransform': 77, 'fill--GridDropoutTransform': 2}"
9,0.22790669474750758,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.12517514663978835, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 3, 'gamma_limit--left--GammaTransform': 184.78440098798723, 'gamma_limit--right--GammaTransform': 209.09524344543166, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 5, 'blur_limit--right--BlurTransform': 7, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.6281113778705276, 'snow_point_range--right--SnowTransform': 0.8390061814078125, 'brightness_coeff--SnowTransform': 1.1162605814321944, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 509.52840951866807, 'scale--right--PerspectiveTransform': 620.1381435432216, 'fill--PerspectiveTransform': 187, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.723758771335282, 'scale_range--right--DownscaleTransform': 0.9227989768983607, 'idx_choice--7': 2}"
