step,score,params
0,0.08501360137717262,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 1, 'idx_choice--2': 4, 'threshold_range--left--SolarizeTransform': 0.9275726480449855, 'threshold_range--right--SolarizeTransform': 0.954099809810026, 'idx_choice--3': 6, 'idx_choice--4': 4, 'radius--left--DefocusTransform': 5, 'radius--right--DefocusTransform': 7, 'alias_blur--left--DefocusTransform': 4.241379517422134, 'alias_blur--right--DefocusTransform': 17.282149385311403, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 4.284520217752738, 'distort_limit--right--OpticalDistortionTransform': 7.711163818858607, 'fill--OpticalDistortionTransform': 5, 'idx_choice--6': 2, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.043751624842279215, 'unit_size_range--left--GridDropoutTransform': 69, 'unit_size_range--right--GridDropoutTransform': 90, 'fill--GridDropoutTransform': 134}"
1,0.7858549820846075,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.024108662229438065, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 4, 'threshold_range--left--SolarizeTransform': 0.8604781540768863, 'threshold_range--right--SolarizeTransform': 0.8971132211305429, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 3, 'blur_limit--right--MedianBlurTransform': 5, 'idx_choice--4': 0, 'rain_type--RainTransform': 'drizzle', 'slant_range--left--RainTransform': 21.529172329405426, 'slant_range--right--RainTransform': 31.5094529436451, 'drop_length--RainTransform': 2, 'drop_width--RainTransform': 2, 'blur_value--RainTransform': 5, 'brightness_coefficient--RainTransform': 0.9813132362359365, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.05842023277592598, 'shift_limit--right--ShiftScaleRotateTransform': -0.058137708581750255, 'scale_limit--left--ShiftScaleRotateTransform': 0.5951968258351797, 'scale_limit--right--ShiftScaleRotateTransform': 0.788467205015105, 'rotate_limit--left--ShiftScaleRotateTransform': 60.77477799997865, 'rotate_limit--right--ShiftScaleRotateTransform': 208.6003507492497, 'fill--ShiftScaleRotateTransform': 253, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.7198859234464121, 'scale_range--right--DownscaleTransform': 0.728345480386423, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.33249049390317187, 'unit_size_range--left--GridDropoutTransform': 78, 'unit_size_range--right--GridDropoutTransform': 82, 'fill--GridDropoutTransform': 31}"
2,0.24656511200528133,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 5, 'num_bits--PosterizeTransform': 4, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 8, 'blur_limit--right--BlurTransform': 9, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0974418920758042, 'max_factor--right--ZoomBlurTransform': 1.0978750899108356, 'step_factor--left--ZoomBlurTransform': 0.02103349278508958, 'step_factor--right--ZoomBlurTransform': 0.03722618059131715, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 767.6957660151082, 'scale--right--PerspectiveTransform': 784.4765812664292, 'fill--PerspectiveTransform': 134, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 72, 'quality_range--right--CompressionTransform': 88, 'idx_choice--7': 2}"
3,0.09020075032627847,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 10, 'idx_choice--3': 6, 'idx_choice--4': 2, 'scale--RainbowTransform': 0.5698220515153989, 'per_channel--RainbowTransform': True, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 6.095257409615633, 'scale--right--PerspectiveTransform': 136.22257153831822, 'fill--PerspectiveTransform': 35, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 58, 'quality_range--right--CompressionTransform': 63, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 42, 'num_holes_range--right--CoarseDropoutTransform': 93, 'hole_height_range--left--CoarseDropoutTransform': 0.04386948471690381, 'hole_height_range--right--CoarseDropoutTransform': 0.04612280362251721, 'hole_width_range--left--CoarseDropoutTransform': 0.017032924228407034, 'hole_width_range--right--CoarseDropoutTransform': 0.029011958462688194, 'fill--CoarseDropoutTransform': 18}"
4,0.11937436620602766,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 6, 'by_channels--EqualizeTransform': True, 'mode--EqualizeTransform': 'pil', 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 11, 'blur_limit--right--MotionBlurTransform': 12, 'allow_shifted--MotionBlurTransform': True, 'angle_range--left--MotionBlurTransform': 267.13322299633677, 'angle_range--right--MotionBlurTransform': 306.03431688796405, 'direction_range--left--MotionBlurTransform': 0.7105429246899579, 'direction_range--right--MotionBlurTransform': 0.7983437823287695, 'idx_choice--4': 6, 'idx_choice--5': 3, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.2730098445533297, 'scale_range--right--DownscaleTransform': 0.8717821287608692, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 29, 'num_holes_range--right--CoarseDropoutTransform': 68, 'hole_height_range--left--CoarseDropoutTransform': 0.021339893320793668, 'hole_height_range--right--CoarseDropoutTransform': 0.0474985308523371, 'hole_width_range--left--CoarseDropoutTransform': 0.01585794113624535, 'hole_width_range--right--CoarseDropoutTransform': 0.025490345612784213, 'fill--CoarseDropoutTransform': 223}"
5,0.3959235632186118,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 8, 'idx_choice--3': 6, 'idx_choice--4': 2, 'scale--RainbowTransform': 0.4283951489255686, 'per_channel--RainbowTransform': True, 'idx_choice--5': 3, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 77, 'quality_range--right--CompressionTransform': 80, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.2272518405989289, 'unit_size_range--left--GridDropoutTransform': 97, 'unit_size_range--right--GridDropoutTransform': 100, 'fill--GridDropoutTransform': 32}"
6,0.294264031331731,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.06451229815779014, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 9, 'idx_choice--3': 1, 'blur_limit--GaussianBlurTransform': 25, 'sigma_limit--left--GaussianBlurTransform': 1.6472759141976594, 'sigma_limit--right--GaussianBlurTransform': 1.9384685867569678, 'idx_choice--4': 4, 'radius--left--DefocusTransform': 7, 'radius--right--DefocusTransform': 8, 'alias_blur--left--DefocusTransform': 6.60328665201645, 'alias_blur--right--DefocusTransform': 16.874737491747503, 'idx_choice--5': 3, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.9806270229320917, 'scale_range--right--DownscaleTransform': 0.9913474801165163, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 38, 'num_holes_range--right--CoarseDropoutTransform': 60, 'hole_height_range--left--CoarseDropoutTransform': 0.018807636275925386, 'hole_height_range--right--CoarseDropoutTransform': 0.022459882105624506, 'hole_width_range--left--CoarseDropoutTransform': 0.03436032155912582, 'hole_width_range--right--CoarseDropoutTransform': 0.04178256110346651, 'fill--CoarseDropoutTransform': 44}"
7,0.08248985282540934,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 2, 'r_shift_limit--left--RGBShiftTransform': -0.38807347132758707, 'r_shift_limit--right--RGBShiftTransform': 69.54384954787521, 'g_shift_limit--left--RGBShiftTransform': 62.726128340002106, 'g_shift_limit--right--RGBShiftTransform': 78.5101154104968, 'b_shift_limit--left--RGBShiftTransform': 31.068292217845112, 'b_shift_limit--right--RGBShiftTransform': 78.60520814109532, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 6, 'blur_limit--right--BlurTransform': 10, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.551128665587723, 'snow_point_range--right--SnowTransform': 0.745081985850282, 'brightness_coeff--SnowTransform': 1.4391535112586333, 'idx_choice--5': 3, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.5676082379740293, 'scale_range--right--DownscaleTransform': 0.730199309261428, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.2240900782246223, 'unit_size_range--left--GridDropoutTransform': 2, 'unit_size_range--right--GridDropoutTransform': 68, 'fill--GridDropoutTransform': 242}"
8,0.41360287136104823,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 1, 'idx_choice--2': 1, 'hue_shift_limit--left--HSVTransform': -81.33075727128247, 'hue_shift_limit--right--HSVTransform': 20.223056267397936, 'sat_shift_limit--left--HSVTransform': 105.81191027501922, 'sat_shift_limit--right--HSVTransform': 176.7587618919395, 'val_shift_limit--left--HSVTransform': -42.59918764419688, 'val_shift_limit--right--HSVTransform': 36.87659901980786, 'idx_choice--3': 6, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.8383917619248263, 'snow_point_range--right--SnowTransform': 0.8469009779605954, 'brightness_coeff--SnowTransform': 0.8808454928223276, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 3.6578496536947496, 'distort_limit--right--OpticalDistortionTransform': 4.864098009395583, 'fill--OpticalDistortionTransform': 64, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 52, 'quality_range--right--CompressionTransform': 73, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 96, 'num_holes_range--right--CoarseDropoutTransform': 99, 'hole_height_range--left--CoarseDropoutTransform': 0.025552541050668582, 'hole_height_range--right--CoarseDropoutTransform': 0.041302672976330314, 'hole_width_range--left--CoarseDropoutTransform': 0.010971763220368528, 'hole_width_range--right--CoarseDropoutTransform': 0.026477571966646088, 'fill--CoarseDropoutTransform': 33}"
9,0.025045476188844912,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 11, 'idx_choice--3': 5, 'alpha--left--EmbossTransform': 0.555891026731071, 'alpha--right--EmbossTransform': 0.6659615881530853, 'strength--left--EmbossTransform': 0.2646251923564814, 'strength--right--EmbossTransform': 0.26948033117080966, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0769264499022055, 'max_factor--right--ZoomBlurTransform': 1.091627502950494, 'step_factor--left--ZoomBlurTransform': 0.025638786711809736, 'step_factor--right--ZoomBlurTransform': 0.048238786554008, 'idx_choice--5': 3, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 82, 'quality_range--right--CompressionTransform': 99, 'idx_choice--7': 2}"
