param,value
sat_shift_limit--right--HSVTransform,0.02109204917924956
brightness_limit--left--BrightnessContrastTransform,0.02109204917924956
val_shift_limit--left--HSVTransform,0.02109204917924956
contrast_limit--right--BrightnessContrastTransform,0.02109204917924956
val_shift_limit--right--HSVTransform,0.02109204917924956
hue_shift_limit--right--HSVTransform,0.02109204917924956
brightness_limit--right--BrightnessContrastTransform,0.02109204917924956
sat_shift_limit--left--HSVTransform,0.021092049179249558
contrast_limit--left--BrightnessContrastTransform,0.021092049179249558
hue_shift_limit--left--HSVTransform,0.021092049179249558
b_shift_limit--right--RGBShiftTransform,0.0210798053673827
g_shift_limit--right--RGBShiftTransform,0.02106247003939085
r_shift_limit--right--RGBShiftTransform,0.020689292439402953
g_shift_limit--left--RGBShiftTransform,0.020648861206327578
b_shift_limit--left--RGBShiftTransform,0.020096987495816922
r_shift_limit--left--RGBShiftTransform,0.014701581194827864
gamma_limit--right--GammaTransform,0.014401380327168317
blur_limit--right--MotionBlurTransform,0.01415794261761524
blur_limit--left--MedianBlurTransform,0.013782428939655393
threshold_range--right--SolarizeTransform,0.0130800903797104
primary_distortion_limit--right--ChromaticAberrationTransform,0.013030185706958696
threshold_range--left--SolarizeTransform,0.013021712122607085
primary_distortion_limit--left--ChromaticAberrationTransform,0.013009742955013793
blur_limit--left--BlurTransform,0.012748379111429526
rotate_limit--right--ShiftScaleRotateTransform,0.012093427359032233
blur_limit--left--MotionBlurTransform,0.01200119150423151
radius--right--DefocusTransform,0.011996434017999992
blur_limit--right--MedianBlurTransform,0.011597601985172483
idx_choice--3,0.011321626084443771
sigma_limit--right--GaussianBlurTransform,0.011032678334061418
blur_limit--GaussianBlurTransform,0.010863603822810682
sigma_limit--left--GaussianBlurTransform,0.010748953415761953
num_bits--PosterizeTransform,0.010690012574805747
by_channels--EqualizeTransform,0.010615279374901759
scale_limit--right--ShiftScaleRotateTransform,0.010567680928834308
idx_choice--2,0.010430420051642625
idx_choice--0,0.010349681479841133
operation--MorphologicalTransform,0.010018686750562784
fill--GridDropoutTransform,0.009717956940141277
gamma_limit--left--GammaTransform,0.009365203684574101
unit_size_range--left--GridDropoutTransform,0.009275156811541427
allow_shifted--MotionBlurTransform,0.009179452251489147
compression_type--CompressionTransform,0.009092926443669975
fill--ShiftScaleRotateTransform,0.009011092863726571
shift_limit--right--ShiftScaleRotateTransform,0.008948879053582305
scale--left--MorphologicalTransform,0.008934326836242628
idx_choice--1,0.008680471915298726
interpolation--ChromaticAberrationTransform,0.00864551911943296
rotate_limit--left--ShiftScaleRotateTransform,0.008532668561971673
radius--left--DefocusTransform,0.008451485439967328
per_channel--MultiplicativeNoiseTransform,0.008220392538179114
idx_choice--5,0.008121446566647967
alias_blur--left--DefocusTransform,0.007930459052890127
scale--right--MorphologicalTransform,0.007825850048820984
num_holes_range--left--CoarseDropoutTransform,0.0078012999620612295
alias_blur--right--DefocusTransform,0.007713841970665322
scale--left--PerspectiveTransform,0.007713182929361728
ratio--GridDropoutTransform,0.007647902271111798
idx_choice--7,0.007643128584190244
mode--ChromaticAberrationTransform,0.007371165915374498
per_channel--PixelDropoutTransform,0.007295293188217951
num_holes_range--right--CoarseDropoutTransform,0.00707337701322538
elementwise--MultiplicativeNoiseTransform,0.006855091416077255
scale_limit--left--ShiftScaleRotateTransform,0.006716767336776499
unit_size_range--right--GridDropoutTransform,0.0060721235865986755
fill--OpticalDistortionTransform,0.006016239863930519
multiplier--left--MultiplicativeNoiseTransform,0.0059818069490012
quality_range--right--CompressionTransform,0.005834186349887218
scale--right--PerspectiveTransform,0.005764501305407998
strength--left--EmbossTransform,0.005763779798555031
alpha--left--EmbossTransform,0.005424591953828082
drop_width--RainTransform,0.005394722076678664
quality_range--left--CompressionTransform,0.005295225196505851
per_channel--GaussNoiseTransform,0.005244253688327283
brightness_coeff--SnowTransform,0.005224874472263379
step_factor--right--ZoomBlurTransform,0.005224371802251177
alpha--right--SharpenTransform,0.0049396852407060056
rain_type--RainTransform,0.004919550635605967
per_channel--RainbowTransform,0.004800148807649118
hole_width_range--left--CoarseDropoutTransform,0.0047853644973307255
alpha--left--SharpenTransform,0.004765628699363174
strength--right--EmbossTransform,0.004496735727081776
shift_limit--left--ShiftScaleRotateTransform,0.004486708253163028
std_range--right--GaussNoiseTransform,0.004452724809383962
mode--EqualizeTransform,0.004389168379224136
snow_point_range--right--SnowTransform,0.0042500002834798874
distort_limit--right--OpticalDistortionTransform,0.004162255828628179
lightness--left--SharpenTransform,0.004100939517962468
max_factor--left--ZoomBlurTransform,0.004085682976543225
snow_point_range--left--SnowTransform,0.003969384264734341
direction_range--right--MotionBlurTransform,0.003856246461687913
angle_range--left--MotionBlurTransform,0.0038547885425854397
blur_limit--right--BlurTransform,0.0037417175318689233
method--SharpenTransform,0.00372580674024256
scale_range--right--DownscaleTransform,0.0033062378855327284
direction_range--left--MotionBlurTransform,0.003154834783759661
hole_width_range--right--CoarseDropoutTransform,0.003052824952957118
blur_value--RainTransform,0.002975781235132356
dropout_prob--PixelDropoutTransform,0.002940774082592268
slant_range--left--RainTransform,0.0028500760069091217
mean_range--left--GaussNoiseTransform,0.0027763306214684327
angle_range--right--MotionBlurTransform,0.002746309086475725
drop_length--RainTransform,0.00243987027997274
slant_range--right--RainTransform,0.002364895418255964
scale_range--left--DownscaleTransform,0.0022645329306774137
distort_limit--left--OpticalDistortionTransform,0.002175310469033392
brightness_coefficient--RainTransform,0.002138965058958284
hole_height_range--right--CoarseDropoutTransform,0.001992818016272818
fill--PerspectiveTransform,0.0017660502963952748
secondary_distortion_limit--left--ChromaticAberrationTransform,0.0017221174781739262
alpha--right--EmbossTransform,0.0013774427791710766
max_factor--right--ZoomBlurTransform,0.0013453574413751926
