step,score,params
0,5.182734821573831e-05,"{'idx_choice--0': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.08911949442740175, 'shift_limit--right--ShiftScaleRotateTransform': 0.11530462518386156, 'scale_limit--left--ShiftScaleRotateTransform': 0.7120883080062117, 'scale_limit--right--ShiftScaleRotateTransform': 0.8842377517373006, 'rotate_limit--left--ShiftScaleRotateTransform': -271.77123399789264, 'rotate_limit--right--ShiftScaleRotateTransform': 200.630880084299, 'fill--ShiftScaleRotateTransform': 156, 'idx_choice--1': 6, 'by_channels--EqualizeTransform': True, 'mode--EqualizeTransform': 'pil', 'idx_choice--2': 6, 'idx_choice--3': 2, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 91, 'num_holes_range--right--CoarseDropoutTransform': 96, 'hole_height_range--left--CoarseDropoutTransform': 0.027934874955512206, 'hole_height_range--right--CoarseDropoutTransform': 0.04558170430927315, 'hole_width_range--left--CoarseDropoutTransform': 0.04455139382326329, 'hole_width_range--right--CoarseDropoutTransform': 0.048103874593430275, 'fill--CoarseDropoutTransform': 245, 'idx_choice--5': 3, 'idx_choice--6': 4, 'radius--left--DefocusTransform': 9, 'radius--right--DefocusTransform': 11, 'alias_blur--left--DefocusTransform': 3.1638501844054696, 'alias_blur--right--DefocusTransform': 12.986131005502257, 'idx_choice--7': 1}"
1,0.1565741806436563,"{'idx_choice--0': 3, 'idx_choice--1': 11, 'idx_choice--2': 5, 'alpha--left--EmbossTransform': 0.3323275176910317, 'alpha--right--EmbossTransform': 0.9416614462995571, 'strength--left--EmbossTransform': 0.42367404951857207, 'strength--right--EmbossTransform': 0.8850748440207563, 'idx_choice--3': 1, 'multiplier--left--MultiplicativeNoiseTransform': 0.5712262793291968, 'multiplier--right--MultiplicativeNoiseTransform': 1.3882295413637789, 'per_channel--MultiplicativeNoiseTransform': True, 'elementwise--MultiplicativeNoiseTransform': False, 'idx_choice--4': 1, 'ratio--GridDropoutTransform': 0.21629271364203004, 'unit_size_range--left--GridDropoutTransform': 58, 'unit_size_range--right--GridDropoutTransform': 59, 'fill--GridDropoutTransform': 195, 'idx_choice--5': 1, 'scale_range--left--DownscaleTransform': 0.9756559709844532, 'scale_range--right--DownscaleTransform': 0.9999891548841678, 'idx_choice--6': 0, 'rain_type--RainTransform': 'torrential', 'slant_range--left--RainTransform': 12.785125306447789, 'slant_range--right--RainTransform': 13.681064981684832, 'drop_length--RainTransform': 23, 'drop_width--RainTransform': 1, 'blur_value--RainTransform': 13, 'brightness_coefficient--RainTransform': 0.7153474757607889, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 2, 'scale--right--MorphologicalTransform': 4, 'operation--MorphologicalTransform': 'dilation'}"
2,0.17849172037094832,"{'idx_choice--0': 1, 'distort_limit--left--OpticalDistortionTransform': 0.29987557667921694, 'distort_limit--right--OpticalDistortionTransform': 1.9111243277208176, 'fill--OpticalDistortionTransform': 30, 'idx_choice--1': 1, 'hue_shift_limit--left--HSVTransform': 41.65900628358142, 'hue_shift_limit--right--HSVTransform': 141.15566360271953, 'sat_shift_limit--left--HSVTransform': 12.217453883476423, 'sat_shift_limit--right--HSVTransform': 193.23952522641866, 'val_shift_limit--left--HSVTransform': -74.37108427316242, 'val_shift_limit--right--HSVTransform': 20.804263690158322, 'idx_choice--2': 3, 'blur_limit--left--MotionBlurTransform': 4, 'blur_limit--right--MotionBlurTransform': 11, 'allow_shifted--MotionBlurTransform': False, 'angle_range--left--MotionBlurTransform': 233.62718017392328, 'angle_range--right--MotionBlurTransform': 288.32978149895183, 'direction_range--left--MotionBlurTransform': 0.6582266997023869, 'direction_range--right--MotionBlurTransform': 0.7406069455280647, 'idx_choice--3': 0, 'std_range--left--GaussNoiseTransform': 0.14393369083939073, 'std_range--right--GaussNoiseTransform': 0.19539195016511818, 'mean_range--left--GaussNoiseTransform': 0.0012482576653665978, 'mean_range--right--GaussNoiseTransform': 0.1948904667316643, 'per_channel--GaussNoiseTransform': True, 'noise_scale_factor--GaussNoiseTransform': 0.16332154443117164, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 36, 'num_holes_range--right--CoarseDropoutTransform': 68, 'hole_height_range--left--CoarseDropoutTransform': 0.020523316187813317, 'hole_height_range--right--CoarseDropoutTransform': 0.03760188524521964, 'hole_width_range--left--CoarseDropoutTransform': 0.04995039528538179, 'hole_width_range--right--CoarseDropoutTransform': 0.049968505661587254, 'fill--CoarseDropoutTransform': 6, 'idx_choice--5': 2, 'dropout_prob--PixelDropoutTransform': 0.042263059243997654, 'per_channel--PixelDropoutTransform': False, 'idx_choice--6': 0, 'rain_type--RainTransform': 'heavy', 'slant_range--left--RainTransform': 9.93883948016233, 'slant_range--right--RainTransform': 20.79124729082065, 'drop_length--RainTransform': 18, 'drop_width--RainTransform': 1, 'blur_value--RainTransform': 24, 'brightness_coefficient--RainTransform': 0.7529683224757087, 'idx_choice--7': 1}"
3,0.0007868149275964242,"{'idx_choice--0': 3, 'idx_choice--1': 5, 'num_bits--PosterizeTransform': 7, 'idx_choice--2': 5, 'alpha--left--EmbossTransform': 0.8078546903525937, 'alpha--right--EmbossTransform': 0.9382739900992884, 'strength--left--EmbossTransform': 0.9869228572913555, 'strength--right--EmbossTransform': 0.996074577040407, 'idx_choice--3': 1, 'multiplier--left--MultiplicativeNoiseTransform': 1.264913632596258, 'multiplier--right--MultiplicativeNoiseTransform': 1.346046476930139, 'per_channel--MultiplicativeNoiseTransform': True, 'elementwise--MultiplicativeNoiseTransform': False, 'idx_choice--4': 2, 'idx_choice--5': 3, 'idx_choice--6': 0, 'rain_type--RainTransform': 'torrential', 'slant_range--left--RainTransform': -29.157724485574626, 'slant_range--right--RainTransform': -6.35227884121678, 'drop_length--RainTransform': 18, 'drop_width--RainTransform': 1, 'blur_value--RainTransform': 24, 'brightness_coefficient--RainTransform': 0.8528942196958498, 'idx_choice--7': 1}"
4,5.973643437755527e-05,"{'idx_choice--0': 3, 'idx_choice--1': 5, 'num_bits--PosterizeTransform': 6, 'idx_choice--2': 0, 'blur_limit--left--BlurTransform': 5, 'blur_limit--right--BlurTransform': 8, 'idx_choice--3': 1, 'multiplier--left--MultiplicativeNoiseTransform': 0.991475579254102, 'multiplier--right--MultiplicativeNoiseTransform': 1.2246699469818987, 'per_channel--MultiplicativeNoiseTransform': True, 'elementwise--MultiplicativeNoiseTransform': False, 'idx_choice--4': 2, 'idx_choice--5': 1, 'scale_range--left--DownscaleTransform': 0.5657557729574394, 'scale_range--right--DownscaleTransform': 0.8968942199498333, 'idx_choice--6': 1, 'snow_point_range--left--SnowTransform': 0.7818308961082168, 'snow_point_range--right--SnowTransform': 0.893340528197551, 'brightness_coeff--SnowTransform': 1.387769158102784, 'idx_choice--7': 1}"
5,7.843824405426859e-05,"{'idx_choice--0': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.1735823989619679, 'shift_limit--right--ShiftScaleRotateTransform': 0.024082484030973295, 'scale_limit--left--ShiftScaleRotateTransform': 0.09155073451642294, 'scale_limit--right--ShiftScaleRotateTransform': 0.4128923938034666, 'rotate_limit--left--ShiftScaleRotateTransform': -113.59744447161032, 'rotate_limit--right--ShiftScaleRotateTransform': 184.86151001291384, 'fill--ShiftScaleRotateTransform': 123, 'idx_choice--1': 11, 'idx_choice--2': 4, 'alpha--left--SharpenTransform': 0.5400288870793974, 'alpha--right--SharpenTransform': 0.6547786014282063, 'lightness--left--SharpenTransform': 0.9431409685781688, 'lightness--right--SharpenTransform': 1.766241401938793, 'method--SharpenTransform': 'kernel', 'idx_choice--3': 2, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 6, 'num_holes_range--right--CoarseDropoutTransform': 46, 'hole_height_range--left--CoarseDropoutTransform': 0.007958714639917432, 'hole_height_range--right--CoarseDropoutTransform': 0.027879920315666117, 'hole_width_range--left--CoarseDropoutTransform': 0.002394898664709735, 'hole_width_range--right--CoarseDropoutTransform': 0.0066672969682825475, 'fill--CoarseDropoutTransform': 194, 'idx_choice--5': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 48, 'quality_range--right--CompressionTransform': 59, 'idx_choice--6': 6, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 5, 'operation--MorphologicalTransform': 'dilation'}"
6,0.0001626251014386071,"{'idx_choice--0': 0, 'scale--left--PerspectiveTransform': 91.01502929677234, 'scale--right--PerspectiveTransform': 315.52906264216614, 'fill--PerspectiveTransform': 110, 'idx_choice--1': 4, 'threshold_range--left--SolarizeTransform': 0.8153246470807489, 'threshold_range--right--SolarizeTransform': 0.9901479528178281, 'idx_choice--2': 1, 'blur_limit--GaussianBlurTransform': 8, 'sigma_limit--left--GaussianBlurTransform': 1.8186388725984735, 'sigma_limit--right--GaussianBlurTransform': 1.9521420066248947, 'idx_choice--3': 2, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 66, 'num_holes_range--right--CoarseDropoutTransform': 94, 'hole_height_range--left--CoarseDropoutTransform': 0.04039876908839435, 'hole_height_range--right--CoarseDropoutTransform': 0.04773289144737741, 'hole_width_range--left--CoarseDropoutTransform': 0.002558321832203498, 'hole_width_range--right--CoarseDropoutTransform': 0.02071339248384314, 'fill--CoarseDropoutTransform': 121, 'idx_choice--5': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 36, 'quality_range--right--CompressionTransform': 79, 'idx_choice--6': 1, 'snow_point_range--left--SnowTransform': 0.774402933079043, 'snow_point_range--right--SnowTransform': 0.8070116764814993, 'brightness_coeff--SnowTransform': 1.5491824630497026, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 4, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'erosion'}"
7,6.0378961461537986e-05,"{'idx_choice--0': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.05421760805734871, 'shift_limit--right--ShiftScaleRotateTransform': 0.012595510311379232, 'scale_limit--left--ShiftScaleRotateTransform': 0.923482840042317, 'scale_limit--right--ShiftScaleRotateTransform': 0.9312475984449412, 'rotate_limit--left--ShiftScaleRotateTransform': 295.9080209507026, 'rotate_limit--right--ShiftScaleRotateTransform': 311.76962236470615, 'fill--ShiftScaleRotateTransform': 203, 'idx_choice--1': 0, 'brightness_limit--left--BrightnessContrastTransform': -0.10341282570808512, 'brightness_limit--right--BrightnessContrastTransform': 0.13957286242810552, 'contrast_limit--left--BrightnessContrastTransform': -0.17532055278018968, 'contrast_limit--right--BrightnessContrastTransform': -0.05092651494085139, 'idx_choice--2': 2, 'blur_limit--left--MedianBlurTransform': 9, 'blur_limit--right--MedianBlurTransform': 12, 'idx_choice--3': 1, 'multiplier--left--MultiplicativeNoiseTransform': 1.8024186728897023, 'multiplier--right--MultiplicativeNoiseTransform': 1.9609000734096007, 'per_channel--MultiplicativeNoiseTransform': False, 'elementwise--MultiplicativeNoiseTransform': True, 'idx_choice--4': 1, 'ratio--GridDropoutTransform': 0.29983224056140123, 'unit_size_range--left--GridDropoutTransform': 55, 'unit_size_range--right--GridDropoutTransform': 72, 'fill--GridDropoutTransform': 58, 'idx_choice--5': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 14, 'quality_range--right--CompressionTransform': 69, 'idx_choice--6': 4, 'radius--left--DefocusTransform': 3, 'radius--right--DefocusTransform': 9, 'alias_blur--left--DefocusTransform': 20.605343236881897, 'alias_blur--right--DefocusTransform': 22.001232875382858, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'dilation'}"
8,0.5405313471623231,"{'idx_choice--0': 0, 'scale--left--PerspectiveTransform': 394.3345950803757, 'scale--right--PerspectiveTransform': 759.5528129889949, 'fill--PerspectiveTransform': 223, 'idx_choice--1': 8, 'idx_choice--2': 6, 'idx_choice--3': 0, 'std_range--left--GaussNoiseTransform': 0.11785523073549457, 'std_range--right--GaussNoiseTransform': 0.14572431356201385, 'mean_range--left--GaussNoiseTransform': -0.17418297941655836, 'mean_range--right--GaussNoiseTransform': -0.004257488495423484, 'per_channel--GaussNoiseTransform': True, 'noise_scale_factor--GaussNoiseTransform': 0.23830049281274646, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 34, 'num_holes_range--right--CoarseDropoutTransform': 100, 'hole_height_range--left--CoarseDropoutTransform': 0.0032434358486479738, 'hole_height_range--right--CoarseDropoutTransform': 0.007317134158330418, 'hole_width_range--left--CoarseDropoutTransform': 0.02674936151166436, 'hole_width_range--right--CoarseDropoutTransform': 0.031151171613899686, 'fill--CoarseDropoutTransform': 241, 'idx_choice--5': 2, 'dropout_prob--PixelDropoutTransform': 0.06257033303936951, 'per_channel--PixelDropoutTransform': True, 'idx_choice--6': 1, 'snow_point_range--left--SnowTransform': 0.6286089366113806, 'snow_point_range--right--SnowTransform': 0.7461724994972304, 'brightness_coeff--SnowTransform': 1.5811545219075347, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 1, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'dilation'}"
9,6.816508976044133e-05,"{'idx_choice--0': 3, 'idx_choice--1': 6, 'by_channels--EqualizeTransform': False, 'mode--EqualizeTransform': 'pil', 'idx_choice--2': 0, 'blur_limit--left--BlurTransform': 3, 'blur_limit--right--BlurTransform': 10, 'idx_choice--3': 2, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 37, 'num_holes_range--right--CoarseDropoutTransform': 88, 'hole_height_range--left--CoarseDropoutTransform': 0.013532960027321671, 'hole_height_range--right--CoarseDropoutTransform': 0.04406932417492283, 'hole_width_range--left--CoarseDropoutTransform': 0.0018746861548698218, 'hole_width_range--right--CoarseDropoutTransform': 0.04459398858303519, 'fill--CoarseDropoutTransform': 251, 'idx_choice--5': 1, 'scale_range--left--DownscaleTransform': 0.688558744327049, 'scale_range--right--DownscaleTransform': 0.6943851957052313, 'idx_choice--6': 4, 'radius--left--DefocusTransform': 1, 'radius--right--DefocusTransform': 4, 'alias_blur--left--DefocusTransform': 24.550087776426157, 'alias_blur--right--DefocusTransform': 24.585045220570862, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 4, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'erosion'}"
