param,value
brightness_limit--right--BrightnessContrastTransform,0.02552310953958744
contrast_limit--left--BrightnessContrastTransform,0.02552310953958744
contrast_limit--right--BrightnessContrastTransform,0.025523109539587432
brightness_limit--left--BrightnessContrastTransform,0.025523109539587432
sat_shift_limit--right--HSVTransform,0.025466017418955086
hue_shift_limit--right--HSVTransform,0.025207745442851207
hue_shift_limit--left--HSVTransform,0.025046665503763933
blur_limit--right--BlurTransform,0.023925953534457253
sat_shift_limit--left--HSVTransform,0.023452321820207147
blur_limit--GaussianBlurTransform,0.023296813411871002
blur_value--RainTransform,0.020957410256418747
drop_length--RainTransform,0.020921860287383614
rain_type--RainTransform,0.02090142796455528
slant_range--left--RainTransform,0.020439539215190653
b_shift_limit--right--RGBShiftTransform,0.019648107998885715
blur_limit--left--BlurTransform,0.01864645600263571
mode--EqualizeTransform,0.018298761547655692
idx_choice--6,0.01627823048407799
primary_distortion_limit--left--ChromaticAberrationTransform,0.01606797985773741
ratio--GridDropoutTransform,0.015698132482138555
gamma_limit--left--GammaTransform,0.015628524465827874
slant_range--right--RainTransform,0.015318376493293626
idx_choice--0,0.014690340175677444
drop_width--RainTransform,0.014647847268874897
radius--right--DefocusTransform,0.014630272841528989
idx_choice--5,0.0143716762106212
snow_point_range--left--SnowTransform,0.01411933006935858
idx_choice--7,0.013747909422802433
idx_choice--3,0.01341902156931387
alpha--left--SharpenTransform,0.013076150583708751
radius--left--DefocusTransform,0.012824407535120366
primary_distortion_limit--right--ChromaticAberrationTransform,0.012804529918429362
gamma_limit--right--GammaTransform,0.012550529386967327
by_channels--EqualizeTransform,0.012530709681200543
blur_limit--right--MedianBlurTransform,0.012239880122595982
val_shift_limit--right--HSVTransform,0.01206517595559064
val_shift_limit--left--HSVTransform,0.011808493934891716
alpha--right--SharpenTransform,0.011115504028807958
sigma_limit--left--GaussianBlurTransform,0.011076825277598847
rotate_limit--right--ShiftScaleRotateTransform,0.01048134685412057
alpha--right--EmbossTransform,0.010391936828473199
per_channel--PixelDropoutTransform,0.009791416102425796
alpha--left--EmbossTransform,0.009525820451152777
idx_choice--1,0.00950302413911027
lightness--right--SharpenTransform,0.009340911922185354
brightness_coeff--SnowTransform,0.009284112884381855
blur_limit--left--MedianBlurTransform,0.009275282595294237
strength--right--EmbossTransform,0.009202986138240644
rotate_limit--left--ShiftScaleRotateTransform,0.009142376821336003
fill--CoarseDropoutTransform,0.00866802415881737
direction_range--right--MotionBlurTransform,0.00819753468035203
sigma_limit--right--GaussianBlurTransform,0.008057669629426181
blur_limit--right--MotionBlurTransform,0.007662527286438003
scale_range--right--DownscaleTransform,0.007013800534984981
method--SharpenTransform,0.0068022984768930745
dropout_prob--PixelDropoutTransform,0.0067129119284812635
scale_range--left--DownscaleTransform,0.006172937515238933
strength--left--EmbossTransform,0.005633733590846592
distort_limit--right--OpticalDistortionTransform,0.0052716538086419636
per_channel--RainbowTransform,0.005111350032318115
mode--ChromaticAberrationTransform,0.0049812804572045765
scale--right--MorphologicalTransform,0.004913448861631865
step_factor--right--ZoomBlurTransform,0.004787529402387431
shift_limit--right--ShiftScaleRotateTransform,0.0046839351534654124
hole_width_range--right--CoarseDropoutTransform,0.0046697993730307795
secondary_distortion_limit--right--ChromaticAberrationTransform,0.004413650374200422
g_shift_limit--right--RGBShiftTransform,0.004208145329434413
r_shift_limit--right--RGBShiftTransform,0.004148460853509203
hole_width_range--left--CoarseDropoutTransform,0.004117206346158652
scale--RainbowTransform,0.004030616447578636
scale--left--PerspectiveTransform,0.003986464977975477
operation--MorphologicalTransform,0.0038696179257601123
angle_range--left--MotionBlurTransform,0.0036649563063692473
threshold_range--left--SolarizeTransform,0.003610370468994642
g_shift_limit--left--RGBShiftTransform,0.0035841691032311674
blur_limit--left--MotionBlurTransform,0.003530572478814948
alias_blur--left--DefocusTransform,0.0035124364700602102
angle_range--right--MotionBlurTransform,0.0034276954545829365
scale--left--MorphologicalTransform,0.003365024367605486
step_factor--left--ZoomBlurTransform,0.003349843068083924
compression_type--CompressionTransform,0.003340098319178182
idx_choice--2,0.0030667576425267382
fill--ShiftScaleRotateTransform,0.0030616814742158217
scale_limit--right--ShiftScaleRotateTransform,0.0030583480090822708
fill--PerspectiveTransform,0.0030259563562257453
num_bits--PosterizeTransform,0.003003913547440371
secondary_distortion_limit--left--ChromaticAberrationTransform,0.002883049490481947
shift_limit--left--ShiftScaleRotateTransform,0.002656003992925864
unit_size_range--right--GridDropoutTransform,0.0025540345248531355
max_factor--right--ZoomBlurTransform,0.0025485454857005086
scale_limit--left--ShiftScaleRotateTransform,0.0025354971235561955
direction_range--left--MotionBlurTransform,0.002411229371085299
r_shift_limit--left--RGBShiftTransform,0.0024008165769386857
max_factor--left--ZoomBlurTransform,0.0022934663938147947
lightness--left--SharpenTransform,0.0022713797305088613
num_holes_range--right--CoarseDropoutTransform,0.0020510374443473748
idx_choice--4,0.0020131712194532887
num_holes_range--left--CoarseDropoutTransform,0.0018353461175138815
unit_size_range--left--GridDropoutTransform,0.0017939502112014883
interpolation--ChromaticAberrationTransform,0.0014584015688746518
distort_limit--left--OpticalDistortionTransform,0.0012980595454121183
brightness_coefficient--RainTransform,0.0010753114309511153
alias_blur--right--DefocusTransform,0.000988840895726772
b_shift_limit--left--RGBShiftTransform,0.0008133011564428011
hole_height_range--left--CoarseDropoutTransform,0.0007661005986604935
allow_shifted--MotionBlurTransform,0.0007382244564837445
threshold_range--right--SolarizeTransform,0.0006217314385182186
quality_range--left--CompressionTransform,0.0005326517571564368
fill--OpticalDistortionTransform,0.0005054952088851772
fill--GridDropoutTransform,0.0003711359589159492
hole_height_range--right--CoarseDropoutTransform,0.0003615484829323186
scale--right--PerspectiveTransform,0.00021763649343604344
