param,value
threshold_range--right--SolarizeTransform,0.022860385000949678
threshold_range--left--SolarizeTransform,0.022324188083638754
val_shift_limit--left--HSVTransform,0.020238274447794417
ratio--GridDropoutTransform,0.01937372842687113
sat_shift_limit--right--HSVTransform,0.01911871946925264
sat_shift_limit--left--HSVTransform,0.01804625995125954
val_shift_limit--right--HSVTransform,0.017346332556443664
allow_shifted--MotionBlurTransform,0.01726511993307829
b_shift_limit--left--RGBShiftTransform,0.016975350483227063
idx_choice--1,0.01684949279013628
by_channels--EqualizeTransform,0.015646070319596302
idx_choice--6,0.015575694868750819
r_shift_limit--left--RGBShiftTransform,0.015540119835090871
b_shift_limit--right--RGBShiftTransform,0.015228379757251708
sigma_limit--right--GaussianBlurTransform,0.015122833431006883
noise_scale_factor--GaussNoiseTransform,0.01502048285880244
hue_shift_limit--left--HSVTransform,0.014945283997761911
slant_range--left--RainTransform,0.013908280795332944
g_shift_limit--right--RGBShiftTransform,0.013860770215445047
r_shift_limit--right--RGBShiftTransform,0.01347709674535777
mode--ChromaticAberrationTransform,0.013468288175456426
idx_choice--5,0.01336079527531165
hue_shift_limit--right--HSVTransform,0.013071101274526818
g_shift_limit--left--RGBShiftTransform,0.0128397861676769
secondary_distortion_limit--right--ChromaticAberrationTransform,0.012500747254293723
drop_width--RainTransform,0.012407159024720863
brightness_limit--right--BrightnessContrastTransform,0.012092095023036507
drop_length--RainTransform,0.012089014970099864
brightness_limit--left--BrightnessContrastTransform,0.01200591295861725
method--SharpenTransform,0.011829710731763329
distort_limit--left--OpticalDistortionTransform,0.011738667696636685
mode--EqualizeTransform,0.011680919840958627
shift_limit--left--ShiftScaleRotateTransform,0.011519517107972194
radius--right--DefocusTransform,0.011160877417458798
elementwise--MultiplicativeNoiseTransform,0.01110775875687466
slant_range--right--RainTransform,0.010916529395717285
distort_limit--right--OpticalDistortionTransform,0.01077667677636895
idx_choice--7,0.010737112405073045
scale--right--PerspectiveTransform,0.01059320441415458
snow_point_range--right--SnowTransform,0.01055353230859756
fill--OpticalDistortionTransform,0.010469432866581618
multiplier--left--MultiplicativeNoiseTransform,0.01039161282058856
fill--GridDropoutTransform,0.0103279760633727
