step,score,params
0,0.01039616203168407,"{'idx_choice--0': 0, 'scale--left--PerspectiveTransform': 95.68602691279195, 'scale--right--PerspectiveTransform': 549.1665671789256, 'fill--PerspectiveTransform': 122, 'idx_choice--1': 9, 'idx_choice--2': 4, 'alpha--left--SharpenTransform': 0.20980643344069164, 'alpha--right--SharpenTransform': 0.3870588493495121, 'lightness--left--SharpenTransform': 1.435168104241456, 'lightness--right--SharpenTransform': 1.7143062850838549, 'method--SharpenTransform': 'kernel', 'idx_choice--3': 2, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 66, 'num_holes_range--right--CoarseDropoutTransform': 73, 'hole_height_range--left--CoarseDropoutTransform': 0.016402608573693547, 'hole_height_range--right--CoarseDropoutTransform': 0.04022739229515975, 'hole_width_range--left--CoarseDropoutTransform': 0.00549374213658703, 'hole_width_range--right--CoarseDropoutTransform': 0.007651328375584718, 'fill--CoarseDropoutTransform': 247, 'idx_choice--5': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 87, 'quality_range--right--CompressionTransform': 98, 'idx_choice--6': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': -0.6970260212351831, 'primary_distortion_limit--right--ChromaticAberrationTransform': -0.48843255129654395, 'secondary_distortion_limit--left--ChromaticAberrationTransform': -0.17712014640340057, 'secondary_distortion_limit--right--ChromaticAberrationTransform': -0.11044153056496445, 'mode--ChromaticAberrationTransform': 'red_blue', 'interpolation--ChromaticAberrationTransform': 0, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 1, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'erosion'}"
1,0.0034952065078687157,"{'idx_choice--0': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.17066254399852682, 'shift_limit--right--ShiftScaleRotateTransform': 0.1868440244959667, 'scale_limit--left--ShiftScaleRotateTransform': 0.6259569538368297, 'scale_limit--right--ShiftScaleRotateTransform': 0.6463672879398529, 'rotate_limit--left--ShiftScaleRotateTransform': -110.78499817500321, 'rotate_limit--right--ShiftScaleRotateTransform': 208.38250337776375, 'fill--ShiftScaleRotateTransform': 117, 'idx_choice--1': 2, 'r_shift_limit--left--RGBShiftTransform': 36.44194873588603, 'r_shift_limit--right--RGBShiftTransform': 41.86267633458459, 'g_shift_limit--left--RGBShiftTransform': 29.854244669185462, 'g_shift_limit--right--RGBShiftTransform': 52.8304732811132, 'b_shift_limit--left--RGBShiftTransform': 21.31400166176877, 'b_shift_limit--right--RGBShiftTransform': 27.1952978056938, 'idx_choice--2': 1, 'blur_limit--GaussianBlurTransform': 23, 'sigma_limit--left--GaussianBlurTransform': 1.9496280914054018, 'sigma_limit--right--GaussianBlurTransform': 1.9845104341240325, 'idx_choice--3': 1, 'multiplier--left--MultiplicativeNoiseTransform': 1.683237775407265, 'multiplier--right--MultiplicativeNoiseTransform': 1.7044379806580032, 'per_channel--MultiplicativeNoiseTransform': True, 'elementwise--MultiplicativeNoiseTransform': True, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 22, 'num_holes_range--right--CoarseDropoutTransform': 84, 'hole_height_range--left--CoarseDropoutTransform': 0.037027131892995335, 'hole_height_range--right--CoarseDropoutTransform': 0.04994450014685568, 'hole_width_range--left--CoarseDropoutTransform': 0.048520073082965944, 'hole_width_range--right--CoarseDropoutTransform': 0.04857829247295163, 'fill--CoarseDropoutTransform': 9, 'idx_choice--5': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 75, 'quality_range--right--CompressionTransform': 83, 'idx_choice--6': 0, 'rain_type--RainTransform': 'torrential', 'slant_range--left--RainTransform': 19.00837723652799, 'slant_range--right--RainTransform': 28.065870109130067, 'drop_length--RainTransform': 9, 'drop_width--RainTransform': 2, 'blur_value--RainTransform': 20, 'brightness_coefficient--RainTransform': 0.6465795771903545, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 1, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'dilation'}"
2,0.28975732419297856,"{'idx_choice--0': 0, 'scale--left--PerspectiveTransform': 401.46075248587215, 'scale--right--PerspectiveTransform': 675.043576211769, 'fill--PerspectiveTransform': 138, 'idx_choice--1': 0, 'brightness_limit--left--BrightnessContrastTransform': 0.04988167318558376, 'brightness_limit--right--BrightnessContrastTransform': 0.13296626675970796, 'contrast_limit--left--BrightnessContrastTransform': 0.02593628823237537, 'contrast_limit--right--BrightnessContrastTransform': 0.10404604846448712, 'idx_choice--2': 4, 'alpha--left--SharpenTransform': 0.7633418327222751, 'alpha--right--SharpenTransform': 0.9289001420862635, 'lightness--left--SharpenTransform': 0.14723516399906525, 'lightness--right--SharpenTransform': 1.7620758616129577, 'method--SharpenTransform': 'gaussian', 'idx_choice--3': 1, 'multiplier--left--MultiplicativeNoiseTransform': 0.9431479434710021, 'multiplier--right--MultiplicativeNoiseTransform': 1.8769022051002227, 'per_channel--MultiplicativeNoiseTransform': False, 'elementwise--MultiplicativeNoiseTransform': True, 'idx_choice--4': 2, 'idx_choice--5': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 21, 'quality_range--right--CompressionTransform': 53, 'idx_choice--6': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': -0.5721410314369356, 'primary_distortion_limit--right--ChromaticAberrationTransform': 0.6258356110716341, 'secondary_distortion_limit--left--ChromaticAberrationTransform': -0.21487612727660932, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.594272944406637, 'mode--ChromaticAberrationTransform': 'green_purple', 'interpolation--ChromaticAberrationTransform': 0, 'idx_choice--7': 1}"
3,0.029941539840583575,"{'idx_choice--0': 1, 'distort_limit--left--OpticalDistortionTransform': -0.2454372577676689, 'distort_limit--right--OpticalDistortionTransform': 1.4524657424382017, 'fill--OpticalDistortionTransform': 200, 'idx_choice--1': 7, 'idx_choice--2': 4, 'alpha--left--SharpenTransform': 0.10187321599492441, 'alpha--right--SharpenTransform': 0.8610528900517381, 'lightness--left--SharpenTransform': 1.0418509591744574, 'lightness--right--SharpenTransform': 1.4793907262368124, 'method--SharpenTransform': 'gaussian', 'idx_choice--3': 1, 'multiplier--left--MultiplicativeNoiseTransform': 1.333665947801471, 'multiplier--right--MultiplicativeNoiseTransform': 1.337046600427689, 'per_channel--MultiplicativeNoiseTransform': True, 'elementwise--MultiplicativeNoiseTransform': True, 'idx_choice--4': 2, 'idx_choice--5': 1, 'scale_range--left--DownscaleTransform': 0.8274144116694828, 'scale_range--right--DownscaleTransform': 0.882525514531235, 'idx_choice--6': 2, 'scale--RainbowTransform': 0.9941762089791126, 'per_channel--RainbowTransform': False, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 1, 'scale--right--MorphologicalTransform': 2, 'operation--MorphologicalTransform': 'erosion'}"
4,0.0170828045939561,"{'idx_choice--0': 3, 'idx_choice--1': 8, 'idx_choice--2': 0, 'blur_limit--left--BlurTransform': 5, 'blur_limit--right--BlurTransform': 10, 'idx_choice--3': 1, 'multiplier--left--MultiplicativeNoiseTransform': 1.0440224833912148, 'multiplier--right--MultiplicativeNoiseTransform': 1.4618064313603047, 'per_channel--MultiplicativeNoiseTransform': True, 'elementwise--MultiplicativeNoiseTransform': False, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 70, 'num_holes_range--right--CoarseDropoutTransform': 71, 'hole_height_range--left--CoarseDropoutTransform': 0.016813075383260854, 'hole_height_range--right--CoarseDropoutTransform': 0.041450921159494586, 'hole_width_range--left--CoarseDropoutTransform': 0.024337830809076023, 'hole_width_range--right--CoarseDropoutTransform': 0.026946176977496374, 'fill--CoarseDropoutTransform': 28, 'idx_choice--5': 1, 'scale_range--left--DownscaleTransform': 0.2805129923580396, 'scale_range--right--DownscaleTransform': 0.8196313162234092, 'idx_choice--6': 1, 'snow_point_range--left--SnowTransform': 0.6239124552670733, 'snow_point_range--right--SnowTransform': 0.6726987857426833, 'brightness_coeff--SnowTransform': 0.9377020954987452, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 5, 'operation--MorphologicalTransform': 'dilation'}"
5,0.06742389648221433,"{'idx_choice--0': 0, 'scale--left--PerspectiveTransform': 497.39349477241325, 'scale--right--PerspectiveTransform': 758.9058122841839, 'fill--PerspectiveTransform': 100, 'idx_choice--1': 1, 'hue_shift_limit--left--HSVTransform': -89.1600006446181, 'hue_shift_limit--right--HSVTransform': 127.81091100373953, 'sat_shift_limit--left--HSVTransform': 141.5779053816065, 'sat_shift_limit--right--HSVTransform': 143.1333601102784, 'val_shift_limit--left--HSVTransform': -30.350283113185036, 'val_shift_limit--right--HSVTransform': 23.464341360550325, 'idx_choice--2': 0, 'blur_limit--left--BlurTransform': 7, 'blur_limit--right--BlurTransform': 9, 'idx_choice--3': 0, 'std_range--left--GaussNoiseTransform': 0.06746252081946459, 'std_range--right--GaussNoiseTransform': 0.18132096218020805, 'mean_range--left--GaussNoiseTransform': 0.19011866234050195, 'mean_range--right--GaussNoiseTransform': 0.19442586007311907, 'per_channel--GaussNoiseTransform': True, 'noise_scale_factor--GaussNoiseTransform': 0.680354648578673, 'idx_choice--4': 2, 'idx_choice--5': 3, 'idx_choice--6': 5, 'max_factor--left--ZoomBlurTransform': 1.0300735043046578, 'max_factor--right--ZoomBlurTransform': 1.0442369986685678, 'step_factor--left--ZoomBlurTransform': 0.047642199531011224, 'step_factor--right--ZoomBlurTransform': 0.04869716871698086, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'dilation'}"
6,0.0009969328673469135,"{'idx_choice--0': 0, 'scale--left--PerspectiveTransform': 106.50188008196601, 'scale--right--PerspectiveTransform': 530.3356530522852, 'fill--PerspectiveTransform': 47, 'idx_choice--1': 6, 'by_channels--EqualizeTransform': True, 'mode--EqualizeTransform': 'cv', 'idx_choice--2': 2, 'blur_limit--left--MedianBlurTransform': 9, 'blur_limit--right--MedianBlurTransform': 10, 'idx_choice--3': 1, 'multiplier--left--MultiplicativeNoiseTransform': 1.736431429214126, 'multiplier--right--MultiplicativeNoiseTransform': 1.9617424747740542, 'per_channel--MultiplicativeNoiseTransform': True, 'elementwise--MultiplicativeNoiseTransform': False, 'idx_choice--4': 1, 'ratio--GridDropoutTransform': 0.021481295572576456, 'unit_size_range--left--GridDropoutTransform': 24, 'unit_size_range--right--GridDropoutTransform': 81, 'fill--GridDropoutTransform': 166, 'idx_choice--5': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 56, 'quality_range--right--CompressionTransform': 71, 'idx_choice--6': 4, 'radius--left--DefocusTransform': 8, 'radius--right--DefocusTransform': 9, 'alias_blur--left--DefocusTransform': 14.071638111222226, 'alias_blur--right--DefocusTransform': 21.97523577102363, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 5, 'operation--MorphologicalTransform': 'erosion'}"
7,0.027312388060381637,"{'idx_choice--0': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.04930270786162397, 'shift_limit--right--ShiftScaleRotateTransform': 0.1432660637365315, 'scale_limit--left--ShiftScaleRotateTransform': 0.24549607862145387, 'scale_limit--right--ShiftScaleRotateTransform': 0.8659754637208585, 'rotate_limit--left--ShiftScaleRotateTransform': -79.520907405571, 'rotate_limit--right--ShiftScaleRotateTransform': 175.8583873842716, 'fill--ShiftScaleRotateTransform': 15, 'idx_choice--1': 1, 'hue_shift_limit--left--HSVTransform': -170.43466667419213, 'hue_shift_limit--right--HSVTransform': 26.92437644112269, 'sat_shift_limit--left--HSVTransform': 171.11240116019616, 'sat_shift_limit--right--HSVTransform': 242.32805279775886, 'val_shift_limit--left--HSVTransform': -34.2095595836979, 'val_shift_limit--right--HSVTransform': 16.32413289567191, 'idx_choice--2': 5, 'alpha--left--EmbossTransform': 0.5280090614833524, 'alpha--right--EmbossTransform': 0.9673664408841274, 'strength--left--EmbossTransform': 0.7934532906141145, 'strength--right--EmbossTransform': 0.9081309880713069, 'idx_choice--3': 2, 'idx_choice--4': 2, 'idx_choice--5': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 55, 'quality_range--right--CompressionTransform': 95, 'idx_choice--6': 2, 'scale--RainbowTransform': 0.971483695505783, 'per_channel--RainbowTransform': False, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'erosion'}"
8,0.0008102255257108481,"{'idx_choice--0': 0, 'scale--left--PerspectiveTransform': 544.3086683806154, 'scale--right--PerspectiveTransform': 570.3312504482203, 'fill--PerspectiveTransform': 234, 'idx_choice--1': 11, 'idx_choice--2': 0, 'blur_limit--left--BlurTransform': 4, 'blur_limit--right--BlurTransform': 10, 'idx_choice--3': 1, 'multiplier--left--MultiplicativeNoiseTransform': 1.7684678577726218, 'multiplier--right--MultiplicativeNoiseTransform': 1.889999612806944, 'per_channel--MultiplicativeNoiseTransform': True, 'elementwise--MultiplicativeNoiseTransform': False, 'idx_choice--4': 1, 'ratio--GridDropoutTransform': 0.27458757189408484, 'unit_size_range--left--GridDropoutTransform': 9, 'unit_size_range--right--GridDropoutTransform': 34, 'fill--GridDropoutTransform': 46, 'idx_choice--5': 1, 'scale_range--left--DownscaleTransform': 0.9684861366836, 'scale_range--right--DownscaleTransform': 0.9753517967260749, 'idx_choice--6': 1, 'snow_point_range--left--SnowTransform': 0.7218402931994754, 'snow_point_range--right--SnowTransform': 0.8831574295941853, 'brightness_coeff--SnowTransform': 0.8498582482764416, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'dilation'}"
9,0.03479058793200238,"{'idx_choice--0': 3, 'idx_choice--1': 1, 'hue_shift_limit--left--HSVTransform': 132.93146444659476, 'hue_shift_limit--right--HSVTransform': 170.14619841113768, 'sat_shift_limit--left--HSVTransform': -183.28019012213161, 'sat_shift_limit--right--HSVTransform': 117.83394975688458, 'val_shift_limit--left--HSVTransform': 13.642860725451015, 'val_shift_limit--right--HSVTransform': 40.544405137286994, 'idx_choice--2': 2, 'blur_limit--left--MedianBlurTransform': 6, 'blur_limit--right--MedianBlurTransform': 7, 'idx_choice--3': 1, 'multiplier--left--MultiplicativeNoiseTransform': 1.7735789316512995, 'multiplier--right--MultiplicativeNoiseTransform': 1.8316769220109763, 'per_channel--MultiplicativeNoiseTransform': True, 'elementwise--MultiplicativeNoiseTransform': False, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 35, 'num_holes_range--right--CoarseDropoutTransform': 51, 'hole_height_range--left--CoarseDropoutTransform': 0.01492272320909763, 'hole_height_range--right--CoarseDropoutTransform': 0.044552764529592, 'hole_width_range--left--CoarseDropoutTransform': 0.006972644328381151, 'hole_width_range--right--CoarseDropoutTransform': 0.026135080060337205, 'fill--CoarseDropoutTransform': 199, 'idx_choice--5': 1, 'scale_range--left--DownscaleTransform': 0.8609196787053686, 'scale_range--right--DownscaleTransform': 0.9104204070572787, 'idx_choice--6': 5, 'max_factor--left--ZoomBlurTransform': 1.0880346437524626, 'max_factor--right--ZoomBlurTransform': 1.0976462570170318, 'step_factor--left--ZoomBlurTransform': 0.01929393803266778, 'step_factor--right--ZoomBlurTransform': 0.024461280478087197, 'idx_choice--7': 1}"
