param,value
contrast_limit--left--BrightnessContrastTransform,0.0272420119801315
brightness_limit--left--BrightnessContrastTransform,0.0272420119801315
contrast_limit--right--BrightnessContrastTransform,0.0272420119801315
g_shift_limit--left--RGBShiftTransform,0.0272420119801315
brightness_limit--right--BrightnessContrastTransform,0.0272420119801315
b_shift_limit--left--RGBShiftTransform,0.027242011980131497
b_shift_limit--right--RGBShiftTransform,0.027242011980131497
g_shift_limit--right--RGBShiftTransform,0.027242011980131497
r_shift_limit--right--RGBShiftTransform,0.027242011980131497
r_shift_limit--left--RGBShiftTransform,0.027242011980131493
sat_shift_limit--right--HSVTransform,0.026106070339631957
val_shift_limit--right--HSVTransform,0.026044618249093255
val_shift_limit--left--HSVTransform,0.024761893369006856
sat_shift_limit--left--HSVTransform,0.024295502060348164
hue_shift_limit--left--HSVTransform,0.024216481531643453
hue_shift_limit--right--HSVTransform,0.020754478887079517
compression_type--CompressionTransform,0.01727737617262201
multiplier--left--MultiplicativeNoiseTransform,0.01599004039104763
num_holes_range--right--CoarseDropoutTransform,0.015392156719589094
idx_choice--6,0.014894468168000894
max_factor--left--ZoomBlurTransform,0.013273282005576008
gamma_limit--left--GammaTransform,0.013161595410798645
idx_choice--2,0.012844724151126462
idx_choice--7,0.01271817417529121
multiplier--right--MultiplicativeNoiseTransform,0.012217931471675976
scale--RainbowTransform,0.01217235299579676
unit_size_range--left--GridDropoutTransform,0.011703435358578528
quality_range--left--CompressionTransform,0.011408878461421504
per_channel--PixelDropoutTransform,0.011029877030835846
mode--EqualizeTransform,0.01091771287832037
snow_point_range--right--SnowTransform,0.010497239653919452
distort_limit--right--OpticalDistortionTransform,0.010278554396529867
gamma_limit--right--GammaTransform,0.010033588143496776
unit_size_range--right--GridDropoutTransform,0.010011619417987753
sigma_limit--left--GaussianBlurTransform,0.009897553261199827
strength--right--EmbossTransform,0.009793894722415377
alpha--right--EmbossTransform,0.009372195721000735
snow_point_range--left--SnowTransform,0.009350216542969646
blur_limit--GaussianBlurTransform,0.009216011586654548
primary_distortion_limit--right--ChromaticAberrationTransform,0.009113011388117567
primary_distortion_limit--left--ChromaticAberrationTransform,0.008943269099643027
sigma_limit--right--GaussianBlurTransform,0.008742754806651026
idx_choice--0,0.00839751608162653
method--SharpenTransform,0.00834886669426221
fill--GridDropoutTransform,0.008347587730541268
rain_type--RainTransform,0.008338353920974415
mode--ChromaticAberrationTransform,0.008093618861062928
drop_width--RainTransform,0.00786926011343482
max_factor--right--ZoomBlurTransform,0.0077922420002324265
drop_length--RainTransform,0.007585825715789018
interpolation--ChromaticAberrationTransform,0.007488503784135777
quality_range--right--CompressionTransform,0.007373559915726881
per_channel--RainbowTransform,0.007317706307021808
radius--left--DefocusTransform,0.00726688497054631
idx_choice--1,0.00725644800892604
num_holes_range--left--CoarseDropoutTransform,0.007143692728647042
per_channel--MultiplicativeNoiseTransform,0.006938033022833637
strength--left--EmbossTransform,0.006250040484494205
ratio--GridDropoutTransform,0.005208669920132919
alpha--left--EmbossTransform,0.005078009124514703
scale--right--MorphologicalTransform,0.00500604976345382
dropout_prob--PixelDropoutTransform,0.004936906065565537
step_factor--right--ZoomBlurTransform,0.004935148460758827
mean_range--right--GaussNoiseTransform,0.004933090062232349
scale_range--right--DownscaleTransform,0.004742753927264539
scale_range--left--DownscaleTransform,0.00469971776847441
noise_scale_factor--GaussNoiseTransform,0.004251435442467091
elementwise--MultiplicativeNoiseTransform,0.0042342792325613145
fill--CoarseDropoutTransform,0.004225322570788908
by_channels--EqualizeTransform,0.004204908378908949
scale--left--PerspectiveTransform,0.004038738911514574
angle_range--left--MotionBlurTransform,0.0037131574774271797
allow_shifted--MotionBlurTransform,0.0037092799019318645
hole_height_range--right--CoarseDropoutTransform,0.003633885055589198
blur_value--RainTransform,0.0036149651529369894
blur_limit--left--BlurTransform,0.0035402960082345706
distort_limit--left--OpticalDistortionTransform,0.003385409297875089
shift_limit--right--ShiftScaleRotateTransform,0.0033720647892080723
blur_limit--right--MotionBlurTransform,0.0033700443443847234
secondary_distortion_limit--right--ChromaticAberrationTransform,0.0030805432270763623
fill--OpticalDistortionTransform,0.002993202443307005
mean_range--left--GaussNoiseTransform,0.0029395135193545593
blur_limit--left--MotionBlurTransform,0.0028948843916988634
idx_choice--4,0.002788769213505282
alpha--right--SharpenTransform,0.002580503899133504
hole_height_range--left--CoarseDropoutTransform,0.002561398332640443
slant_range--right--RainTransform,0.002407010213105193
brightness_coeff--SnowTransform,0.0023768827278162156
hole_width_range--right--CoarseDropoutTransform,0.002375908072713821
rotate_limit--right--ShiftScaleRotateTransform,0.0023460345211430327
scale_limit--right--ShiftScaleRotateTransform,0.002318151755538504
fill--PerspectiveTransform,0.0022856034459512397
alpha--left--SharpenTransform,0.0022684274563385875
scale_limit--left--ShiftScaleRotateTransform,0.0021382037296095884
blur_limit--right--BlurTransform,0.002108330124960072
shift_limit--left--ShiftScaleRotateTransform,0.00203175735926599
num_bits--PosterizeTransform,0.001954001291766473
angle_range--right--MotionBlurTransform,0.0019197736972729426
scale--right--PerspectiveTransform,0.0018105456659537362
lightness--right--SharpenTransform,0.0017501786227548963
idx_choice--5,0.0017181166185237008
step_factor--left--ZoomBlurTransform,0.001675683929403984
lightness--left--SharpenTransform,0.0013916939218774971
scale--left--MorphologicalTransform,0.0013363992057605079
direction_range--right--MotionBlurTransform,0.0013357622943652408
blur_limit--left--MedianBlurTransform,0.0011528500665236112
secondary_distortion_limit--left--ChromaticAberrationTransform,0.0011189214561837216
direction_range--left--MotionBlurTransform,0.001116130513022141
alias_blur--left--DefocusTransform,0.0010824389863686417
idx_choice--3,0.0009769642971463582
std_range--right--GaussNoiseTransform,0.0008942241322898826
fill--ShiftScaleRotateTransform,0.0008885165880849143
threshold_range--left--SolarizeTransform,0.0008157406996128927
rotate_limit--left--ShiftScaleRotateTransform,0.0007469090316272656
brightness_coefficient--RainTransform,0.0007189640265332407
radius--right--DefocusTransform,0.0006877079680873759
operation--MorphologicalTransform,0.0006609875943091464
threshold_range--right--SolarizeTransform,0.0006386899727632563
hole_width_range--left--CoarseDropoutTransform,0.00043551555506364536
slant_range--left--RainTransform,0.0002825183875138896
per_channel--GaussNoiseTransform,0.0002632316581170948
alias_blur--right--DefocusTransform,0.0002397175037311714
std_range--left--GaussNoiseTransform,0.00020307816533826642
blur_limit--right--MedianBlurTransform,0.00019626335098038035
