step,score,params
0,0.5840779637651957,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.07362541513340191, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 1, 'hue_shift_limit--left--HSVTransform': 166.12307215573554, 'hue_shift_limit--right--HSVTransform': 173.68857550043023, 'sat_shift_limit--left--HSVTransform': -104.93961340919031, 'sat_shift_limit--right--HSVTransform': -78.12664375528803, 'val_shift_limit--left--HSVTransform': 28.709068277578282, 'val_shift_limit--right--HSVTransform': 54.73390879303198, 'idx_choice--3': 4, 'alpha--left--SharpenTransform': 0.26548911928562247, 'alpha--right--SharpenTransform': 0.39461275466772516, 'lightness--left--SharpenTransform': 1.6795691575717595, 'lightness--right--SharpenTransform': 1.7483362172766914, 'method--SharpenTransform': 'kernel', 'idx_choice--4': 6, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 6.858434715862714, 'scale--right--PerspectiveTransform': 706.1437677108042, 'fill--PerspectiveTransform': 13, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 96, 'quality_range--right--CompressionTransform': 100, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.3286083415615456, 'unit_size_range--left--GridDropoutTransform': 87, 'unit_size_range--right--GridDropoutTransform': 100, 'fill--GridDropoutTransform': 102}"
1,0.5571366380015856,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 4, 'scale--right--MorphologicalTransform': 5, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.053046992067425504, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 7, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 4, 'blur_limit--right--MedianBlurTransform': 9, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.5072313202432878, 'snow_point_range--right--SnowTransform': 0.6737086809168849, 'brightness_coeff--SnowTransform': 1.5300746315974503, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.09877958165830608, 'shift_limit--right--ShiftScaleRotateTransform': 0.1567861957748694, 'scale_limit--left--ShiftScaleRotateTransform': 0.719375378596921, 'scale_limit--right--ShiftScaleRotateTransform': 0.984157620713348, 'rotate_limit--left--ShiftScaleRotateTransform': -112.70857974552649, 'rotate_limit--right--ShiftScaleRotateTransform': 146.4871473798343, 'fill--ShiftScaleRotateTransform': 234, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.20754666271739167, 'scale_range--right--DownscaleTransform': 0.22527461436309998, 'idx_choice--7': 2}"
2,0.5875545368329594,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.04830487887871045, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 0, 'brightness_limit--left--BrightnessContrastTransform': -0.19706361852478255, 'brightness_limit--right--BrightnessContrastTransform': -0.11192716495739699, 'contrast_limit--left--BrightnessContrastTransform': 0.107690797802663, 'contrast_limit--right--BrightnessContrastTransform': 0.14401266900835447, 'idx_choice--3': 5, 'alpha--left--EmbossTransform': 0.21667729500930524, 'alpha--right--EmbossTransform': 0.8167924051633483, 'strength--left--EmbossTransform': 0.7233768279992312, 'strength--right--EmbossTransform': 0.7928667899456658, 'idx_choice--4': 6, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 7.921992448784454, 'distort_limit--right--OpticalDistortionTransform': 9.367635040264306, 'fill--OpticalDistortionTransform': 239, 'idx_choice--6': 2, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 77, 'num_holes_range--right--CoarseDropoutTransform': 80, 'hole_height_range--left--CoarseDropoutTransform': 0.00729932666225538, 'hole_height_range--right--CoarseDropoutTransform': 0.01678593845771971, 'hole_width_range--left--CoarseDropoutTransform': 0.017721812320893135, 'hole_width_range--right--CoarseDropoutTransform': 0.02990357279907293, 'fill--CoarseDropoutTransform': 108}"
3,0.5470383584491997,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 4, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.07560671518197926, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 7, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 4, 'blur_limit--right--MedianBlurTransform': 5, 'idx_choice--4': 2, 'scale--RainbowTransform': 0.14385731798836376, 'per_channel--RainbowTransform': False, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.10825069277608124, 'shift_limit--right--ShiftScaleRotateTransform': 0.1717895514732251, 'scale_limit--left--ShiftScaleRotateTransform': 0.4851466587922223, 'scale_limit--right--ShiftScaleRotateTransform': 0.9995540467176169, 'rotate_limit--left--ShiftScaleRotateTransform': 124.82631810217748, 'rotate_limit--right--ShiftScaleRotateTransform': 284.97368963015845, 'fill--ShiftScaleRotateTransform': 210, 'idx_choice--6': 2, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 30, 'num_holes_range--right--CoarseDropoutTransform': 47, 'hole_height_range--left--CoarseDropoutTransform': 0.0022315551105187435, 'hole_height_range--right--CoarseDropoutTransform': 0.027986101578136, 'hole_width_range--left--CoarseDropoutTransform': 0.022225814680840093, 'hole_width_range--right--CoarseDropoutTransform': 0.024910009668819094, 'fill--CoarseDropoutTransform': 72}"
4,0.6020792989618626,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 9, 'idx_choice--3': 0, 'blur_limit--left--BlurTransform': 4, 'blur_limit--right--BlurTransform': 7, 'idx_choice--4': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': -0.06891678345040486, 'primary_distortion_limit--right--ChromaticAberrationTransform': 0.2065635086842886, 'secondary_distortion_limit--left--ChromaticAberrationTransform': 0.3551598961084286, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.6410365437951389, 'mode--ChromaticAberrationTransform': 'random', 'interpolation--ChromaticAberrationTransform': 0, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 3.4268216657085024, 'distort_limit--right--OpticalDistortionTransform': 9.686858123731906, 'fill--OpticalDistortionTransform': 52, 'idx_choice--6': 2, 'idx_choice--7': 2}"
5,0.5611637994788041,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.03705049294488636, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 9, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 13, 'blur_limit--right--MotionBlurTransform': 15, 'allow_shifted--MotionBlurTransform': False, 'angle_range--left--MotionBlurTransform': 314.90076353624073, 'angle_range--right--MotionBlurTransform': 343.8116432510715, 'direction_range--left--MotionBlurTransform': -0.09274774813933395, 'direction_range--right--MotionBlurTransform': 0.4333556459428797, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.5084922271356587, 'snow_point_range--right--SnowTransform': 0.8173664259445079, 'brightness_coeff--SnowTransform': 1.2339064884970865, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.1587710557122638, 'shift_limit--right--ShiftScaleRotateTransform': -0.00391246308692908, 'scale_limit--left--ShiftScaleRotateTransform': 0.8580855371326404, 'scale_limit--right--ShiftScaleRotateTransform': 0.9412158517592766, 'rotate_limit--left--ShiftScaleRotateTransform': 199.73946325145266, 'rotate_limit--right--ShiftScaleRotateTransform': 202.45946474091252, 'fill--ShiftScaleRotateTransform': 108, 'idx_choice--6': 2, 'idx_choice--7': 2}"
6,0.6047861090106814,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 2, 'scale--right--MorphologicalTransform': 3, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.04365218913300026, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 9, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 3, 'blur_limit--right--MotionBlurTransform': 4, 'allow_shifted--MotionBlurTransform': True, 'angle_range--left--MotionBlurTransform': 274.70396707100025, 'angle_range--right--MotionBlurTransform': 281.3524709835724, 'direction_range--left--MotionBlurTransform': 0.3545208923024874, 'direction_range--right--MotionBlurTransform': 0.5145502034787599, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.7829911205033924, 'snow_point_range--right--SnowTransform': 0.8814022349482951, 'brightness_coeff--SnowTransform': 1.606130215032731, 'idx_choice--5': 3, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.44366988501778676, 'scale_range--right--DownscaleTransform': 0.8367409424592429, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 92, 'num_holes_range--right--CoarseDropoutTransform': 93, 'hole_height_range--left--CoarseDropoutTransform': 0.042842072803564245, 'hole_height_range--right--CoarseDropoutTransform': 0.049902282048404904, 'hole_width_range--left--CoarseDropoutTransform': 0.03639109018184195, 'hole_width_range--right--CoarseDropoutTransform': 0.049561295898191235, 'fill--CoarseDropoutTransform': 181}"
7,0.5657309026708217,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 2, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.027551818865730028, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 7, 'idx_choice--3': 5, 'alpha--left--EmbossTransform': 0.6809458662057114, 'alpha--right--EmbossTransform': 0.9069438182280583, 'strength--left--EmbossTransform': 0.06525508602337966, 'strength--right--EmbossTransform': 0.8484179835940869, 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0244170730640587, 'max_factor--right--ZoomBlurTransform': 1.037438028635127, 'step_factor--left--ZoomBlurTransform': 0.010674911745341882, 'step_factor--right--ZoomBlurTransform': 0.011554368843366455, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.016969152613196148, 'shift_limit--right--ShiftScaleRotateTransform': 0.08703503214858922, 'scale_limit--left--ShiftScaleRotateTransform': 0.6469724187643507, 'scale_limit--right--ShiftScaleRotateTransform': 0.6756370446171992, 'rotate_limit--left--ShiftScaleRotateTransform': -59.13516730562861, 'rotate_limit--right--ShiftScaleRotateTransform': 332.9533888996528, 'fill--ShiftScaleRotateTransform': 176, 'idx_choice--6': 2, 'idx_choice--7': 2}"
8,0.6030426662244542,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 3, 'gamma_limit--left--GammaTransform': 34.89208889700388, 'gamma_limit--right--GammaTransform': 60.6155274515138, 'idx_choice--3': 6, 'idx_choice--4': 4, 'radius--left--DefocusTransform': 7, 'radius--right--DefocusTransform': 11, 'alias_blur--left--DefocusTransform': 21.580905582018314, 'alias_blur--right--DefocusTransform': 22.35261558038428, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 6.923942080533664, 'distort_limit--right--OpticalDistortionTransform': 7.872850138742017, 'fill--OpticalDistortionTransform': 33, 'idx_choice--6': 2, 'idx_choice--7': 2}"
9,0.7188024871171365,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.0741622840559689, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 6, 'by_channels--EqualizeTransform': True, 'mode--EqualizeTransform': 'cv', 'idx_choice--3': 5, 'alpha--left--EmbossTransform': 0.025852388619967144, 'alpha--right--EmbossTransform': 0.7672132385265066, 'strength--left--EmbossTransform': 0.5366463925244511, 'strength--right--EmbossTransform': 0.9600422990087434, 'idx_choice--4': 2, 'scale--RainbowTransform': 0.8192548152031189, 'per_channel--RainbowTransform': True, 'idx_choice--5': 3, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 24, 'quality_range--right--CompressionTransform': 79, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 38, 'num_holes_range--right--CoarseDropoutTransform': 99, 'hole_height_range--left--CoarseDropoutTransform': 0.006164755659417726, 'hole_height_range--right--CoarseDropoutTransform': 0.014186657520179648, 'hole_width_range--left--CoarseDropoutTransform': 0.012270258214099295, 'hole_width_range--right--CoarseDropoutTransform': 0.041914748535311325, 'fill--CoarseDropoutTransform': 16}"
10,0.7819293689351547,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 4, 'threshold_range--left--SolarizeTransform': 0.9073293064842103, 'threshold_range--right--SolarizeTransform': 0.9185922868529426, 'idx_choice--3': 6, 'idx_choice--4': 0, 'rain_type--RainTransform': 'heavy', 'slant_range--left--RainTransform': 22.16264913533553, 'slant_range--right--RainTransform': 25.388052017246125, 'drop_length--RainTransform': 4, 'drop_width--RainTransform': 1, 'blur_value--RainTransform': 14, 'brightness_coefficient--RainTransform': 0.6072937746578772, 'idx_choice--5': 3, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 12, 'quality_range--right--CompressionTransform': 68, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.03121093429795463, 'unit_size_range--left--GridDropoutTransform': 12, 'unit_size_range--right--GridDropoutTransform': 18, 'fill--GridDropoutTransform': 253}"
11,0.7546076084467044,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 4, 'threshold_range--left--SolarizeTransform': 0.9045522845748039, 'threshold_range--right--SolarizeTransform': 0.912274148707493, 'idx_choice--3': 6, 'idx_choice--4': 0, 'rain_type--RainTransform': 'heavy', 'slant_range--left--RainTransform': 23.398295556627254, 'slant_range--right--RainTransform': 24.85858303234621, 'drop_length--RainTransform': 3, 'drop_width--RainTransform': 1, 'blur_value--RainTransform': 13, 'brightness_coefficient--RainTransform': 0.60125682280404, 'idx_choice--5': 3, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 8, 'quality_range--right--CompressionTransform': 72, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.010431758496011523, 'unit_size_range--left--GridDropoutTransform': 4, 'unit_size_range--right--GridDropoutTransform': 5, 'fill--GridDropoutTransform': 255}"
