param,value
mode--EqualizeTransform,0.028941702617987116
by_channels--EqualizeTransform,0.027559145875278863
drop_length--RainTransform,0.026019353634440655
gamma_limit--right--GammaTransform,0.025996492841896434
gamma_limit--left--GammaTransform,0.025865860363497733
snow_point_range--right--SnowTransform,0.023726240908209646
num_bits--PosterizeTransform,0.021904455170716302
slant_range--right--RainTransform,0.02182753389316653
drop_width--RainTransform,0.020178406104576434
blur_value--RainTransform,0.01977734785318784
slant_range--left--RainTransform,0.018926243569223355
hole_height_range--right--CoarseDropoutTransform,0.016745786273419407
hole_height_range--left--CoarseDropoutTransform,0.015566941887136365
brightness_coefficient--RainTransform,0.01556611094171352
allow_shifted--MotionBlurTransform,0.015033832705954934
rotate_limit--right--ShiftScaleRotateTransform,0.014595409621427106
fill--CoarseDropoutTransform,0.013836857494553418
brightness_limit--right--BrightnessContrastTransform,0.013732074163070608
scale--right--PerspectiveTransform,0.012011631626119776
angle_range--right--MotionBlurTransform,0.011970910244260263
brightness_limit--left--BrightnessContrastTransform,0.011911029834203347
rain_type--RainTransform,0.011531663731668985
scale_range--left--DownscaleTransform,0.011325567981504385
direction_range--right--MotionBlurTransform,0.011283406611344573
r_shift_limit--left--RGBShiftTransform,0.011061311134956876
hole_width_range--right--CoarseDropoutTransform,0.010819606324734748
idx_choice--5,0.010720612699135695
rotate_limit--left--ShiftScaleRotateTransform,0.010540676602747736
idx_choice--1,0.010522698411718372
brightness_coeff--SnowTransform,0.01033466025608949
distort_limit--right--OpticalDistortionTransform,0.010297345216755419
blur_limit--right--MotionBlurTransform,0.010258577352857519
g_shift_limit--right--RGBShiftTransform,0.01019263435342664
compression_type--CompressionTransform,0.010164879640291448
r_shift_limit--right--RGBShiftTransform,0.01013633684872397
fill--ShiftScaleRotateTransform,0.010091234133898683
direction_range--left--MotionBlurTransform,0.009912498644828868
hole_width_range--left--CoarseDropoutTransform,0.00979671256585948
strength--left--EmbossTransform,0.009780959126118276
angle_range--left--MotionBlurTransform,0.009780799498416887
num_holes_range--left--CoarseDropoutTransform,0.009707552937968955
fill--GridDropoutTransform,0.009678572748806425
ratio--GridDropoutTransform,0.009634736344861327
lightness--left--SharpenTransform,0.009585202899804626
idx_choice--4,0.009530991002671345
scale_limit--right--ShiftScaleRotateTransform,0.009479470342672512
idx_choice--6,0.009469092207238336
idx_choice--2,0.009414718977113037
unit_size_range--left--GridDropoutTransform,0.009383317308412499
contrast_limit--right--BrightnessContrastTransform,0.009319008275319248
idx_choice--3,0.009269239609775222
mode--ChromaticAberrationTransform,0.00923440593382809
