param,value
val_shift_limit--left--HSVTransform,0.030220806634034304
val_shift_limit--right--HSVTransform,0.027926154550142725
per_channel--RainbowTransform,0.024109915296223323
brightness_limit--right--BrightnessContrastTransform,0.02198275673211051
idx_choice--2,0.021121477690308515
unit_size_range--left--GridDropoutTransform,0.020522549673285175
compression_type--CompressionTransform,0.020240504384878996
idx_choice--5,0.019077197120552215
idx_choice--4,0.01906849445936801
gamma_limit--right--GammaTransform,0.0179589708611506
r_shift_limit--left--RGBShiftTransform,0.017696476287271893
idx_choice--3,0.017659571971370528
scale--right--MorphologicalTransform,0.017505646560257784
b_shift_limit--left--RGBShiftTransform,0.017490041305979077
hole_width_range--right--CoarseDropoutTransform,0.017173987539278263
threshold_range--left--SolarizeTransform,0.017010195566728913
secondary_distortion_limit--right--ChromaticAberrationTransform,0.01686966369758982
hue_shift_limit--left--HSVTransform,0.01618791855252714
gamma_limit--left--GammaTransform,0.01606350200994524
operation--MorphologicalTransform,0.014946315854058928
dropout_prob--PixelDropoutTransform,0.01466103675987055
mode--ChromaticAberrationTransform,0.013858990745084723
sat_shift_limit--left--HSVTransform,0.01381121635446476
rain_type--RainTransform,0.013710383643375356
num_bits--PosterizeTransform,0.013587228663923109
per_channel--PixelDropoutTransform,0.013549198486322838
unit_size_range--right--GridDropoutTransform,0.013378370173452595
contrast_limit--left--BrightnessContrastTransform,0.01270045103589527
step_factor--right--ZoomBlurTransform,0.012637942671094795
blur_value--RainTransform,0.011993194012654904
hue_shift_limit--right--HSVTransform,0.011963967103405524
scale--left--MorphologicalTransform,0.011929035434837669
idx_choice--6,0.01187155970866425
sigma_limit--left--GaussianBlurTransform,0.01155108387773164
brightness_limit--left--BrightnessContrastTransform,0.011549950978614387
fill--OpticalDistortionTransform,0.011525064940311741
threshold_range--right--SolarizeTransform,0.011464047591556874
secondary_distortion_limit--left--ChromaticAberrationTransform,0.01124491002918056
hole_height_range--left--CoarseDropoutTransform,0.0104089598114385
snow_point_range--right--SnowTransform,0.010368185532733944
hole_width_range--left--CoarseDropoutTransform,0.009950487320881975
direction_range--right--MotionBlurTransform,0.009915399791961522
allow_shifted--MotionBlurTransform,0.009398564009378128
blur_limit--right--MedianBlurTransform,0.009222016341291162
brightness_coeff--SnowTransform,0.009172788585608781
blur_limit--left--BlurTransform,0.008763355404103544
max_factor--right--ZoomBlurTransform,0.008532159674287972
contrast_limit--right--BrightnessContrastTransform,0.00841206781608728
direction_range--left--MotionBlurTransform,0.008265001743219763
radius--left--DefocusTransform,0.008180863553934133
fill--PerspectiveTransform,0.00814013452165109
g_shift_limit--right--RGBShiftTransform,0.008099134671609089
num_holes_range--left--CoarseDropoutTransform,0.007884836812745136
radius--right--DefocusTransform,0.007786877370608035
fill--CoarseDropoutTransform,0.007772030392567292
step_factor--left--ZoomBlurTransform,0.0077040954685541315
sat_shift_limit--right--HSVTransform,0.007694491582425968
snow_point_range--left--SnowTransform,0.007213655039491242
distort_limit--left--OpticalDistortionTransform,0.0071596029251927195
scale_limit--right--ShiftScaleRotateTransform,0.0070673924332302586
quality_range--right--CompressionTransform,0.007064935762753991
interpolation--ChromaticAberrationTransform,0.007064591223733237
slant_range--left--RainTransform,0.006477750782217958
angle_range--left--MotionBlurTransform,0.006397972394353079
fill--GridDropoutTransform,0.006182248874138053
blur_limit--right--BlurTransform,0.006147701102928771
blur_limit--right--MotionBlurTransform,0.00579629434289875
alpha--left--EmbossTransform,0.005752574813161064
scale--left--PerspectiveTransform,0.00568196276721722
lightness--left--SharpenTransform,0.005659460795829207
drop_width--RainTransform,0.005649655413740967
num_holes_range--right--CoarseDropoutTransform,0.005579935779114909
b_shift_limit--right--RGBShiftTransform,0.005373716634069237
quality_range--left--CompressionTransform,0.005315430254264011
fill--ShiftScaleRotateTransform,0.005069894645221364
ratio--GridDropoutTransform,0.004893458937310086
drop_length--RainTransform,0.004861966037659659
alpha--right--SharpenTransform,0.004762120967601223
max_factor--left--ZoomBlurTransform,0.004747804721100035
r_shift_limit--right--RGBShiftTransform,0.004704699318982998
mode--EqualizeTransform,0.004191719236940625
method--SharpenTransform,0.004139911214292058
rotate_limit--right--ShiftScaleRotateTransform,0.004005834449302306
alias_blur--right--DefocusTransform,0.0039997256168675
distort_limit--right--OpticalDistortionTransform,0.003834656218763729
slant_range--right--RainTransform,0.003778145105949154
lightness--right--SharpenTransform,0.003777354496356043
shift_limit--left--ShiftScaleRotateTransform,0.0037653881497436157
scale_limit--left--ShiftScaleRotateTransform,0.003672118694481586
scale_range--left--DownscaleTransform,0.0032953895973334597
angle_range--right--MotionBlurTransform,0.003291120396709001
rotate_limit--left--ShiftScaleRotateTransform,0.0031498081050401576
g_shift_limit--left--RGBShiftTransform,0.0031178456039256935
sigma_limit--right--GaussianBlurTransform,0.0030241376934714457
alias_blur--left--DefocusTransform,0.0028512265324534573
hole_height_range--right--CoarseDropoutTransform,0.0028496998244278257
idx_choice--1,0.0027479404547210515
scale--right--PerspectiveTransform,0.002430012232056808
shift_limit--right--ShiftScaleRotateTransform,0.002405825281884501
alpha--left--SharpenTransform,0.0022991329274215434
idx_choice--0,0.001771189786824175
idx_choice--7,0.001697950009338241
blur_limit--left--MedianBlurTransform,0.0015802262340875468
alpha--right--EmbossTransform,0.0015505988147603129
scale_range--right--DownscaleTransform,0.0015434468253900664
strength--right--EmbossTransform,0.0014374332700378268
scale--RainbowTransform,0.00133220386222113
by_channels--EqualizeTransform,0.001065428455739457
blur_limit--left--MotionBlurTransform,0.0009668123455008097
brightness_coefficient--RainTransform,0.0008215715301784555
strength--left--EmbossTransform,0.0007533837055861982
primary_distortion_limit--right--ChromaticAberrationTransform,0.0003919000304903215
