step,score,params
0,0.2939763744186729,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 7, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 4, 'blur_limit--right--MedianBlurTransform': 5, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.5586792581651092, 'snow_point_range--right--SnowTransform': 0.8791445226883231, 'brightness_coeff--SnowTransform': 1.3782344584985378, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.10195894246030836, 'shift_limit--right--ShiftScaleRotateTransform': 0.0779034346750377, 'scale_limit--left--ShiftScaleRotateTransform': 0.9881458486488404, 'scale_limit--right--ShiftScaleRotateTransform': 0.9994157982914103, 'rotate_limit--left--ShiftScaleRotateTransform': 208.71876353210632, 'rotate_limit--right--ShiftScaleRotateTransform': 246.28435437912012, 'fill--ShiftScaleRotateTransform': 112, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.4058709541311646, 'scale_range--right--DownscaleTransform': 0.8282975782054819, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 64, 'num_holes_range--right--CoarseDropoutTransform': 99, 'hole_height_range--left--CoarseDropoutTransform': 0.040947444167992106, 'hole_height_range--right--CoarseDropoutTransform': 0.04865100467373084, 'hole_width_range--left--CoarseDropoutTransform': 0.029079693414651418, 'hole_width_range--right--CoarseDropoutTransform': 0.038402114283230024, 'fill--CoarseDropoutTransform': 92}"
1,0.45294763445434955,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 1, 'idx_choice--2': 8, 'idx_choice--3': 4, 'alpha--left--SharpenTransform': 0.5022686021177752, 'alpha--right--SharpenTransform': 0.6751748542139412, 'lightness--left--SharpenTransform': 0.0792222534308407, 'lightness--right--SharpenTransform': 1.3653029350517267, 'method--SharpenTransform': 'gaussian', 'idx_choice--4': 0, 'rain_type--RainTransform': 'drizzle', 'slant_range--left--RainTransform': 11.928413064161447, 'slant_range--right--RainTransform': 33.2921260725605, 'drop_length--RainTransform': 9, 'drop_width--RainTransform': 2, 'blur_value--RainTransform': 21, 'brightness_coefficient--RainTransform': 0.981332485926598, 'idx_choice--5': 3, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 72, 'quality_range--right--CompressionTransform': 100, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.06280119301750382, 'unit_size_range--left--GridDropoutTransform': 32, 'unit_size_range--right--GridDropoutTransform': 59, 'fill--GridDropoutTransform': 35}"
2,0.30373093203646323,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 2, 'scale--right--MorphologicalTransform': 3, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.07724142560903234, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 7, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 7, 'blur_limit--right--MedianBlurTransform': 9, 'idx_choice--4': 4, 'radius--left--DefocusTransform': 3, 'radius--right--DefocusTransform': 10, 'alias_blur--left--DefocusTransform': 0.6414015532741136, 'alias_blur--right--DefocusTransform': 10.943796545600668, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.021943529046413557, 'shift_limit--right--ShiftScaleRotateTransform': 0.10673469664495393, 'scale_limit--left--ShiftScaleRotateTransform': 0.9425906515189573, 'scale_limit--right--ShiftScaleRotateTransform': 0.9635659323106539, 'rotate_limit--left--ShiftScaleRotateTransform': -299.54491465702716, 'rotate_limit--right--ShiftScaleRotateTransform': 313.33971898154476, 'fill--ShiftScaleRotateTransform': 134, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 17, 'quality_range--right--CompressionTransform': 40, 'idx_choice--7': 2}"
3,0.4321733875094651,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 1, 'scale--right--MorphologicalTransform': 3, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.08134952952811157, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 11, 'idx_choice--3': 4, 'alpha--left--SharpenTransform': 0.045158555974733366, 'alpha--right--SharpenTransform': 0.09780154295388706, 'lightness--left--SharpenTransform': 1.063495852055589, 'lightness--right--SharpenTransform': 1.4470985652717696, 'method--SharpenTransform': 'gaussian', 'idx_choice--4': 4, 'radius--left--DefocusTransform': 1, 'radius--right--DefocusTransform': 8, 'alias_blur--left--DefocusTransform': 18.722877007153183, 'alias_blur--right--DefocusTransform': 20.590450168120945, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 201.6545442026882, 'scale--right--PerspectiveTransform': 734.5776628575071, 'fill--PerspectiveTransform': 176, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.83108913964391, 'scale_range--right--DownscaleTransform': 0.9179007229428615, 'idx_choice--7': 2}"
4,0.3683290458870293,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 1, 'idx_choice--2': 7, 'idx_choice--3': 6, 'idx_choice--4': 2, 'scale--RainbowTransform': 0.11194005862620338, 'per_channel--RainbowTransform': True, 'idx_choice--5': 3, 'idx_choice--6': 2, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.2434413755196582, 'unit_size_range--left--GridDropoutTransform': 70, 'unit_size_range--right--GridDropoutTransform': 87, 'fill--GridDropoutTransform': 200}"
5,0.38685803619353554,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.02139529502844977, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 7, 'idx_choice--3': 1, 'blur_limit--GaussianBlurTransform': 2, 'sigma_limit--left--GaussianBlurTransform': 0.10518360311747121, 'sigma_limit--right--GaussianBlurTransform': 0.6601961965062646, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.8772447609407819, 'snow_point_range--right--SnowTransform': 0.890188915303483, 'brightness_coeff--SnowTransform': 1.508604981917209, 'idx_choice--5': 3, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.3641298802063746, 'scale_range--right--DownscaleTransform': 0.6092984390160392, 'idx_choice--7': 2}"
6,0.3547730566381125,"{'idx_choice--0': 1, 'idx_choice--1': 1, 'idx_choice--2': 11, 'idx_choice--3': 2, 'blur_limit--left--MedianBlurTransform': 3, 'blur_limit--right--MedianBlurTransform': 5, 'idx_choice--4': 2, 'scale--RainbowTransform': 0.5683622633180778, 'per_channel--RainbowTransform': True, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 7.345882975859561, 'distort_limit--right--OpticalDistortionTransform': 7.889910232866878, 'fill--OpticalDistortionTransform': 162, 'idx_choice--6': 2, 'idx_choice--7': 2}"
7,0.25920247040440225,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.060798446103313364, 'per_channel--PixelDropoutTransform': True, 'idx_choice--2': 7, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 7, 'blur_limit--right--MotionBlurTransform': 8, 'allow_shifted--MotionBlurTransform': False, 'angle_range--left--MotionBlurTransform': 65.50920833433425, 'angle_range--right--MotionBlurTransform': 165.0078783579666, 'direction_range--left--MotionBlurTransform': -0.3684949690435646, 'direction_range--right--MotionBlurTransform': 0.08164482416996333, 'idx_choice--4': 1, 'snow_point_range--left--SnowTransform': 0.5490232634724588, 'snow_point_range--right--SnowTransform': 0.8279801656023469, 'brightness_coeff--SnowTransform': 1.6971178062762786, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.10554366194101104, 'shift_limit--right--ShiftScaleRotateTransform': 0.09446452780658256, 'scale_limit--left--ShiftScaleRotateTransform': 0.4766437018210104, 'scale_limit--right--ShiftScaleRotateTransform': 0.9709031658020411, 'rotate_limit--left--ShiftScaleRotateTransform': 289.9830779546635, 'rotate_limit--right--ShiftScaleRotateTransform': 298.53200325763095, 'fill--ShiftScaleRotateTransform': 159, 'idx_choice--6': 2, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 37, 'num_holes_range--right--CoarseDropoutTransform': 79, 'hole_height_range--left--CoarseDropoutTransform': 0.042051151026388414, 'hole_height_range--right--CoarseDropoutTransform': 0.04608060214269056, 'hole_width_range--left--CoarseDropoutTransform': 0.04474564209214705, 'hole_width_range--right--CoarseDropoutTransform': 0.0465566979214997, 'fill--CoarseDropoutTransform': 24}"
8,0.34310730998974276,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 4, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.05565221885811703, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 9, 'idx_choice--3': 6, 'idx_choice--4': 4, 'radius--left--DefocusTransform': 8, 'radius--right--DefocusTransform': 11, 'alias_blur--left--DefocusTransform': 16.379642602371945, 'alias_blur--right--DefocusTransform': 20.231568077356002, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': 8.223852466457254, 'distort_limit--right--OpticalDistortionTransform': 8.5635000896298, 'fill--OpticalDistortionTransform': 34, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.9007673337967192, 'scale_range--right--DownscaleTransform': 0.993912862237002, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.29914469984455405, 'unit_size_range--left--GridDropoutTransform': 55, 'unit_size_range--right--GridDropoutTransform': 78, 'fill--GridDropoutTransform': 36}"
9,0.4274149475379437,"{'idx_choice--0': 1, 'idx_choice--1': 0, 'dropout_prob--PixelDropoutTransform': 0.05867573341512954, 'per_channel--PixelDropoutTransform': False, 'idx_choice--2': 9, 'idx_choice--3': 6, 'idx_choice--4': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': -0.3330582467183451, 'primary_distortion_limit--right--ChromaticAberrationTransform': 0.07432650539592528, 'secondary_distortion_limit--left--ChromaticAberrationTransform': 0.3186229093447097, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.6224758697021969, 'mode--ChromaticAberrationTransform': 'green_purple', 'interpolation--ChromaticAberrationTransform': 1, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 872.3253617515469, 'scale--right--PerspectiveTransform': 879.361717436213, 'fill--PerspectiveTransform': 242, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 59, 'quality_range--right--CompressionTransform': 95, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.202937187193886, 'unit_size_range--left--GridDropoutTransform': 5, 'unit_size_range--right--GridDropoutTransform': 50, 'fill--GridDropoutTransform': 119}"
10,0.41867863728233107,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 1, 'idx_choice--2': 2, 'r_shift_limit--left--RGBShiftTransform': -24.12265210637051, 'r_shift_limit--right--RGBShiftTransform': 43.69117138583354, 'g_shift_limit--left--RGBShiftTransform': -37.80383514452762, 'g_shift_limit--right--RGBShiftTransform': 61.19060267120737, 'b_shift_limit--left--RGBShiftTransform': -12.668508869483452, 'b_shift_limit--right--RGBShiftTransform': -7.349412715990603, 'idx_choice--3': 4, 'alpha--left--SharpenTransform': 0.6810424002076059, 'alpha--right--SharpenTransform': 0.7536314804267781, 'lightness--left--SharpenTransform': 0.038308553525182365, 'lightness--right--SharpenTransform': 0.4861525811412941, 'method--SharpenTransform': 'gaussian', 'idx_choice--4': 6, 'idx_choice--5': 3, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 82, 'quality_range--right--CompressionTransform': 100, 'idx_choice--7': 1, 'ratio--GridDropoutTransform': 0.026081720125445726, 'unit_size_range--left--GridDropoutTransform': 10, 'unit_size_range--right--GridDropoutTransform': 25, 'fill--GridDropoutTransform': 1}"
11,0.4254291608409143,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 1, 'scale--right--MorphologicalTransform': 2, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 1, 'idx_choice--2': 11, 'idx_choice--3': 4, 'alpha--left--SharpenTransform': 0.01673595565380966, 'alpha--right--SharpenTransform': 0.027115501746327125, 'lightness--left--SharpenTransform': 1.19267683292605, 'lightness--right--SharpenTransform': 1.4591357622565555, 'method--SharpenTransform': 'gaussian', 'idx_choice--4': 5, 'max_factor--left--ZoomBlurTransform': 1.0875260384647158, 'max_factor--right--ZoomBlurTransform': 1.0976744869104342, 'step_factor--left--ZoomBlurTransform': 0.0008363307040053503, 'step_factor--right--ZoomBlurTransform': 0.0012775693603956292, 'idx_choice--5': 0, 'scale--left--PerspectiveTransform': 31.45307837812507, 'scale--right--PerspectiveTransform': 650.7785481899188, 'fill--PerspectiveTransform': 106, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 90, 'quality_range--right--CompressionTransform': 100, 'idx_choice--7': 2}"
12,0.44521324328200407,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 1, 'idx_choice--2': 4, 'threshold_range--left--SolarizeTransform': 0.8624470926993419, 'threshold_range--right--SolarizeTransform': 0.9398451080812767, 'idx_choice--3': 4, 'alpha--left--SharpenTransform': 0.38974297261331003, 'alpha--right--SharpenTransform': 0.6356010348551904, 'lightness--left--SharpenTransform': 0.46970380731361594, 'lightness--right--SharpenTransform': 1.5193540816715685, 'method--SharpenTransform': 'kernel', 'idx_choice--4': 0, 'rain_type--RainTransform': 'drizzle', 'slant_range--left--RainTransform': 14.296599687946946, 'slant_range--right--RainTransform': 34.083158161971554, 'drop_length--RainTransform': 8, 'drop_width--RainTransform': 2, 'blur_value--RainTransform': 22, 'brightness_coefficient--RainTransform': 0.9827410399392355, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': -0.2186659381172653, 'distort_limit--right--OpticalDistortionTransform': -0.08961372797800404, 'fill--OpticalDistortionTransform': 253, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.8722144922375488, 'scale_range--right--DownscaleTransform': 0.9292729810483981, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 97, 'num_holes_range--right--CoarseDropoutTransform': 100, 'hole_height_range--left--CoarseDropoutTransform': 0.0003554960548614247, 'hole_height_range--right--CoarseDropoutTransform': 0.0007872251453021444, 'hole_width_range--left--CoarseDropoutTransform': 0.001527052108912113, 'hole_width_range--right--CoarseDropoutTransform': 0.0030507326270476885, 'fill--CoarseDropoutTransform': 251}"
13,0.44293281284171826,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'erosion', 'idx_choice--1': 1, 'idx_choice--2': 3, 'gamma_limit--left--GammaTransform': 134.67626211661445, 'gamma_limit--right--GammaTransform': 234.37836353280238, 'idx_choice--3': 5, 'alpha--left--EmbossTransform': 0.42201641598557105, 'alpha--right--EmbossTransform': 0.9235695289695869, 'strength--left--EmbossTransform': 0.714720945578952, 'strength--right--EmbossTransform': 0.9420915929798386, 'idx_choice--4': 0, 'rain_type--RainTransform': 'drizzle', 'slant_range--left--RainTransform': 12.565755309454236, 'slant_range--right--RainTransform': 33.11867153514531, 'drop_length--RainTransform': 8, 'drop_width--RainTransform': 2, 'blur_value--RainTransform': 22, 'brightness_coefficient--RainTransform': 0.9909496338473978, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': -0.2846261936579801, 'distort_limit--right--OpticalDistortionTransform': 0.07701122103686231, 'fill--OpticalDistortionTransform': 241, 'idx_choice--6': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 42, 'quality_range--right--CompressionTransform': 72, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 98, 'num_holes_range--right--CoarseDropoutTransform': 100, 'hole_height_range--left--CoarseDropoutTransform': 0.0017873479308138812, 'hole_height_range--right--CoarseDropoutTransform': 0.00198973352575358, 'hole_width_range--left--CoarseDropoutTransform': 8.900505550538812e-05, 'hole_width_range--right--CoarseDropoutTransform': 0.0005579274550038542, 'fill--CoarseDropoutTransform': 249}"
14,0.34974777744294744,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 4, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 1, 'idx_choice--2': 4, 'threshold_range--left--SolarizeTransform': 0.8570237266074232, 'threshold_range--right--SolarizeTransform': 0.9405483385172779, 'idx_choice--3': 3, 'blur_limit--left--MotionBlurTransform': 13, 'blur_limit--right--MotionBlurTransform': 15, 'allow_shifted--MotionBlurTransform': True, 'angle_range--left--MotionBlurTransform': 359.3255620192525, 'angle_range--right--MotionBlurTransform': 359.50482842841865, 'direction_range--left--MotionBlurTransform': 0.9694279314431475, 'direction_range--right--MotionBlurTransform': 0.9965330645521048, 'idx_choice--4': 0, 'rain_type--RainTransform': 'drizzle', 'slant_range--left--RainTransform': 13.454279708947798, 'slant_range--right--RainTransform': 34.29272022978707, 'drop_length--RainTransform': 8, 'drop_width--RainTransform': 2, 'blur_value--RainTransform': 22, 'brightness_coefficient--RainTransform': 0.9845973016351349, 'idx_choice--5': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.1903094300263661, 'shift_limit--right--ShiftScaleRotateTransform': 0.19876349171915464, 'scale_limit--left--ShiftScaleRotateTransform': 0.06331088941268959, 'scale_limit--right--ShiftScaleRotateTransform': 0.10554454847506223, 'rotate_limit--left--ShiftScaleRotateTransform': -328.92507417259725, 'rotate_limit--right--ShiftScaleRotateTransform': -324.4174141630716, 'fill--ShiftScaleRotateTransform': 15, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.6756902809823346, 'scale_range--right--DownscaleTransform': 0.8294193880085731, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 5, 'num_holes_range--right--CoarseDropoutTransform': 8, 'hole_height_range--left--CoarseDropoutTransform': 0.0029970251413430245, 'hole_height_range--right--CoarseDropoutTransform': 0.004318906641946911, 'hole_width_range--left--CoarseDropoutTransform': 0.000824806639943481, 'hole_width_range--right--CoarseDropoutTransform': 0.0013121883554746843, 'fill--CoarseDropoutTransform': 253}"
15,0.3793879653905952,"{'idx_choice--0': 0, 'scale--left--MorphologicalTransform': 4, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'dilation', 'idx_choice--1': 1, 'idx_choice--2': 0, 'brightness_limit--left--BrightnessContrastTransform': -0.049078242097619434, 'brightness_limit--right--BrightnessContrastTransform': -0.015060892941552481, 'contrast_limit--left--BrightnessContrastTransform': -0.020288195678139435, 'contrast_limit--right--BrightnessContrastTransform': 0.06756764474216717, 'idx_choice--3': 5, 'alpha--left--EmbossTransform': 0.009783140813464652, 'alpha--right--EmbossTransform': 0.1304713365763796, 'strength--left--EmbossTransform': 0.10767935155720632, 'strength--right--EmbossTransform': 0.11138993928603524, 'idx_choice--4': 0, 'rain_type--RainTransform': 'torrential', 'slant_range--left--RainTransform': 38.2658625536698, 'slant_range--right--RainTransform': 39.257273782876545, 'drop_length--RainTransform': 19, 'drop_width--RainTransform': 2, 'blur_value--RainTransform': 17, 'brightness_coefficient--RainTransform': 0.8480779913982757, 'idx_choice--5': 1, 'distort_limit--left--OpticalDistortionTransform': -0.3913452333648836, 'distort_limit--right--OpticalDistortionTransform': -0.31532301335196755, 'fill--OpticalDistortionTransform': 246, 'idx_choice--6': 1, 'scale_range--left--DownscaleTransform': 0.9686646614656355, 'scale_range--right--DownscaleTransform': 0.9850633650355101, 'idx_choice--7': 0, 'num_holes_range--left--CoarseDropoutTransform': 95, 'num_holes_range--right--CoarseDropoutTransform': 98, 'hole_height_range--left--CoarseDropoutTransform': 0.021745224283312617, 'hole_height_range--right--CoarseDropoutTransform': 0.028839629273751034, 'hole_width_range--left--CoarseDropoutTransform': 0.016883880787972563, 'hole_width_range--right--CoarseDropoutTransform': 0.02464459302527847, 'fill--CoarseDropoutTransform': 163}"
