param,value
r_shift_limit--left--RGBShiftTransform,0.05507129391321561
r_shift_limit--right--RGBShiftTransform,0.05239897841427959
by_channels--EqualizeTransform,0.05209930622093497
mode--EqualizeTransform,0.051554596886478454
strength--left--EmbossTransform,0.04540711583363583
per_channel--GaussNoiseTransform,0.04194503114904071
mean_range--left--GaussNoiseTransform,0.041548673753398976
brightness_limit--left--BrightnessContrastTransform,0.04115284326918028
strength--right--EmbossTransform,0.037319769491632376
mean_range--right--GaussNoiseTransform,0.0370169142785765
idx_choice--2,0.036691587668224335
brightness_limit--right--BrightnessContrastTransform,0.033986097118036955
gamma_limit--right--GammaTransform,0.03309931639956331
contrast_limit--left--BrightnessContrastTransform,0.03137508705788319
gamma_limit--left--GammaTransform,0.029114291424088435
sat_shift_limit--right--HSVTransform,0.027330854495774815
val_shift_limit--right--HSVTransform,0.025962673650848395
idx_choice--0,0.02558488648422865
contrast_limit--right--BrightnessContrastTransform,0.022479114549487613
val_shift_limit--left--HSVTransform,0.022015542623532766
idx_choice--1,0.021272985933645325
g_shift_limit--left--RGBShiftTransform,0.021108550120623366
hue_shift_limit--left--HSVTransform,0.020806929540517598
num_bits--PosterizeTransform,0.02058268478469935
g_shift_limit--right--RGBShiftTransform,0.017934347499940786
alpha--left--EmbossTransform,0.017655052406854558
per_channel--RainbowTransform,0.017620135640405977
std_range--right--GaussNoiseTransform,0.017473681318791474
hue_shift_limit--right--HSVTransform,0.01729591650641907
sat_shift_limit--left--HSVTransform,0.015750486152182577
scale--RainbowTransform,0.015260282594684529
std_range--left--GaussNoiseTransform,0.014133217511657756
alpha--right--EmbossTransform,0.013377424563829
blur_limit--left--BlurTransform,0.011942220486291686
b_shift_limit--left--RGBShiftTransform,0.0068766978841164695
b_shift_limit--right--RGBShiftTransform,0.006053697477031965
blur_limit--right--BlurTransform,0.0017017148962667258
