step,score,params
0,0.005155814231329714,"{'idx_choice--0': 1, 'idx_choice--1': 2, 'r_shift_limit--left--RGBShiftTransform': 35.61711239735652, 'r_shift_limit--right--RGBShiftTransform': 67.61508335747612, 'g_shift_limit--left--RGBShiftTransform': -69.7471072013771, 'g_shift_limit--right--RGBShiftTransform': 10.499304803069734, 'b_shift_limit--left--RGBShiftTransform': -66.5352364692042, 'b_shift_limit--right--RGBShiftTransform': -64.2415740819877, 'idx_choice--2': 2, 'blur_limit--left--BlurTransform': 5, 'blur_limit--right--BlurTransform': 6}"
1,0.026032405310182923,"{'idx_choice--0': 0, 'std_range--left--GaussNoiseTransform': 0.051269589063322976, 'std_range--right--GaussNoiseTransform': 0.09550229592341894, 'mean_range--left--GaussNoiseTransform': 0.08400659747246281, 'mean_range--right--GaussNoiseTransform': 0.0985515074161815, 'per_channel--GaussNoiseTransform': False, 'idx_choice--1': 1, 'hue_shift_limit--left--HSVTransform': 146.7675660376438, 'hue_shift_limit--right--HSVTransform': 158.32004619431265, 'sat_shift_limit--left--HSVTransform': 203.73981834832563, 'sat_shift_limit--right--HSVTransform': 219.975230976908, 'val_shift_limit--left--HSVTransform': -52.2685818732719, 'val_shift_limit--right--HSVTransform': 35.751882728070385, 'idx_choice--2': 0, 'alpha--left--EmbossTransform': 0.1689500974216339, 'alpha--right--EmbossTransform': 0.35809545186210856, 'strength--left--EmbossTransform': 0.4149808383160161, 'strength--right--EmbossTransform': 0.4484447434033931}"
2,0.0008179041161340484,"{'idx_choice--0': 0, 'std_range--left--GaussNoiseTransform': 0.0581989466952241, 'std_range--right--GaussNoiseTransform': 0.08241717806577178, 'mean_range--left--GaussNoiseTransform': -0.02061676023456438, 'mean_range--right--GaussNoiseTransform': 0.047408509818140515, 'per_channel--GaussNoiseTransform': True, 'idx_choice--1': 2, 'r_shift_limit--left--RGBShiftTransform': -79.36135455942811, 'r_shift_limit--right--RGBShiftTransform': 43.837038610138364, 'g_shift_limit--left--RGBShiftTransform': -6.675502303812493, 'g_shift_limit--right--RGBShiftTransform': 31.2561790522422, 'b_shift_limit--left--RGBShiftTransform': 21.691464128439833, 'b_shift_limit--right--RGBShiftTransform': 42.66470656355949, 'idx_choice--2': 2, 'blur_limit--left--BlurTransform': 5, 'blur_limit--right--BlurTransform': 6}"
3,0.004709865844883357,"{'idx_choice--0': 0, 'std_range--left--GaussNoiseTransform': 0.058763328744694705, 'std_range--right--GaussNoiseTransform': 0.09643535261239608, 'mean_range--left--GaussNoiseTransform': 0.056637511291235454, 'mean_range--right--GaussNoiseTransform': 0.07079014597327997, 'per_channel--GaussNoiseTransform': False, 'idx_choice--1': 1, 'hue_shift_limit--left--HSVTransform': 39.77992594056988, 'hue_shift_limit--right--HSVTransform': 126.51749046778936, 'sat_shift_limit--left--HSVTransform': 27.12219490721384, 'sat_shift_limit--right--HSVTransform': 165.18985499758162, 'val_shift_limit--left--HSVTransform': -13.166327916092541, 'val_shift_limit--right--HSVTransform': 26.75190664163639, 'idx_choice--2': 3}"
4,0.0033814044601015105,"{'idx_choice--0': 0, 'std_range--left--GaussNoiseTransform': 0.07019260062861116, 'std_range--right--GaussNoiseTransform': 0.09996663483443761, 'mean_range--left--GaussNoiseTransform': -0.06013793729840457, 'mean_range--right--GaussNoiseTransform': -0.004736512520673433, 'per_channel--GaussNoiseTransform': False, 'idx_choice--1': 2, 'r_shift_limit--left--RGBShiftTransform': -36.598413070442334, 'r_shift_limit--right--RGBShiftTransform': -36.51236257674924, 'g_shift_limit--left--RGBShiftTransform': 79.06223394197255, 'g_shift_limit--right--RGBShiftTransform': 79.92694492232708, 'b_shift_limit--left--RGBShiftTransform': 71.03655522803786, 'b_shift_limit--right--RGBShiftTransform': 76.01637898340523, 'idx_choice--2': 3}"
5,0.0031394442873230823,"{'idx_choice--0': 1, 'idx_choice--1': 2, 'r_shift_limit--left--RGBShiftTransform': -38.42203658521458, 'r_shift_limit--right--RGBShiftTransform': 57.2196904161077, 'g_shift_limit--left--RGBShiftTransform': -31.06646682174201, 'g_shift_limit--right--RGBShiftTransform': 54.19372443337943, 'b_shift_limit--left--RGBShiftTransform': -57.951488242199645, 'b_shift_limit--right--RGBShiftTransform': -43.863853574966846, 'idx_choice--2': 1, 'num_bits--PosterizeTransform': 7}"
6,0.016369923705670295,"{'idx_choice--0': 1, 'idx_choice--1': 8, 'scale--RainbowTransform': 0.49274077804824945, 'per_channel--RainbowTransform': True, 'idx_choice--2': 3}"
7,0.0024458709499629635,"{'idx_choice--0': 0, 'std_range--left--GaussNoiseTransform': 0.04013779231081048, 'std_range--right--GaussNoiseTransform': 0.07000359203012206, 'mean_range--left--GaussNoiseTransform': -0.0521409006636938, 'mean_range--right--GaussNoiseTransform': -0.04105941973325411, 'per_channel--GaussNoiseTransform': True, 'idx_choice--1': 4, 'by_channels--EqualizeTransform': True, 'mode--EqualizeTransform': 'pil', 'idx_choice--2': 3}"
8,0.0017496958639856616,"{'idx_choice--0': 0, 'std_range--left--GaussNoiseTransform': 0.09612699475144468, 'std_range--right--GaussNoiseTransform': 0.09736654242239302, 'mean_range--left--GaussNoiseTransform': 0.09094615070941156, 'mean_range--right--GaussNoiseTransform': 0.09369042022163289, 'per_channel--GaussNoiseTransform': False, 'idx_choice--1': 5, 'idx_choice--2': 2, 'blur_limit--left--BlurTransform': 4, 'blur_limit--right--BlurTransform': 7}"
9,0.021147587459251684,"{'idx_choice--0': 1, 'idx_choice--1': 7, 'idx_choice--2': 1, 'num_bits--PosterizeTransform': 3}"
