step,score,params
0,0.6843181182272159,"{'idx_choice--0': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.06697552338316853, 'shift_limit--right--ShiftScaleRotateTransform': 0.09856117857545013, 'scale_limit--left--ShiftScaleRotateTransform': 0.7757706627440584, 'scale_limit--right--ShiftScaleRotateTransform': 0.8264057950991184, 'rotate_limit--left--ShiftScaleRotateTransform': -201.7129842242273, 'rotate_limit--right--ShiftScaleRotateTransform': 255.65136447956004, 'fill--ShiftScaleRotateTransform': 169, 'idx_choice--1': 9, 'idx_choice--2': 0, 'blur_limit--left--BlurTransform': 8, 'blur_limit--right--BlurTransform': 9, 'idx_choice--3': 0, 'std_range--left--GaussNoiseTransform': 0.18290700861597847, 'std_range--right--GaussNoiseTransform': 0.18566818142101316, 'mean_range--left--GaussNoiseTransform': 0.12397947474347859, 'mean_range--right--GaussNoiseTransform': 0.1271492950410271, 'per_channel--GaussNoiseTransform': False, 'noise_scale_factor--GaussNoiseTransform': 0.7903655134261061, 'idx_choice--4': 1, 'ratio--GridDropoutTransform': 0.37888913740378727, 'unit_size_range--left--GridDropoutTransform': 69, 'unit_size_range--right--GridDropoutTransform': 95, 'fill--GridDropoutTransform': 5, 'idx_choice--5': 2, 'dropout_prob--PixelDropoutTransform': 0.08234679083772543, 'per_channel--PixelDropoutTransform': True, 'idx_choice--6': 5, 'max_factor--left--ZoomBlurTransform': 1.0689365999233191, 'max_factor--right--ZoomBlurTransform': 1.09486976728903, 'step_factor--left--ZoomBlurTransform': 0.04458573458442882, 'step_factor--right--ZoomBlurTransform': 0.04497832729745533, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'erosion'}"
1,0.10710412961202215,"{'idx_choice--0': 3, 'idx_choice--1': 6, 'by_channels--EqualizeTransform': True, 'mode--EqualizeTransform': 'pil', 'idx_choice--2': 4, 'alpha--left--SharpenTransform': 0.5632303850531107, 'alpha--right--SharpenTransform': 0.6582347507019213, 'lightness--left--SharpenTransform': 1.8406313513953905, 'lightness--right--SharpenTransform': 1.888964113042913, 'method--SharpenTransform': 'gaussian', 'idx_choice--3': 2, 'idx_choice--4': 1, 'ratio--GridDropoutTransform': 0.1598158115427844, 'unit_size_range--left--GridDropoutTransform': 94, 'unit_size_range--right--GridDropoutTransform': 99, 'fill--GridDropoutTransform': 107, 'idx_choice--5': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 25, 'quality_range--right--CompressionTransform': 51, 'idx_choice--6': 5, 'max_factor--left--ZoomBlurTransform': 1.047872921525185, 'max_factor--right--ZoomBlurTransform': 1.0821277174594295, 'step_factor--left--ZoomBlurTransform': 0.03958680556029881, 'step_factor--right--ZoomBlurTransform': 0.04212505506908362, 'idx_choice--7': 1}"
2,0.0016446146209021279,"{'idx_choice--0': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.07894927396189204, 'shift_limit--right--ShiftScaleRotateTransform': 0.05237861750320892, 'scale_limit--left--ShiftScaleRotateTransform': 0.6228835341022012, 'scale_limit--right--ShiftScaleRotateTransform': 0.8912692538559022, 'rotate_limit--left--ShiftScaleRotateTransform': -36.630950142100005, 'rotate_limit--right--ShiftScaleRotateTransform': 328.7871708790699, 'fill--ShiftScaleRotateTransform': 81, 'idx_choice--1': 2, 'r_shift_limit--left--RGBShiftTransform': 27.335538439937977, 'r_shift_limit--right--RGBShiftTransform': 53.91467903101369, 'g_shift_limit--left--RGBShiftTransform': 42.43399438929103, 'g_shift_limit--right--RGBShiftTransform': 53.60776861956977, 'b_shift_limit--left--RGBShiftTransform': 48.111568050829305, 'b_shift_limit--right--RGBShiftTransform': 76.31273036557091, 'idx_choice--2': 0, 'blur_limit--left--BlurTransform': 7, 'blur_limit--right--BlurTransform': 9, 'idx_choice--3': 0, 'std_range--left--GaussNoiseTransform': 0.16886537225717657, 'std_range--right--GaussNoiseTransform': 0.19237584989877402, 'mean_range--left--GaussNoiseTransform': -0.17839858384042517, 'mean_range--right--GaussNoiseTransform': 0.08476851533703447, 'per_channel--GaussNoiseTransform': True, 'noise_scale_factor--GaussNoiseTransform': 0.28677995262829636, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 46, 'num_holes_range--right--CoarseDropoutTransform': 85, 'hole_height_range--left--CoarseDropoutTransform': 0.025550722408984112, 'hole_height_range--right--CoarseDropoutTransform': 0.03020652513917527, 'hole_width_range--left--CoarseDropoutTransform': 0.027656408740427105, 'hole_width_range--right--CoarseDropoutTransform': 0.0332543036036228, 'fill--CoarseDropoutTransform': 81, 'idx_choice--5': 1, 'scale_range--left--DownscaleTransform': 0.8765489215183628, 'scale_range--right--DownscaleTransform': 0.9199974781070432, 'idx_choice--6': 4, 'radius--left--DefocusTransform': 1, 'radius--right--DefocusTransform': 7, 'alias_blur--left--DefocusTransform': 8.217872987795765, 'alias_blur--right--DefocusTransform': 21.515359483753993, 'idx_choice--7': 1}"
3,0.27930643734110233,"{'idx_choice--0': 1, 'distort_limit--left--OpticalDistortionTransform': -1.453951610463973, 'distort_limit--right--OpticalDistortionTransform': 0.009934908275939458, 'fill--OpticalDistortionTransform': 137, 'idx_choice--1': 9, 'idx_choice--2': 4, 'alpha--left--SharpenTransform': 0.10180899116043034, 'alpha--right--SharpenTransform': 0.25152863507942713, 'lightness--left--SharpenTransform': 1.936334271047175, 'lightness--right--SharpenTransform': 1.9901326429547979, 'method--SharpenTransform': 'kernel', 'idx_choice--3': 0, 'std_range--left--GaussNoiseTransform': 0.13035790525419602, 'std_range--right--GaussNoiseTransform': 0.19340216489166934, 'mean_range--left--GaussNoiseTransform': -0.1521848460319564, 'mean_range--right--GaussNoiseTransform': 0.18222372833455153, 'per_channel--GaussNoiseTransform': True, 'noise_scale_factor--GaussNoiseTransform': 0.20571171827647405, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 85, 'num_holes_range--right--CoarseDropoutTransform': 100, 'hole_height_range--left--CoarseDropoutTransform': 0.0420479440531368, 'hole_height_range--right--CoarseDropoutTransform': 0.04481284162136612, 'hole_width_range--left--CoarseDropoutTransform': 0.04614696385095269, 'hole_width_range--right--CoarseDropoutTransform': 0.04880151887145114, 'fill--CoarseDropoutTransform': 131, 'idx_choice--5': 3, 'idx_choice--6': 1, 'snow_point_range--left--SnowTransform': 0.8257799514367861, 'snow_point_range--right--SnowTransform': 0.8532786669563702, 'brightness_coeff--SnowTransform': 1.467480323872032, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'dilation'}"
4,0.002724600158902691,"{'idx_choice--0': 1, 'distort_limit--left--OpticalDistortionTransform': -0.08881467298688506, 'distort_limit--right--OpticalDistortionTransform': 0.8538143639421236, 'fill--OpticalDistortionTransform': 208, 'idx_choice--1': 7, 'idx_choice--2': 2, 'blur_limit--left--MedianBlurTransform': 8, 'blur_limit--right--MedianBlurTransform': 12, 'idx_choice--3': 1, 'multiplier--left--MultiplicativeNoiseTransform': 1.1044876835230342, 'multiplier--right--MultiplicativeNoiseTransform': 1.169787503263472, 'per_channel--MultiplicativeNoiseTransform': True, 'elementwise--MultiplicativeNoiseTransform': True, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 63, 'num_holes_range--right--CoarseDropoutTransform': 68, 'hole_height_range--left--CoarseDropoutTransform': 0.010232522348633366, 'hole_height_range--right--CoarseDropoutTransform': 0.021699930684542013, 'hole_width_range--left--CoarseDropoutTransform': 0.02941510401165977, 'hole_width_range--right--CoarseDropoutTransform': 0.03951402035128747, 'fill--CoarseDropoutTransform': 80, 'idx_choice--5': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 80, 'quality_range--right--CompressionTransform': 91, 'idx_choice--6': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': -0.6870959795218206, 'primary_distortion_limit--right--ChromaticAberrationTransform': -0.5085993398520524, 'secondary_distortion_limit--left--ChromaticAberrationTransform': -0.51738629395442, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.06070319745582531, 'mode--ChromaticAberrationTransform': 'red_blue', 'interpolation--ChromaticAberrationTransform': 0, 'idx_choice--7': 1}"
5,0.001048217012794339,"{'idx_choice--0': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.16758216171061752, 'shift_limit--right--ShiftScaleRotateTransform': 0.17165417497473925, 'scale_limit--left--ShiftScaleRotateTransform': 0.2078331574226405, 'scale_limit--right--ShiftScaleRotateTransform': 0.9796796654210655, 'rotate_limit--left--ShiftScaleRotateTransform': -194.4927600417162, 'rotate_limit--right--ShiftScaleRotateTransform': -171.9211481382124, 'fill--ShiftScaleRotateTransform': 95, 'idx_choice--1': 11, 'idx_choice--2': 6, 'idx_choice--3': 0, 'std_range--left--GaussNoiseTransform': 0.005145947825605501, 'std_range--right--GaussNoiseTransform': 0.08980880432025679, 'mean_range--left--GaussNoiseTransform': 0.18928067315154712, 'mean_range--right--GaussNoiseTransform': 0.19423799874167028, 'per_channel--GaussNoiseTransform': False, 'noise_scale_factor--GaussNoiseTransform': 0.6377743076007321, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 14, 'num_holes_range--right--CoarseDropoutTransform': 69, 'hole_height_range--left--CoarseDropoutTransform': 0.002389671774916199, 'hole_height_range--right--CoarseDropoutTransform': 0.02781666773198661, 'hole_width_range--left--CoarseDropoutTransform': 0.03175503460307014, 'hole_width_range--right--CoarseDropoutTransform': 0.043666955562944296, 'fill--CoarseDropoutTransform': 29, 'idx_choice--5': 1, 'scale_range--left--DownscaleTransform': 0.6885943264028758, 'scale_range--right--DownscaleTransform': 0.8947947332522102, 'idx_choice--6': 2, 'scale--RainbowTransform': 0.10946212571072056, 'per_channel--RainbowTransform': True, 'idx_choice--7': 1}"
6,0.49122682262073236,"{'idx_choice--0': 3, 'idx_choice--1': 3, 'gamma_limit--left--GammaTransform': 91.27778484695062, 'gamma_limit--right--GammaTransform': 184.0019328508542, 'idx_choice--2': 3, 'blur_limit--left--MotionBlurTransform': 9, 'blur_limit--right--MotionBlurTransform': 14, 'allow_shifted--MotionBlurTransform': False, 'angle_range--left--MotionBlurTransform': 319.02687834832295, 'angle_range--right--MotionBlurTransform': 330.3033840903694, 'direction_range--left--MotionBlurTransform': -0.5400718624600584, 'direction_range--right--MotionBlurTransform': 0.20253480199523854, 'idx_choice--3': 1, 'multiplier--left--MultiplicativeNoiseTransform': 0.15744587295142923, 'multiplier--right--MultiplicativeNoiseTransform': 0.7563235606583111, 'per_channel--MultiplicativeNoiseTransform': True, 'elementwise--MultiplicativeNoiseTransform': False, 'idx_choice--4': 1, 'ratio--GridDropoutTransform': 0.12529468455166914, 'unit_size_range--left--GridDropoutTransform': 7, 'unit_size_range--right--GridDropoutTransform': 36, 'fill--GridDropoutTransform': 22, 'idx_choice--5': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 29, 'quality_range--right--CompressionTransform': 90, 'idx_choice--6': 6, 'idx_choice--7': 1}"
7,0.08805941357582364,"{'idx_choice--0': 1, 'distort_limit--left--OpticalDistortionTransform': -1.6462121055251868, 'distort_limit--right--OpticalDistortionTransform': 0.20825700519932644, 'fill--OpticalDistortionTransform': 168, 'idx_choice--1': 4, 'threshold_range--left--SolarizeTransform': 0.8418366763913468, 'threshold_range--right--SolarizeTransform': 0.8974356096167435, 'idx_choice--2': 0, 'blur_limit--left--BlurTransform': 3, 'blur_limit--right--BlurTransform': 9, 'idx_choice--3': 0, 'std_range--left--GaussNoiseTransform': 0.0935613551359684, 'std_range--right--GaussNoiseTransform': 0.10738242571924034, 'mean_range--left--GaussNoiseTransform': 0.048044076467045754, 'mean_range--right--GaussNoiseTransform': 0.15358836326905245, 'per_channel--GaussNoiseTransform': False, 'noise_scale_factor--GaussNoiseTransform': 0.8626702005653255, 'idx_choice--4': 1, 'ratio--GridDropoutTransform': 0.3380539012031416, 'unit_size_range--left--GridDropoutTransform': 15, 'unit_size_range--right--GridDropoutTransform': 33, 'fill--GridDropoutTransform': 249, 'idx_choice--5': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 74, 'quality_range--right--CompressionTransform': 94, 'idx_choice--6': 2, 'scale--RainbowTransform': 0.38289446660413173, 'per_channel--RainbowTransform': False, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 4, 'operation--MorphologicalTransform': 'erosion'}"
8,0.0006744094362847346,"{'idx_choice--0': 1, 'distort_limit--left--OpticalDistortionTransform': -0.6901391908642516, 'distort_limit--right--OpticalDistortionTransform': -0.1323659480805527, 'fill--OpticalDistortionTransform': 238, 'idx_choice--1': 1, 'hue_shift_limit--left--HSVTransform': -151.98931326243058, 'hue_shift_limit--right--HSVTransform': -51.54402851037695, 'sat_shift_limit--left--HSVTransform': 233.97947843961174, 'sat_shift_limit--right--HSVTransform': 251.90904914591098, 'val_shift_limit--left--HSVTransform': -79.94760096742647, 'val_shift_limit--right--HSVTransform': 70.7070875362208, 'idx_choice--2': 4, 'alpha--left--SharpenTransform': 0.4553019018459177, 'alpha--right--SharpenTransform': 0.5805979826693968, 'lightness--left--SharpenTransform': 1.8474708603764656, 'lightness--right--SharpenTransform': 1.8867040838242155, 'method--SharpenTransform': 'kernel', 'idx_choice--3': 2, 'idx_choice--4': 2, 'idx_choice--5': 3, 'idx_choice--6': 5, 'max_factor--left--ZoomBlurTransform': 1.0764876031403248, 'max_factor--right--ZoomBlurTransform': 1.0893316628120997, 'step_factor--left--ZoomBlurTransform': 0.02730402617567159, 'step_factor--right--ZoomBlurTransform': 0.04761564524833186, 'idx_choice--7': 1}"
9,0.018032111808693466,"{'idx_choice--0': 0, 'scale--left--PerspectiveTransform': 359.327029448893, 'scale--right--PerspectiveTransform': 507.0904235883165, 'fill--PerspectiveTransform': 68, 'idx_choice--1': 2, 'r_shift_limit--left--RGBShiftTransform': -52.125499947143325, 'r_shift_limit--right--RGBShiftTransform': 62.93816241284975, 'g_shift_limit--left--RGBShiftTransform': -0.45349819865136, 'g_shift_limit--right--RGBShiftTransform': 41.17869393362003, 'b_shift_limit--left--RGBShiftTransform': -7.705278943393594, 'b_shift_limit--right--RGBShiftTransform': 57.27857561073179, 'idx_choice--2': 4, 'alpha--left--SharpenTransform': 0.20457801855366342, 'alpha--right--SharpenTransform': 0.5426692403763245, 'lightness--left--SharpenTransform': 0.1678553628614213, 'lightness--right--SharpenTransform': 1.9534915003928386, 'method--SharpenTransform': 'gaussian', 'idx_choice--3': 2, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 98, 'num_holes_range--right--CoarseDropoutTransform': 99, 'hole_height_range--left--CoarseDropoutTransform': 0.004034259119929433, 'hole_height_range--right--CoarseDropoutTransform': 0.0167574804395559, 'hole_width_range--left--CoarseDropoutTransform': 0.0031143644849024586, 'hole_width_range--right--CoarseDropoutTransform': 0.026007649266105097, 'fill--CoarseDropoutTransform': 192, 'idx_choice--5': 3, 'idx_choice--6': 5, 'max_factor--left--ZoomBlurTransform': 1.0377674842846347, 'max_factor--right--ZoomBlurTransform': 1.0538844391632907, 'step_factor--left--ZoomBlurTransform': 0.014361017062190774, 'step_factor--right--ZoomBlurTransform': 0.04446696836190312, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 2, 'scale--right--MorphologicalTransform': 5, 'operation--MorphologicalTransform': 'dilation'}"
