param,value
r_shift_limit--right--RGBShiftTransform,0.029633403332889777
num_bits--PosterizeTransform,0.029362906597851655
r_shift_limit--left--RGBShiftTransform,0.029177008125900267
val_shift_limit--right--HSVTransform,0.027393825034456264
sat_shift_limit--right--HSVTransform,0.025817243013296808
sat_shift_limit--left--HSVTransform,0.02581292026454727
val_shift_limit--left--HSVTransform,0.02558444810481073
by_channels--EqualizeTransform,0.024815456616151584
mode--ChromaticAberrationTransform,0.024770622403211137
hue_shift_limit--left--HSVTransform,0.02464671261510448
b_shift_limit--right--RGBShiftTransform,0.022179345332756856
g_shift_limit--left--RGBShiftTransform,0.021196490776749163
step_factor--left--ZoomBlurTransform,0.020319022732422327
contrast_limit--right--BrightnessContrastTransform,0.020152339603096668
operation--MorphologicalTransform,0.018337308935142897
g_shift_limit--right--RGBShiftTransform,0.017214804518808177
mode--EqualizeTransform,0.016520510721008973
hue_shift_limit--right--HSVTransform,0.016471462649608522
brightness_limit--left--BrightnessContrastTransform,0.01613756710370315
idx_choice--6,0.01553870524111651
threshold_range--right--SolarizeTransform,0.015044242120171187
unit_size_range--right--GridDropoutTransform,0.01496790954935144
idx_choice--3,0.014277834417379847
ratio--GridDropoutTransform,0.014239550745529309
per_channel--RainbowTransform,0.014110990274767568
alias_blur--left--DefocusTransform,0.014004059452168979
threshold_range--left--SolarizeTransform,0.013909000406111559
secondary_distortion_limit--right--ChromaticAberrationTransform,0.012901494142636962
unit_size_range--left--GridDropoutTransform,0.01287203716547259
contrast_limit--left--BrightnessContrastTransform,0.012307458446876425
scale--right--PerspectiveTransform,0.012107195610934625
dropout_prob--PixelDropoutTransform,0.012006660248842276
per_channel--PixelDropoutTransform,0.011346251420874781
fill--GridDropoutTransform,0.011294206993518715
radius--right--DefocusTransform,0.010357715906034433
fill--PerspectiveTransform,0.010192809347025447
secondary_distortion_limit--left--ChromaticAberrationTransform,0.010167854047263681
radius--left--DefocusTransform,0.009952792883964293
direction_range--right--MotionBlurTransform,0.009914141101167609
blur_limit--right--BlurTransform,0.009908028638413264
alpha--left--EmbossTransform,0.009825343585048432
