step,score,params
0,0.0020769093366869214,"{'idx_choice--0': 0, 'scale--left--PerspectiveTransform': 216.18889122652695, 'scale--right--PerspectiveTransform': 864.2279689982048, 'fill--PerspectiveTransform': 19, 'idx_choice--1': 2, 'r_shift_limit--left--RGBShiftTransform': -4.715623836722457, 'r_shift_limit--right--RGBShiftTransform': 30.80674903282041, 'g_shift_limit--left--RGBShiftTransform': -72.54556136272895, 'g_shift_limit--right--RGBShiftTransform': -72.1143741962905, 'b_shift_limit--left--RGBShiftTransform': -55.429086142317814, 'b_shift_limit--right--RGBShiftTransform': 26.98650884649335, 'idx_choice--2': 0, 'blur_limit--left--BlurTransform': 7, 'blur_limit--right--BlurTransform': 8, 'idx_choice--3': 1, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 76, 'num_holes_range--right--CoarseDropoutTransform': 79, 'hole_height_range--left--CoarseDropoutTransform': 0.04972931361672206, 'hole_height_range--right--CoarseDropoutTransform': 0.04978528894768812, 'hole_width_range--left--CoarseDropoutTransform': 0.01141594974389195, 'hole_width_range--right--CoarseDropoutTransform': 0.04609766062985906, 'fill--CoarseDropoutTransform': 233, 'idx_choice--5': 1, 'scale_range--left--DownscaleTransform': 0.48367615026559746, 'scale_range--right--DownscaleTransform': 0.8924410022214737, 'idx_choice--6': 5, 'max_factor--left--ZoomBlurTransform': 1.0235890631230231, 'max_factor--right--ZoomBlurTransform': 1.0831397936008964, 'step_factor--left--ZoomBlurTransform': 0.002218996561129543, 'step_factor--right--ZoomBlurTransform': 0.04410584022277291, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 1, 'scale--right--MorphologicalTransform': 5, 'operation--MorphologicalTransform': 'dilation'}"
1,0.006897007996182462,"{'idx_choice--0': 0, 'scale--left--PerspectiveTransform': 231.82933271986383, 'scale--right--PerspectiveTransform': 651.9920962811877, 'fill--PerspectiveTransform': 29, 'idx_choice--1': 7, 'idx_choice--2': 5, 'alpha--left--EmbossTransform': 0.9370283037166305, 'alpha--right--EmbossTransform': 0.9771065545790625, 'strength--left--EmbossTransform': 0.8546511311435856, 'strength--right--EmbossTransform': 0.9404057572727702, 'idx_choice--3': 1, 'idx_choice--4': 1, 'ratio--GridDropoutTransform': 0.06364979699718734, 'unit_size_range--left--GridDropoutTransform': 60, 'unit_size_range--right--GridDropoutTransform': 85, 'fill--GridDropoutTransform': 69, 'idx_choice--5': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 81, 'quality_range--right--CompressionTransform': 99, 'idx_choice--6': 6, 'idx_choice--7': 1}"
2,0.10551319069539507,"{'idx_choice--0': 3, 'idx_choice--1': 1, 'hue_shift_limit--left--HSVTransform': -26.324200059673444, 'hue_shift_limit--right--HSVTransform': 78.13185001384983, 'sat_shift_limit--left--HSVTransform': 71.41451919582272, 'sat_shift_limit--right--HSVTransform': 103.08141419065139, 'val_shift_limit--left--HSVTransform': 27.234998811243074, 'val_shift_limit--right--HSVTransform': 79.2393361961849, 'idx_choice--2': 6, 'idx_choice--3': 0, 'dropout_prob--PixelDropoutTransform': 0.051211555463754985, 'per_channel--PixelDropoutTransform': True, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 96, 'num_holes_range--right--CoarseDropoutTransform': 98, 'hole_height_range--left--CoarseDropoutTransform': 0.04144831538141747, 'hole_height_range--right--CoarseDropoutTransform': 0.043690834838749304, 'hole_width_range--left--CoarseDropoutTransform': 0.00315053252689868, 'hole_width_range--right--CoarseDropoutTransform': 0.033545680232791905, 'fill--CoarseDropoutTransform': 73, 'idx_choice--5': 2, 'idx_choice--6': 6, 'idx_choice--7': 1}"
3,0.044899739662252525,"{'idx_choice--0': 1, 'distort_limit--left--OpticalDistortionTransform': 1.0911336004881083, 'distort_limit--right--OpticalDistortionTransform': 1.9934913916779946, 'fill--OpticalDistortionTransform': 148, 'idx_choice--1': 2, 'r_shift_limit--left--RGBShiftTransform': -17.673524244689098, 'r_shift_limit--right--RGBShiftTransform': 49.527838283058216, 'g_shift_limit--left--RGBShiftTransform': -59.15425822438743, 'g_shift_limit--right--RGBShiftTransform': -47.617183349143815, 'b_shift_limit--left--RGBShiftTransform': 30.87798717014749, 'b_shift_limit--right--RGBShiftTransform': 74.27483670110963, 'idx_choice--2': 0, 'blur_limit--left--BlurTransform': 8, 'blur_limit--right--BlurTransform': 9, 'idx_choice--3': 0, 'dropout_prob--PixelDropoutTransform': 0.1288085151684143, 'per_channel--PixelDropoutTransform': True, 'idx_choice--4': 2, 'idx_choice--5': 1, 'scale_range--left--DownscaleTransform': 0.4204228737791327, 'scale_range--right--DownscaleTransform': 0.779918054684948, 'idx_choice--6': 4, 'radius--left--DefocusTransform': 7, 'radius--right--DefocusTransform': 9, 'alias_blur--left--DefocusTransform': 22.558573139227576, 'alias_blur--right--DefocusTransform': 23.946236709418827, 'idx_choice--7': 1}"
4,0.0005656889835725971,"{'idx_choice--0': 1, 'distort_limit--left--OpticalDistortionTransform': -1.3600916622629824, 'distort_limit--right--OpticalDistortionTransform': -0.3891346372326969, 'fill--OpticalDistortionTransform': 65, 'idx_choice--1': 0, 'brightness_limit--left--BrightnessContrastTransform': 0.016491184089970218, 'brightness_limit--right--BrightnessContrastTransform': 0.1744123567374245, 'contrast_limit--left--BrightnessContrastTransform': -0.05799168238864244, 'contrast_limit--right--BrightnessContrastTransform': 0.04629848132816919, 'idx_choice--2': 6, 'idx_choice--3': 1, 'idx_choice--4': 2, 'idx_choice--5': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 60, 'quality_range--right--CompressionTransform': 83, 'idx_choice--6': 1, 'snow_point_range--left--SnowTransform': 0.7125341065333023, 'snow_point_range--right--SnowTransform': 0.7160489317514246, 'brightness_coeff--SnowTransform': 1.249966353386076, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'erosion'}"
5,0.6924890655846823,"{'idx_choice--0': 1, 'distort_limit--left--OpticalDistortionTransform': -1.0881666818526783, 'distort_limit--right--OpticalDistortionTransform': -0.7880865871125663, 'fill--OpticalDistortionTransform': 122, 'idx_choice--1': 10, 'idx_choice--2': 3, 'blur_limit--left--MotionBlurTransform': 5, 'blur_limit--right--MotionBlurTransform': 7, 'allow_shifted--MotionBlurTransform': True, 'angle_range--left--MotionBlurTransform': 123.45035407602518, 'angle_range--right--MotionBlurTransform': 198.49291726040505, 'direction_range--left--MotionBlurTransform': 0.1946081768734993, 'direction_range--right--MotionBlurTransform': 0.215400618366205, 'idx_choice--3': 0, 'dropout_prob--PixelDropoutTransform': 0.09785198712326557, 'per_channel--PixelDropoutTransform': True, 'idx_choice--4': 1, 'ratio--GridDropoutTransform': 0.13502677477958555, 'unit_size_range--left--GridDropoutTransform': 54, 'unit_size_range--right--GridDropoutTransform': 84, 'fill--GridDropoutTransform': 117, 'idx_choice--5': 1, 'scale_range--left--DownscaleTransform': 0.20095004506739853, 'scale_range--right--DownscaleTransform': 0.28665924931420417, 'idx_choice--6': 0, 'rain_type--RainTransform': 'torrential', 'slant_range--left--RainTransform': 24.503132269626335, 'slant_range--right--RainTransform': 38.101798624703676, 'drop_length--RainTransform': 13, 'drop_width--RainTransform': 1, 'blur_value--RainTransform': 12, 'brightness_coefficient--RainTransform': 0.8223116461859699, 'idx_choice--7': 1}"
6,0.0362200818336056,"{'idx_choice--0': 0, 'scale--left--PerspectiveTransform': 121.31295769842255, 'scale--right--PerspectiveTransform': 895.2875329968746, 'fill--PerspectiveTransform': 107, 'idx_choice--1': 9, 'idx_choice--2': 3, 'blur_limit--left--MotionBlurTransform': 7, 'blur_limit--right--MotionBlurTransform': 12, 'allow_shifted--MotionBlurTransform': True, 'angle_range--left--MotionBlurTransform': 132.3422209317132, 'angle_range--right--MotionBlurTransform': 287.80138945425364, 'direction_range--left--MotionBlurTransform': -0.1703709389876571, 'direction_range--right--MotionBlurTransform': 0.49771437938745255, 'idx_choice--3': 0, 'dropout_prob--PixelDropoutTransform': 0.12332207475374218, 'per_channel--PixelDropoutTransform': False, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 38, 'num_holes_range--right--CoarseDropoutTransform': 70, 'hole_height_range--left--CoarseDropoutTransform': 0.026513302439065998, 'hole_height_range--right--CoarseDropoutTransform': 0.04432280604587246, 'hole_width_range--left--CoarseDropoutTransform': 0.0136715569025086, 'hole_width_range--right--CoarseDropoutTransform': 0.025671105933717988, 'fill--CoarseDropoutTransform': 93, 'idx_choice--5': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 47, 'quality_range--right--CompressionTransform': 54, 'idx_choice--6': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': -0.0028114505765897135, 'primary_distortion_limit--right--ChromaticAberrationTransform': 0.36176164237557196, 'secondary_distortion_limit--left--ChromaticAberrationTransform': 0.5955990186794622, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.6785770252813176, 'mode--ChromaticAberrationTransform': 'red_blue', 'interpolation--ChromaticAberrationTransform': 1, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 2, 'scale--right--MorphologicalTransform': 3, 'operation--MorphologicalTransform': 'dilation'}"
7,0.029180711726526386,"{'idx_choice--0': 0, 'scale--left--PerspectiveTransform': 446.46167073423186, 'scale--right--PerspectiveTransform': 713.4339575315989, 'fill--PerspectiveTransform': 98, 'idx_choice--1': 2, 'r_shift_limit--left--RGBShiftTransform': -66.47092660519547, 'r_shift_limit--right--RGBShiftTransform': 17.971250575126007, 'g_shift_limit--left--RGBShiftTransform': 18.577939824176866, 'g_shift_limit--right--RGBShiftTransform': 62.231526688825, 'b_shift_limit--left--RGBShiftTransform': -68.63731583366615, 'b_shift_limit--right--RGBShiftTransform': 12.650551069774963, 'idx_choice--2': 6, 'idx_choice--3': 1, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 31, 'num_holes_range--right--CoarseDropoutTransform': 67, 'hole_height_range--left--CoarseDropoutTransform': 0.008326698311657083, 'hole_height_range--right--CoarseDropoutTransform': 0.009199753924884804, 'hole_width_range--left--CoarseDropoutTransform': 0.008035853396266172, 'hole_width_range--right--CoarseDropoutTransform': 0.044349526519309054, 'fill--CoarseDropoutTransform': 149, 'idx_choice--5': 2, 'idx_choice--6': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': 0.4442792641162494, 'primary_distortion_limit--right--ChromaticAberrationTransform': 0.5991822945874198, 'secondary_distortion_limit--left--ChromaticAberrationTransform': 0.07800023771190312, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.5367837625224086, 'mode--ChromaticAberrationTransform': 'random', 'interpolation--ChromaticAberrationTransform': 0, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 2, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'erosion'}"
8,6.204811991968502e-05,"{'idx_choice--0': 0, 'scale--left--PerspectiveTransform': 510.76884989667195, 'scale--right--PerspectiveTransform': 604.2905993716331, 'fill--PerspectiveTransform': 155, 'idx_choice--1': 11, 'idx_choice--2': 6, 'idx_choice--3': 1, 'idx_choice--4': 1, 'ratio--GridDropoutTransform': 0.16264113608005368, 'unit_size_range--left--GridDropoutTransform': 88, 'unit_size_range--right--GridDropoutTransform': 96, 'fill--GridDropoutTransform': 237, 'idx_choice--5': 0, 'compression_type--CompressionTransform': 'jpeg', 'quality_range--left--CompressionTransform': 80, 'quality_range--right--CompressionTransform': 98, 'idx_choice--6': 4, 'radius--left--DefocusTransform': 4, 'radius--right--DefocusTransform': 10, 'alias_blur--left--DefocusTransform': 13.146173796325783, 'alias_blur--right--DefocusTransform': 19.48318375152412, 'idx_choice--7': 1}"
9,0.011197157754785232,"{'idx_choice--0': 3, 'idx_choice--1': 2, 'r_shift_limit--left--RGBShiftTransform': -66.77676022879874, 'r_shift_limit--right--RGBShiftTransform': 33.64095082901237, 'g_shift_limit--left--RGBShiftTransform': 40.79561641191144, 'g_shift_limit--right--RGBShiftTransform': 53.863030718294155, 'b_shift_limit--left--RGBShiftTransform': 67.82312170285977, 'b_shift_limit--right--RGBShiftTransform': 74.10916765234239, 'idx_choice--2': 5, 'alpha--left--EmbossTransform': 0.5761229825769019, 'alpha--right--EmbossTransform': 0.9559692433869748, 'strength--left--EmbossTransform': 0.9342118149476772, 'strength--right--EmbossTransform': 0.996302440580175, 'idx_choice--3': 0, 'dropout_prob--PixelDropoutTransform': 0.12597034009326338, 'per_channel--PixelDropoutTransform': True, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 74, 'num_holes_range--right--CoarseDropoutTransform': 86, 'hole_height_range--left--CoarseDropoutTransform': 0.007354221055388604, 'hole_height_range--right--CoarseDropoutTransform': 0.017518082230472482, 'hole_width_range--left--CoarseDropoutTransform': 0.0007867323867056297, 'hole_width_range--right--CoarseDropoutTransform': 0.007068145793260014, 'fill--CoarseDropoutTransform': 9, 'idx_choice--5': 1, 'scale_range--left--DownscaleTransform': 0.4964534901375767, 'scale_range--right--DownscaleTransform': 0.7023770832818912, 'idx_choice--6': 0, 'rain_type--RainTransform': 'torrential', 'slant_range--left--RainTransform': 7.208084519889411, 'slant_range--right--RainTransform': 12.337843090527187, 'drop_length--RainTransform': 11, 'drop_width--RainTransform': 2, 'blur_value--RainTransform': 23, 'brightness_coefficient--RainTransform': 0.8825251010295883, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 2, 'scale--right--MorphologicalTransform': 4, 'operation--MorphologicalTransform': 'dilation'}"
