param,value
brightness_limit--right--BrightnessContrastTransform,0.027954868226829202
blur_limit--right--BlurTransform,0.02676817964750842
hue_shift_limit--left--HSVTransform,0.024720341462059387
sat_shift_limit--left--HSVTransform,0.023995958829801833
hue_shift_limit--right--HSVTransform,0.021368677224173016
val_shift_limit--right--HSVTransform,0.021203790361940547
sat_shift_limit--right--HSVTransform,0.020630716416647703
radius--right--DefocusTransform,0.020352075280392422
g_shift_limit--left--RGBShiftTransform,0.01870428598611609
brightness_limit--left--BrightnessContrastTransform,0.018529698285640724
secondary_distortion_limit--right--ChromaticAberrationTransform,0.016711582420529534
r_shift_limit--right--RGBShiftTransform,0.015659372245912916
r_shift_limit--left--RGBShiftTransform,0.01550830716081758
allow_shifted--MotionBlurTransform,0.015136858467513625
radius--left--DefocusTransform,0.015095452104320914
idx_choice--6,0.014787172252048368
distort_limit--left--OpticalDistortionTransform,0.014478278039250603
blur_limit--left--BlurTransform,0.014398221514685054
sigma_limit--right--GaussianBlurTransform,0.013564951913088142
operation--MorphologicalTransform,0.01335524951291439
multiplier--left--MultiplicativeNoiseTransform,0.012894789196646684
quality_range--right--CompressionTransform,0.012297467228793914
multiplier--right--MultiplicativeNoiseTransform,0.011879753038814346
per_channel--MultiplicativeNoiseTransform,0.011724744175491785
alias_blur--right--DefocusTransform,0.011512549710813308
hole_width_range--left--CoarseDropoutTransform,0.011383025639808572
brightness_coeff--SnowTransform,0.011262000704599564
direction_range--left--MotionBlurTransform,0.011200712168847887
distort_limit--right--OpticalDistortionTransform,0.010802824768535143
blur_limit--right--MedianBlurTransform,0.010554405843882595
mode--ChromaticAberrationTransform,0.010476688458083623
fill--PerspectiveTransform,0.01027793684873122
lightness--left--SharpenTransform,0.010258127938020715
sigma_limit--left--GaussianBlurTransform,0.010219141100664065
rotate_limit--left--ShiftScaleRotateTransform,0.010070236906815758
b_shift_limit--right--RGBShiftTransform,0.010067958824197533
blur_limit--GaussianBlurTransform,0.009944707934788211
scale_range--right--DownscaleTransform,0.009908031989534058
scale--right--PerspectiveTransform,0.00989019578439765
by_channels--EqualizeTransform,0.009853929567555162
val_shift_limit--left--HSVTransform,0.009846026876484929
interpolation--ChromaticAberrationTransform,0.009829911626073452
mean_range--left--GaussNoiseTransform,0.009761300125496785
hole_width_range--right--CoarseDropoutTransform,0.00957998392652678
rain_type--RainTransform,0.009476773736921235
hole_height_range--right--CoarseDropoutTransform,0.009437841958667162
b_shift_limit--left--RGBShiftTransform,0.009409005038747854
angle_range--right--MotionBlurTransform,0.009327119416993645
hole_height_range--left--CoarseDropoutTransform,0.009108481953492537
direction_range--right--MotionBlurTransform,0.00905702299123143
method--SharpenTransform,0.00898746582389546
mean_range--right--GaussNoiseTransform,0.008808731240132622
scale_range--left--DownscaleTransform,0.008756382961360354
threshold_range--left--SolarizeTransform,0.008639552546800568
