step,score,params
0,0.0176343764689578,"{'idx_choice--0': 0, 'scale--left--PerspectiveTransform': 566.9463979303338, 'scale--right--PerspectiveTransform': 829.1668072461689, 'fill--PerspectiveTransform': 198, 'idx_choice--1': 4, 'threshold_range--left--SolarizeTransform': 0.8484531231048277, 'threshold_range--right--SolarizeTransform': 0.9890942970941532, 'idx_choice--2': 2, 'blur_limit--left--MedianBlurTransform': 9, 'blur_limit--right--MedianBlurTransform': 10, 'idx_choice--3': 0, 'dropout_prob--PixelDropoutTransform': 0.02524335496140562, 'per_channel--PixelDropoutTransform': True, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 97, 'num_holes_range--right--CoarseDropoutTransform': 98, 'hole_height_range--left--CoarseDropoutTransform': 0.024824992294923347, 'hole_height_range--right--CoarseDropoutTransform': 0.041980728487546984, 'hole_width_range--left--CoarseDropoutTransform': 0.040587412109372126, 'hole_width_range--right--CoarseDropoutTransform': 0.04319508634950645, 'fill--CoarseDropoutTransform': 64, 'idx_choice--5': 2, 'idx_choice--6': 1, 'snow_point_range--left--SnowTransform': 0.5726013736873998, 'snow_point_range--right--SnowTransform': 0.7808822257528636, 'brightness_coeff--SnowTransform': 1.4040923364299653, 'idx_choice--7': 1}"
1,0.08774951538427868,"{'idx_choice--0': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.07623340540080492, 'shift_limit--right--ShiftScaleRotateTransform': 0.126572330698418, 'scale_limit--left--ShiftScaleRotateTransform': 0.11992799845598084, 'scale_limit--right--ShiftScaleRotateTransform': 0.7055842471836109, 'rotate_limit--left--ShiftScaleRotateTransform': -313.47657031580286, 'rotate_limit--right--ShiftScaleRotateTransform': 359.6244176652441, 'fill--ShiftScaleRotateTransform': 103, 'idx_choice--1': 4, 'threshold_range--left--SolarizeTransform': 0.8098281685096171, 'threshold_range--right--SolarizeTransform': 0.9746480245777013, 'idx_choice--2': 5, 'alpha--left--EmbossTransform': 0.44596037247903736, 'alpha--right--EmbossTransform': 0.8656163560534893, 'strength--left--EmbossTransform': 0.749303301862416, 'strength--right--EmbossTransform': 0.8969650489873985, 'idx_choice--3': 1, 'idx_choice--4': 1, 'ratio--GridDropoutTransform': 0.23866978024778482, 'unit_size_range--left--GridDropoutTransform': 37, 'unit_size_range--right--GridDropoutTransform': 98, 'fill--GridDropoutTransform': 243, 'idx_choice--5': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 78, 'quality_range--right--CompressionTransform': 94, 'idx_choice--6': 2, 'scale--RainbowTransform': 0.8922604401195816, 'per_channel--RainbowTransform': False, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'erosion'}"
2,0.018149852201867173,"{'idx_choice--0': 3, 'idx_choice--1': 5, 'num_bits--PosterizeTransform': 7, 'idx_choice--2': 4, 'alpha--left--SharpenTransform': 0.8516383159797795, 'alpha--right--SharpenTransform': 0.9787411269669289, 'lightness--left--SharpenTransform': 1.6098575363906118, 'lightness--right--SharpenTransform': 1.8961883632596388, 'method--SharpenTransform': 'kernel', 'idx_choice--3': 1, 'idx_choice--4': 1, 'ratio--GridDropoutTransform': 0.10419948740959356, 'unit_size_range--left--GridDropoutTransform': 38, 'unit_size_range--right--GridDropoutTransform': 39, 'fill--GridDropoutTransform': 203, 'idx_choice--5': 1, 'scale_range--left--DownscaleTransform': 0.49810497533171805, 'scale_range--right--DownscaleTransform': 0.9851897537074396, 'idx_choice--6': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': 0.28464872110475004, 'primary_distortion_limit--right--ChromaticAberrationTransform': 0.5464980703536192, 'secondary_distortion_limit--left--ChromaticAberrationTransform': -0.6797691583747919, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.3183907411145115, 'mode--ChromaticAberrationTransform': 'red_blue', 'interpolation--ChromaticAberrationTransform': 1, 'idx_choice--7': 1}"
3,0.11949772109006736,"{'idx_choice--0': 3, 'idx_choice--1': 1, 'hue_shift_limit--left--HSVTransform': -137.67090251254297, 'hue_shift_limit--right--HSVTransform': -64.73825969898333, 'sat_shift_limit--left--HSVTransform': -254.54063176211974, 'sat_shift_limit--right--HSVTransform': 5.716365756036907, 'val_shift_limit--left--HSVTransform': 41.01973476512657, 'val_shift_limit--right--HSVTransform': 46.31315444437079, 'idx_choice--2': 4, 'alpha--left--SharpenTransform': 0.028270192305123547, 'alpha--right--SharpenTransform': 0.9898219287283333, 'lightness--left--SharpenTransform': 1.4980904175042145, 'lightness--right--SharpenTransform': 1.84177835768488, 'method--SharpenTransform': 'gaussian', 'idx_choice--3': 0, 'dropout_prob--PixelDropoutTransform': 0.05374463148733694, 'per_channel--PixelDropoutTransform': True, 'idx_choice--4': 1, 'ratio--GridDropoutTransform': 0.39333077504614555, 'unit_size_range--left--GridDropoutTransform': 19, 'unit_size_range--right--GridDropoutTransform': 55, 'fill--GridDropoutTransform': 31, 'idx_choice--5': 2, 'idx_choice--6': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': 0.4267942958814903, 'primary_distortion_limit--right--ChromaticAberrationTransform': 0.5687862160802978, 'secondary_distortion_limit--left--ChromaticAberrationTransform': -0.3759320627706402, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.5915527648949577, 'mode--ChromaticAberrationTransform': 'red_blue', 'interpolation--ChromaticAberrationTransform': 1, 'idx_choice--7': 1}"
4,0.025797419461065816,"{'idx_choice--0': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.03662997380965141, 'shift_limit--right--ShiftScaleRotateTransform': 0.10151062125193486, 'scale_limit--left--ShiftScaleRotateTransform': 0.595532317448269, 'scale_limit--right--ShiftScaleRotateTransform': 0.739391652193932, 'rotate_limit--left--ShiftScaleRotateTransform': 42.23106914969503, 'rotate_limit--right--ShiftScaleRotateTransform': 339.22290082772463, 'fill--ShiftScaleRotateTransform': 224, 'idx_choice--1': 11, 'idx_choice--2': 3, 'blur_limit--left--MotionBlurTransform': 9, 'blur_limit--right--MotionBlurTransform': 12, 'allow_shifted--MotionBlurTransform': False, 'angle_range--left--MotionBlurTransform': 80.61974968035699, 'angle_range--right--MotionBlurTransform': 238.87515203278642, 'direction_range--left--MotionBlurTransform': 0.2799706958546051, 'direction_range--right--MotionBlurTransform': 0.3138329292215554, 'idx_choice--3': 0, 'dropout_prob--PixelDropoutTransform': 0.014774975449632815, 'per_channel--PixelDropoutTransform': False, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 96, 'num_holes_range--right--CoarseDropoutTransform': 97, 'hole_height_range--left--CoarseDropoutTransform': 0.04331669498381162, 'hole_height_range--right--CoarseDropoutTransform': 0.04632722088908743, 'hole_width_range--left--CoarseDropoutTransform': 0.026456278415543974, 'hole_width_range--right--CoarseDropoutTransform': 0.042489992872095796, 'fill--CoarseDropoutTransform': 123, 'idx_choice--5': 2, 'idx_choice--6': 2, 'scale--RainbowTransform': 0.8741543900596757, 'per_channel--RainbowTransform': True, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 1, 'scale--right--MorphologicalTransform': 2, 'operation--MorphologicalTransform': 'erosion'}"
5,0.019491076402531598,"{'idx_choice--0': 1, 'distort_limit--left--OpticalDistortionTransform': -1.7994067229788206, 'distort_limit--right--OpticalDistortionTransform': 1.9398272201903668, 'fill--OpticalDistortionTransform': 197, 'idx_choice--1': 11, 'idx_choice--2': 5, 'alpha--left--EmbossTransform': 0.5482207894110391, 'alpha--right--EmbossTransform': 0.8963167530475483, 'strength--left--EmbossTransform': 0.2700103521503682, 'strength--right--EmbossTransform': 0.3015761166925034, 'idx_choice--3': 0, 'dropout_prob--PixelDropoutTransform': 0.09803783161662806, 'per_channel--PixelDropoutTransform': True, 'idx_choice--4': 1, 'ratio--GridDropoutTransform': 0.23160753107424814, 'unit_size_range--left--GridDropoutTransform': 93, 'unit_size_range--right--GridDropoutTransform': 95, 'fill--GridDropoutTransform': 178, 'idx_choice--5': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 45, 'quality_range--right--CompressionTransform': 55, 'idx_choice--6': 1, 'snow_point_range--left--SnowTransform': 0.6753690173686138, 'snow_point_range--right--SnowTransform': 0.8438480973836031, 'brightness_coeff--SnowTransform': 1.337827600525958, 'idx_choice--7': 1}"
6,0.05688877768146775,"{'idx_choice--0': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.002908348656191301, 'shift_limit--right--ShiftScaleRotateTransform': 0.15577540572735343, 'scale_limit--left--ShiftScaleRotateTransform': 0.8308150546068878, 'scale_limit--right--ShiftScaleRotateTransform': 0.9027733603231596, 'rotate_limit--left--ShiftScaleRotateTransform': -92.36606010901971, 'rotate_limit--right--ShiftScaleRotateTransform': 273.7484939043321, 'fill--ShiftScaleRotateTransform': 243, 'idx_choice--1': 4, 'threshold_range--left--SolarizeTransform': 0.7664921497789206, 'threshold_range--right--SolarizeTransform': 0.8570519033410156, 'idx_choice--2': 3, 'blur_limit--left--MotionBlurTransform': 7, 'blur_limit--right--MotionBlurTransform': 10, 'allow_shifted--MotionBlurTransform': True, 'angle_range--left--MotionBlurTransform': 121.60671661072226, 'angle_range--right--MotionBlurTransform': 325.7745042180851, 'direction_range--left--MotionBlurTransform': -0.3739339047361202, 'direction_range--right--MotionBlurTransform': -0.2218004107590856, 'idx_choice--3': 0, 'dropout_prob--PixelDropoutTransform': 0.002237909553433903, 'per_channel--PixelDropoutTransform': True, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 24, 'num_holes_range--right--CoarseDropoutTransform': 94, 'hole_height_range--left--CoarseDropoutTransform': 0.04720410284659212, 'hole_height_range--right--CoarseDropoutTransform': 0.0483360832051733, 'hole_width_range--left--CoarseDropoutTransform': 0.0034412305647206196, 'hole_width_range--right--CoarseDropoutTransform': 0.02480778034775952, 'fill--CoarseDropoutTransform': 109, 'idx_choice--5': 1, 'scale_range--left--DownscaleTransform': 0.8322392800245362, 'scale_range--right--DownscaleTransform': 0.9582369620038632, 'idx_choice--6': 0, 'rain_type--RainTransform': 'drizzle', 'slant_range--left--RainTransform': 14.585478624395769, 'slant_range--right--RainTransform': 41.53685336599528, 'drop_length--RainTransform': 17, 'drop_width--RainTransform': 1, 'blur_value--RainTransform': 12, 'brightness_coefficient--RainTransform': 0.9695000067174384, 'idx_choice--7': 1}"
7,0.005505076880981247,"{'idx_choice--0': 0, 'scale--left--PerspectiveTransform': 190.30772457455316, 'scale--right--PerspectiveTransform': 858.4962308227498, 'fill--PerspectiveTransform': 207, 'idx_choice--1': 11, 'idx_choice--2': 1, 'blur_limit--GaussianBlurTransform': 0, 'sigma_limit--left--GaussianBlurTransform': 0.42812015257387476, 'sigma_limit--right--GaussianBlurTransform': 0.7262732174231039, 'idx_choice--3': 0, 'dropout_prob--PixelDropoutTransform': 0.14597083404519465, 'per_channel--PixelDropoutTransform': True, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 7, 'num_holes_range--right--CoarseDropoutTransform': 70, 'hole_height_range--left--CoarseDropoutTransform': 0.029820301881534048, 'hole_height_range--right--CoarseDropoutTransform': 0.03293161308348665, 'hole_width_range--left--CoarseDropoutTransform': 0.045603923088299546, 'hole_width_range--right--CoarseDropoutTransform': 0.04737159505857948, 'fill--CoarseDropoutTransform': 225, 'idx_choice--5': 2, 'idx_choice--6': 1, 'snow_point_range--left--SnowTransform': 0.8332553019003494, 'snow_point_range--right--SnowTransform': 0.8361773748268094, 'brightness_coeff--SnowTransform': 0.8636138642988231, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'erosion'}"
8,0.02668340712794648,"{'idx_choice--0': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.03478403368891603, 'shift_limit--right--ShiftScaleRotateTransform': 0.08344285605117274, 'scale_limit--left--ShiftScaleRotateTransform': 0.5708829232836347, 'scale_limit--right--ShiftScaleRotateTransform': 0.9017138574702899, 'rotate_limit--left--ShiftScaleRotateTransform': 89.85635958811497, 'rotate_limit--right--ShiftScaleRotateTransform': 248.35487731037392, 'fill--ShiftScaleRotateTransform': 137, 'idx_choice--1': 0, 'brightness_limit--left--BrightnessContrastTransform': 0.18732987978987814, 'brightness_limit--right--BrightnessContrastTransform': 0.19997997713341706, 'contrast_limit--left--BrightnessContrastTransform': -0.08104076806594693, 'contrast_limit--right--BrightnessContrastTransform': 0.16555451076776118, 'idx_choice--2': 0, 'blur_limit--left--BlurTransform': 4, 'blur_limit--right--BlurTransform': 7, 'idx_choice--3': 0, 'dropout_prob--PixelDropoutTransform': 0.04377823442252558, 'per_channel--PixelDropoutTransform': False, 'idx_choice--4': 2, 'idx_choice--5': 2, 'idx_choice--6': 6, 'idx_choice--7': 1}"
9,0.0017221518915026045,"{'idx_choice--0': 3, 'idx_choice--1': 10, 'idx_choice--2': 0, 'blur_limit--left--BlurTransform': 7, 'blur_limit--right--BlurTransform': 9, 'idx_choice--3': 0, 'dropout_prob--PixelDropoutTransform': 0.026020419632315977, 'per_channel--PixelDropoutTransform': True, 'idx_choice--4': 2, 'idx_choice--5': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 68, 'quality_range--right--CompressionTransform': 78, 'idx_choice--6': 4, 'radius--left--DefocusTransform': 7, 'radius--right--DefocusTransform': 10, 'alias_blur--left--DefocusTransform': 6.064260758991441, 'alias_blur--right--DefocusTransform': 19.849755089582736, 'idx_choice--7': 1}"
