step,score,params
0,0.00032147950898359166,"{'idx_choice--0': 3, 'idx_choice--1': 1, 'hue_shift_limit--left--HSVTransform': -55.47714851792681, 'hue_shift_limit--right--HSVTransform': 21.81182931637143, 'sat_shift_limit--left--HSVTransform': 80.47867261132092, 'sat_shift_limit--right--HSVTransform': 180.85858954187415, 'val_shift_limit--left--HSVTransform': 34.29786611153138, 'val_shift_limit--right--HSVTransform': 54.58779778301547, 'idx_choice--2': 6, 'idx_choice--3': 2, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 49, 'num_holes_range--right--CoarseDropoutTransform': 94, 'hole_height_range--left--CoarseDropoutTransform': 0.045852147571806015, 'hole_height_range--right--CoarseDropoutTransform': 0.048207482516040207, 'hole_width_range--left--CoarseDropoutTransform': 0.03967985709721624, 'hole_width_range--right--CoarseDropoutTransform': 0.04693176748102745, 'fill--CoarseDropoutTransform': 218, 'idx_choice--5': 3, 'idx_choice--6': 2, 'scale--RainbowTransform': 0.16309897952366492, 'per_channel--RainbowTransform': False, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 4, 'scale--right--MorphologicalTransform': 5, 'operation--MorphologicalTransform': 'erosion'}"
1,0.4798635401797309,"{'idx_choice--0': 2, 'shift_limit--left--ShiftScaleRotateTransform': 0.02876452378055841, 'shift_limit--right--ShiftScaleRotateTransform': 0.19533305778999932, 'scale_limit--left--ShiftScaleRotateTransform': 0.591602146180389, 'scale_limit--right--ShiftScaleRotateTransform': 0.9526667096149566, 'rotate_limit--left--ShiftScaleRotateTransform': -349.3002069552592, 'rotate_limit--right--ShiftScaleRotateTransform': -213.38310374763677, 'fill--ShiftScaleRotateTransform': 36, 'idx_choice--1': 5, 'num_bits--PosterizeTransform': 3, 'idx_choice--2': 2, 'blur_limit--left--MedianBlurTransform': 6, 'blur_limit--right--MedianBlurTransform': 8, 'idx_choice--3': 0, 'std_range--left--GaussNoiseTransform': 0.1998569974663745, 'std_range--right--GaussNoiseTransform': 0.1999511701720672, 'mean_range--left--GaussNoiseTransform': -0.08733466499132685, 'mean_range--right--GaussNoiseTransform': -0.02811921722681588, 'per_channel--GaussNoiseTransform': True, 'noise_scale_factor--GaussNoiseTransform': 0.3782720435903034, 'idx_choice--4': 2, 'idx_choice--5': 1, 'scale_range--left--DownscaleTransform': 0.3806369985272615, 'scale_range--right--DownscaleTransform': 0.7490387123787623, 'idx_choice--6': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': -0.37080916152227233, 'primary_distortion_limit--right--ChromaticAberrationTransform': 0.5432143572303374, 'secondary_distortion_limit--left--ChromaticAberrationTransform': 0.23834802436762714, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.5142714177962695, 'mode--ChromaticAberrationTransform': 'green_purple', 'interpolation--ChromaticAberrationTransform': 1, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 3, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'dilation'}"
2,0.012746491381707753,"{'idx_choice--0': 3, 'idx_choice--1': 2, 'r_shift_limit--left--RGBShiftTransform': 21.95578968129469, 'r_shift_limit--right--RGBShiftTransform': 26.168102721280327, 'g_shift_limit--left--RGBShiftTransform': -74.30122079185432, 'g_shift_limit--right--RGBShiftTransform': 28.72208699391946, 'b_shift_limit--left--RGBShiftTransform': -71.6029678125873, 'b_shift_limit--right--RGBShiftTransform': -44.50562201518133, 'idx_choice--2': 5, 'alpha--left--EmbossTransform': 0.46989665365230504, 'alpha--right--EmbossTransform': 0.6035012670463575, 'strength--left--EmbossTransform': 0.9813864808418342, 'strength--right--EmbossTransform': 0.9985144507046015, 'idx_choice--3': 1, 'multiplier--left--MultiplicativeNoiseTransform': 0.5880236857470175, 'multiplier--right--MultiplicativeNoiseTransform': 0.8673258112764805, 'per_channel--MultiplicativeNoiseTransform': False, 'elementwise--MultiplicativeNoiseTransform': False, 'idx_choice--4': 2, 'idx_choice--5': 1, 'scale_range--left--DownscaleTransform': 0.45785097635203487, 'scale_range--right--DownscaleTransform': 0.833346898044804, 'idx_choice--6': 4, 'radius--left--DefocusTransform': 7, 'radius--right--DefocusTransform': 9, 'alias_blur--left--DefocusTransform': 4.3765256593272, 'alias_blur--right--DefocusTransform': 9.378491157588172, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 1, 'scale--right--MorphologicalTransform': 3, 'operation--MorphologicalTransform': 'erosion'}"
3,5.9664846372619996e-05,"{'idx_choice--0': 0, 'scale--left--PerspectiveTransform': 604.460066273009, 'scale--right--PerspectiveTransform': 765.0970469757112, 'fill--PerspectiveTransform': 220, 'idx_choice--1': 7, 'idx_choice--2': 6, 'idx_choice--3': 1, 'multiplier--left--MultiplicativeNoiseTransform': 0.8963347460176538, 'multiplier--right--MultiplicativeNoiseTransform': 1.9356982661049402, 'per_channel--MultiplicativeNoiseTransform': False, 'elementwise--MultiplicativeNoiseTransform': True, 'idx_choice--4': 0, 'num_holes_range--left--CoarseDropoutTransform': 8, 'num_holes_range--right--CoarseDropoutTransform': 77, 'hole_height_range--left--CoarseDropoutTransform': 0.031098700317083523, 'hole_height_range--right--CoarseDropoutTransform': 0.03443287757968492, 'hole_width_range--left--CoarseDropoutTransform': 0.030325760911614447, 'hole_width_range--right--CoarseDropoutTransform': 0.03506243048742851, 'fill--CoarseDropoutTransform': 233, 'idx_choice--5': 0, 'compression_type--CompressionTransform': 'webp', 'quality_range--left--CompressionTransform': 81, 'quality_range--right--CompressionTransform': 94, 'idx_choice--6': 4, 'radius--left--DefocusTransform': 9, 'radius--right--DefocusTransform': 10, 'alias_blur--left--DefocusTransform': 4.19663802401815, 'alias_blur--right--DefocusTransform': 10.430633220664841, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 7, 'operation--MorphologicalTransform': 'dilation'}"
4,0.7457697245715766,"{'idx_choice--0': 2, 'shift_limit--left--ShiftScaleRotateTransform': -0.05040311114459803, 'shift_limit--right--ShiftScaleRotateTransform': 0.15302886323920314, 'scale_limit--left--ShiftScaleRotateTransform': 0.9804044816974502, 'scale_limit--right--ShiftScaleRotateTransform': 0.9809456066492906, 'rotate_limit--left--ShiftScaleRotateTransform': -146.7618666322305, 'rotate_limit--right--ShiftScaleRotateTransform': 293.5820173682895, 'fill--ShiftScaleRotateTransform': 63, 'idx_choice--1': 11, 'idx_choice--2': 1, 'blur_limit--GaussianBlurTransform': 0, 'sigma_limit--left--GaussianBlurTransform': 0.869036769174793, 'sigma_limit--right--GaussianBlurTransform': 1.077174930066487, 'idx_choice--3': 0, 'std_range--left--GaussNoiseTransform': 0.14368351786509784, 'std_range--right--GaussNoiseTransform': 0.1585377636060875, 'mean_range--left--GaussNoiseTransform': -0.1208072690609891, 'mean_range--right--GaussNoiseTransform': -0.010030518828418544, 'per_channel--GaussNoiseTransform': False, 'noise_scale_factor--GaussNoiseTransform': 0.2826308696105233, 'idx_choice--4': 1, 'ratio--GridDropoutTransform': 0.24926224466457333, 'unit_size_range--left--GridDropoutTransform': 59, 'unit_size_range--right--GridDropoutTransform': 100, 'fill--GridDropoutTransform': 235, 'idx_choice--5': 2, 'dropout_prob--PixelDropoutTransform': 0.14869131061782426, 'per_channel--PixelDropoutTransform': False, 'idx_choice--6': 2, 'scale--RainbowTransform': 0.2706539992036101, 'per_channel--RainbowTransform': True, 'idx_choice--7': 1}"
5,0.03270918583097825,"{'idx_choice--0': 0, 'scale--left--PerspectiveTransform': 219.09613150460075, 'scale--right--PerspectiveTransform': 870.6235693407216, 'fill--PerspectiveTransform': 151, 'idx_choice--1': 9, 'idx_choice--2': 1, 'blur_limit--GaussianBlurTransform': 6, 'sigma_limit--left--GaussianBlurTransform': 1.6210414385502967, 'sigma_limit--right--GaussianBlurTransform': 1.8281128731808303, 'idx_choice--3': 1, 'multiplier--left--MultiplicativeNoiseTransform': 1.0073695278878412, 'multiplier--right--MultiplicativeNoiseTransform': 1.557866740950319, 'per_channel--MultiplicativeNoiseTransform': True, 'elementwise--MultiplicativeNoiseTransform': True, 'idx_choice--4': 2, 'idx_choice--5': 1, 'scale_range--left--DownscaleTransform': 0.8472669221036009, 'scale_range--right--DownscaleTransform': 0.9130170822905441, 'idx_choice--6': 4, 'radius--left--DefocusTransform': 9, 'radius--right--DefocusTransform': 11, 'alias_blur--left--DefocusTransform': 5.3344858411191405, 'alias_blur--right--DefocusTransform': 13.672095095023408, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 5, 'scale--right--MorphologicalTransform': 6, 'operation--MorphologicalTransform': 'dilation'}"
6,0.3378915729433536,"{'idx_choice--0': 0, 'scale--left--PerspectiveTransform': 537.1332328371374, 'scale--right--PerspectiveTransform': 760.3778447525326, 'fill--PerspectiveTransform': 67, 'idx_choice--1': 8, 'idx_choice--2': 0, 'blur_limit--left--BlurTransform': 4, 'blur_limit--right--BlurTransform': 5, 'idx_choice--3': 0, 'std_range--left--GaussNoiseTransform': 0.06767537484754158, 'std_range--right--GaussNoiseTransform': 0.17196974555357025, 'mean_range--left--GaussNoiseTransform': -0.08301531872065301, 'mean_range--right--GaussNoiseTransform': 0.0048336417297238365, 'per_channel--GaussNoiseTransform': False, 'noise_scale_factor--GaussNoiseTransform': 0.9521322862249363, 'idx_choice--4': 2, 'idx_choice--5': 1, 'scale_range--left--DownscaleTransform': 0.5034076130648276, 'scale_range--right--DownscaleTransform': 0.9975474578646515, 'idx_choice--6': 3, 'primary_distortion_limit--left--ChromaticAberrationTransform': 0.6811836525660455, 'primary_distortion_limit--right--ChromaticAberrationTransform': 0.6818440402682153, 'secondary_distortion_limit--left--ChromaticAberrationTransform': -0.4376518503711428, 'secondary_distortion_limit--right--ChromaticAberrationTransform': 0.2928091613210825, 'mode--ChromaticAberrationTransform': 'green_purple', 'interpolation--ChromaticAberrationTransform': 1, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 2, 'scale--right--MorphologicalTransform': 4, 'operation--MorphologicalTransform': 'erosion'}"
7,0.4081792614645203,"{'idx_choice--0': 1, 'distort_limit--left--OpticalDistortionTransform': 1.4145534201112597, 'distort_limit--right--OpticalDistortionTransform': 1.5154386563564328, 'fill--OpticalDistortionTransform': 226, 'idx_choice--1': 9, 'idx_choice--2': 5, 'alpha--left--EmbossTransform': 0.11248859994363158, 'alpha--right--EmbossTransform': 0.7749001213032827, 'strength--left--EmbossTransform': 0.24334884675253113, 'strength--right--EmbossTransform': 0.9425620616091308, 'idx_choice--3': 2, 'idx_choice--4': 1, 'ratio--GridDropoutTransform': 0.3267365500381787, 'unit_size_range--left--GridDropoutTransform': 66, 'unit_size_range--right--GridDropoutTransform': 80, 'fill--GridDropoutTransform': 224, 'idx_choice--5': 2, 'dropout_prob--PixelDropoutTransform': 0.006774071277592208, 'per_channel--PixelDropoutTransform': True, 'idx_choice--6': 1, 'snow_point_range--left--SnowTransform': 0.8501019817864166, 'snow_point_range--right--SnowTransform': 0.8886817400172995, 'brightness_coeff--SnowTransform': 0.9002408863064006, 'idx_choice--7': 1}"
8,0.049056151539345644,"{'idx_choice--0': 0, 'scale--left--PerspectiveTransform': 674.1163507400066, 'scale--right--PerspectiveTransform': 893.6781141056083, 'fill--PerspectiveTransform': 221, 'idx_choice--1': 6, 'by_channels--EqualizeTransform': True, 'mode--EqualizeTransform': 'cv', 'idx_choice--2': 6, 'idx_choice--3': 0, 'std_range--left--GaussNoiseTransform': 0.1804537020751229, 'std_range--right--GaussNoiseTransform': 0.1953000441760396, 'mean_range--left--GaussNoiseTransform': -0.16168905116115317, 'mean_range--right--GaussNoiseTransform': 0.01852119166259028, 'per_channel--GaussNoiseTransform': False, 'noise_scale_factor--GaussNoiseTransform': 0.8662378212396252, 'idx_choice--4': 1, 'ratio--GridDropoutTransform': 0.057326895211918895, 'unit_size_range--left--GridDropoutTransform': 81, 'unit_size_range--right--GridDropoutTransform': 92, 'fill--GridDropoutTransform': 184, 'idx_choice--5': 2, 'dropout_prob--PixelDropoutTransform': 0.08811528510347146, 'per_channel--PixelDropoutTransform': False, 'idx_choice--6': 5, 'max_factor--left--ZoomBlurTransform': 1.0471505796999874, 'max_factor--right--ZoomBlurTransform': 1.0956365074758392, 'step_factor--left--ZoomBlurTransform': 0.018529347849210485, 'step_factor--right--ZoomBlurTransform': 0.02789646773905513, 'idx_choice--7': 1}"
9,0.705594299507526,"{'idx_choice--0': 3, 'idx_choice--1': 9, 'idx_choice--2': 3, 'blur_limit--left--MotionBlurTransform': 5, 'blur_limit--right--MotionBlurTransform': 7, 'allow_shifted--MotionBlurTransform': False, 'angle_range--left--MotionBlurTransform': 67.94295476763462, 'angle_range--right--MotionBlurTransform': 105.65889107394673, 'direction_range--left--MotionBlurTransform': 0.8673016072226303, 'direction_range--right--MotionBlurTransform': 0.9709849236531367, 'idx_choice--3': 0, 'std_range--left--GaussNoiseTransform': 0.06938510627965026, 'std_range--right--GaussNoiseTransform': 0.19976781139126137, 'mean_range--left--GaussNoiseTransform': 0.054984346640766846, 'mean_range--right--GaussNoiseTransform': 0.16756757876607487, 'per_channel--GaussNoiseTransform': False, 'noise_scale_factor--GaussNoiseTransform': 0.2805381151657934, 'idx_choice--4': 2, 'idx_choice--5': 2, 'dropout_prob--PixelDropoutTransform': 0.05435877299130028, 'per_channel--PixelDropoutTransform': False, 'idx_choice--6': 6, 'idx_choice--7': 0, 'scale--left--MorphologicalTransform': 1, 'scale--right--MorphologicalTransform': 4, 'operation--MorphologicalTransform': 'erosion'}"
